love|爱
literally|照字义
locomotive|运动的
lunar|月亮的
lace|系带
luncheon|午宴
locality|位置
latitude|纬度
lever|途径
likeness|同样
loosely|松松地
limestone|石灰石
leakage|漏
longing|渴望 adj. 显示渴望的
likelihood|可能（性）
longitude|经线
lodging|寄宿
locust|蝗虫
log|航海日志
lattice|格子结构
limb|肢
luminous|发光的
lighter|打火机
latent|存在但看不见的
lipstick|唇膏
leaflet|传单
lathe|车床 v. 用车床加工
leopard|豹
liner|班船
lily|百合
lining|（衣服里的）衬里
levy|vt. 征收 n. 征税
lame|跛的
lieutenant|陆军中尉
lash|将系牢
layoff|解雇
legitimate|合情合理的
loom|vi. 阴森地逼近
linen|日用织品
limitation|限制
lure|vt. 吸引
longevity|长寿
lightning|闪电 adj. 闪电般的
lay|躺下
lesson|教训
leaf|叶子
lab|实验室
lodge|旅馆
landlady|女房东
lateral|侧面的
lumber|伐木
lavatory|厕所
lover|爱人
loaf|条
lorry|（英）卡车
lantern|灯笼
litre|[计量] 公升（米制容量单位）
loudspeaker|喇叭
lapse|(一时的) 走神
locker|柜
lad|少年
landlord|房东
lid|盖子
laser|激光
liquor|酒
lamb|羔羊
lady|女士
lyric|抒情的 n. 抒情诗
liter|升
licence|许可证
latin|拉丁的
leatherback|棱龟(大海龟之一种)
lichen|青苔
livestock|家畜
lowland|低地
laborer|劳动者
lewis|[机] 吊楔
larva|幼虫
lava|熔岩
lighthouse|灯塔
lizard|[动]蜥蜴
lomas|洛马斯(阿根廷东部的一城镇)
locally|在本地
localize|集中
lithosphere|[地]岩石圈
lithospheric|岩石圈的; 陆界的
landform|地形
loft|阁楼
legume|豆类
ledge|岩架
lime|酸橙
legendary|闻名的
lumiere|彩色照相术
lys|[化]赖氨酸
lawlike|似法律的
legislature|立法机关
leafy|叶状的
lade|装载
landmass|大陆
lug|(用力)拖拉
lifelong|终生的
locale|现场
lobe|耳垂
linguist|语言学家
lapis|[化]天青石(常用于化学中的矿物命名)
lazuli|天青石
limner|素描者
lament|悲伤v哀悼
locomotion|运动
livable|适于居住的
lithograph|石版画
lengthy|冗长的
luckily|幸运地
leisurely|从容地
languish|憔悴
lateness|迟
landowner|土地所有者
labellum|（兰花的） 唇瓣
legitimately|正当地
laborious|艰苦的
lesley|莱斯利（女子名）
longtime|(已持续)长时间的 adv. 长久地
landslide|[地]山崩
linoleum|油布
loggerhead|傻子
lifeway|生活方式
landslip|[地]山崩
lengthwise|纵长的 adv. 纵长地
lira|里拉（意大利货币单位）
livelihood|生计
lifelike|栩栩如生的
literalness|文字的
lien|留置权
ling|鳕鱼
lately|近来
loess|黄土
lobster|龙虾
lyrical|抒情诗调的
localization|地方化
looseness|松开
landless|无土地的
listener|收听者
loyalist|忠诚的人
leafcutter|[昆]南美切叶蚁
lvory|象牙
landlocked|陆地包围的
landsman|同胞
logger|樵夫
londoner|伦敦人
lipid|脂质
lifeblood|生命必须的血液
lamina|薄板
leaning|倾斜
lightweight|轻量级选手
loder|[计]装填器
loam|肥土
lop|剪去
literate|有读写能力的
lacuna|空白
lethal|致命的 n致死因子
leaky|漏的
loyally|忠诚
lounger|漫步的人
landscapist|风景画家
legislative|立法的
lethargic|昏睡的
lethargy|无生气
lineage|血统
leo|[天]狮子座
lazily|懒洋洋地
lopsided|倾向一方的
lightness|轻盈
liveliness|活泼
lordly|高贵的
luce|一种成鱼
listless|倦怠的
luster|光彩
landownership|土地所有
loudness|大声
landholder|地主
lush|茂盛的
lint|绷带用麻布
locomotor|运动的
limy|含石灰的
lithographic|石版印刷的
lagoon|泻湖 礁湖
laborsaving|节省劳力的;省力气的
lull|缓和 n暂时的平息
linkage|联接
lowa|爱荷华州(美国中西部的一州)
lithography|平版印刷术
lieu|场所
libelous|诽谤的
loathsome|讨厌的
labyrinth|迷路
lore|学问
lastly|最后
laurasia|[地质] 劳亚古大陆
lark|云雀
lotus|[植] 莲(花) adj. 贪图安乐的
lust|繁殖力
lyrically|抒情地
locomote|移动
lintel|[建]楣
laboriously|艰难地
legible|清楚的
luminosity|亮度
lax|懒散的
liquefy|溶解
lope|轻松地大步跑 n.  轻快的步伐
landing|登陆
leftover|剩余的
libel|诽谤 n.  诽谤
lasting|持久的
leach|过滤
lost-and-found|失物招领
larynx|喉
laudable|值得赞美的
lucrative|赚钱的
legislate|制定法律
laureate|享有殊荣的 n. 桂冠诗人
loath|不情愿的
lighthearted|无忧无虑的
links|高尔夫球场
l|见习驾驶员
listing|[计] 列表, 清单, 编目
la|[医] 镧(57号元素)
listed|列出的
lyrics|歌词
linux|一个个人电脑上免费的UNIX操作系统
listings|表
loans|借贷；贷款（loan的复数形式）
lines|台词
lesbian|女同性恋的
logo|连合活字, 商标, 徽标
located|处于, 位于；坐落的
ltd|有限的
locations|位置；定位件；地点（location的复数）
lists|竞技场
las|阿拉伯国家联盟（League of Arab States）；大气科学实验室（Laboratory of Atmospheric Sciences）；光敏开关（Light Activated Switch）
le|[计] 小于或等于
laws|法律；规章（law的复数）
largest|多量的, 最大的（large的最高级）
lee|背风处, 避风处, 下风处, 保护, 庇护
lots|大量, 许多；一堆；命运（lot的复数）
looks|美貌
lowest|[法] 最低的, 基层的
llc|[计] 逻辑链路控制
letters|字母；书信；读者投书栏（letter的复数）
louis|路易斯（男子名）
lcd|液晶显示器
logged|笨重的, 湿透的
leads|领导者；引线；管道（lead的复数）
lingerie|女式内衣
les|发射脱离系统（Launch Escape System）
ladies|公共女厕所, 女盥洗室, 女洗手间
libraries|图书馆查询系统；函数库；图书馆（library的复数）
licensed|得到许可的
lawyers|律师（lawyer的复数）
louisiana|路易斯安那(美国州名)
lights|（供食用的）家畜的肺脏；灯光（light的复数）
lesbians|女同性恋者；女同志（lesbian的复数形式）
lib|[口]解放的（等于liberal）；解放论者的
leaving|离开；残余；渣滓
lessons|功课( lesson的名词复数 ); 课程; 教训; 一堂课
leaves|pl. 树叶, 花瓣
legs|木头支架；腿（leg的复数）
laptops|便携式电脑( laptop的复数形式 )
limits|范围；领土；极限（limit的复数）
lg|水平规, 水准仪（Level Gauge ）；直线发生器, 矢量发生器（Line Generator）
lincoln|林肯
lo|interj. 瞧, 看
loved|热爱（love的过去分词）
licensing|许可；批准（license的ing形式）
latina|拉蒂纳（意大利地名）；拉蒂娜（女子名）
lp|密纹唱片
labels|标签；分类（label的复数形式）
logos|理念, 理性, 圣子(即耶稣)
lived|有生命的
lawrence|劳伦斯（男子名）
loading|装载, 装填
lies|躺卧（lie的第三人称单数形式）
lbs|磅
lol|大声笑（Laugh Out Loud）
larry|拉里（男子名）
limousines|豪华轿车( limousine的复数形式 ); （往返机场接送旅客的）中型客车, 小型公共汽车
lets|地方交易系统（Local Exchange Trading System）
li|[医] 锂(3号元素)
lisa|丽莎（女子名）
losses|损失；损耗（loss的复数）
lakes|色淀；湖泊, 湖畔
launched|发射( launch的过去式和过去分词 ); [计算机]开始（应用程序）; 发动; 开展（活动、计划等）
linda|琳达（女子名）
lan|局部区域网络, 局域网, 本地网
lands|平原；平面；土地（land的复数形式）
laura|劳拉（女子名）
loaded|有负载的, 有含蓄的, 加重的, 不公正的, 偏袒的, 喝醉了的, 富有的
labs|实验室
laid|lay的过去式和过去分词
limitations|局限性；（限制）因素；边界（limitation的复数形式）
lat|拉特(拉脱维亚货币单位)
losing|损失的, 输的
loves|爱, 热爱( love的第三人称单数 ); 喜爱; 喜好; 喜欢
ll|[计] 低电瓶逻辑
linking|[计] 连接, 链接
lenses|柔性焦距透镜组
lookup|查找, 检查
liked|喜欢（like的过去式）
lite|低盐的；清淡的；简化的
lb|磅, 文学士
lamps|[诗]日月星辰；[俚]眼睛；灯具（lamp的复数）
locked|上锁的；不灵活的；下定决心的
lycos|莱科思（网路资讯收集网站）
latex|乳液, 胶乳
locator|定位器, 雷达, 无线电定位器
louisville|路易斯维尔（美国肯塔基州城市）
lynn|林恩（姓氏）
loving|亲爱的, 钟情的, 忠诚的
liverpool|利物浦
logistics|后勤学, 后勤
lovers|情人（lover的复数形式）
luxembourg|卢森堡公国；卢森堡（卢森堡公国首都）
likes|爱好的事物
luke|卢克（男子名）；路加（基督教早期信徒之一）；[圣经]路加福音
ls|[计] 目录显示命令
lopez|洛佩斯（姓氏）
lt|[电] LT线上末端
leeds|利兹市（英国城市名）
lang|语言（language）
licenses|授权；许可（license的复数）
lambda|希腊语的第11个字母(Λλ)
lips|嘴唇（lip的复数）
lc|国会图书馆
lil|国际月球实验室（Lunar International Laboratory）
loads|货载量；负载, 负荷（load的复数）
laboratories|实验室( laboratory的名词复数 )
layers|层面板；图层面板, 图层集合（layer复数形式）
logging|(木材)采运作业, (事物状况的)记录
lectures|演讲, 讲课( lecture的名词复数 ); 冗长的训斥[谴责]
leasing|说谎
lauren|劳伦（姓氏）
lithuania|立陶宛
levitra|[网络] 艾力达；伐地那非；乐威壮
latvia|拉脱维亚
letting|[法] 租金
lying|说谎
logs|日志；原木（log的复数）
legends|传说( legend的复数形式 ); 民间传说; （地图或书中图表的）图例; 传奇人物
ln|自然对数（Napierian Logarithm）；液态氮（Liquid Nitrogen）
latino|拉丁美洲人
ld|致死剂量
liabilities|碍事的人或物；负债；债务（liability复数形式）
lloyd|劳埃德（男子名）
leonard|伦纳德（男子名）
lending|出借, 出借物
lancaster|兰开斯特（美国成市）
launches|汽艇（launch的复数）
lenders|出借人, 贷方( lender的复数形式 )
loc|[计] 局部, 通信线路, 位置, 单元
lexmark|美国利盟公司
lit|light的过去式和过去分词
lender|出借人, 贷方
lions|腰角；雄狮；狮子（lion的复数）
lucas|卢卡斯（男子名, 等于Luke）
lindsay|琳赛〔女子名）
logitech|罗技
lows|低频
len|伦恩（男子名）
lucia|露西娅（女子名）
locks|锁；水闸；锁定器（lock的复数）
licking|舔, 挫折, 鞭打
lucy|露西（女子名）
lexington|列克星敦市（位于美国肯塔基州）
leslie|莱斯利（男子名）
luis|路易斯（人名）
leone|[经] 里昂
lauderdale|劳德戴尔
luther|卢瑟（男子名）
libs|激光诱导击穿光谱（Laser-induced Breakdown Spectroscopy）
lesser|较少的, 较小的, 次要的
lexus|雷克萨斯（凌志）, 日本丰田汽车公司旗下豪华车品牌。
louise|路易丝（女子名）
limiting|限制的
liz|莉斯（女子名）
laden|装满的, 负载的, 苦恼的
llp|有限责任合伙（Limited Liability Partnership）
leon|利昂（男子名, 等于Leo）
laughing|一笑置之的, 高兴的
lolita|洛丽塔（女子名）
lined|有内衬的；具线纹的
labeled|有标签的；示踪的
longest|最长的
landscapes|风景( landscape的名词复数 ); 风景画; 乡村风景画; 地形
lafayette|拉斐特（美国印地安纳州西部城市）；老佛爷（法国百货公司）；三刺光鲳
learners|学习者, 初学者, 见习驾驶员( learner的复数形式 )
lf|[计] 换行, 低频
logan|洛根（男子名）
lance|长矛, 柳叶刀, 执矛战士
liberia|利比里亚
leu|列伊(罗马尼亚货币单位)
locking|[计] 锁定; 加锁
lou|卢（女子名, 等于Louise或Lu）
loops|封闭的环形；循环（loop复数）
lu|[计] 逻辑单元, 逻辑部件
lm|地上移动式无线电设备（Land Mobile）；登月舱（Lagrange multiplier）；光学显微镜
liechtenstein|(中欧国家)列支敦士登的
lightbox|光箱特效；航行识别灯控制箱
linework|划线, 线路业务
leaking|[机] 漏, 漏泄
leprosis|[医] 麻风
lithoidite|隐晶流纹岩
leveler|[计] 校平器
luteal|[生化]黄体的
legion|军团, 军队, 众多的人
lidless|无盖的, 无眼睑的, 注视的
lycium|[网络] 枸杞属；茄科枸杞属；茄目茄科枸杞属
liquefying|[化] 液化
lexic|词汇的
lappers|(lapper 的复数) n.舐食流体食物的人或动物
leadwork|铅制品
leveled|经调整的
larceny|盗窃罪
lycopsida|石松类植物
leese|[人名] [英格兰人、苏格兰人姓氏] 利斯 Lees的变体; [地名] [德国] 莱瑟
learnedness|learned的变形
lunaria|[医] 月经
luncheons|午餐, 午宴( luncheon的复数形式 )
licensure|发给许可证
lathyrism|山黧豆中毒
liparidae|狮子鱼科
limning|画( limn的现在分词 ); 勾画; 描写; 描述
laicizes|凡人化, 摆脱宗教色彩（laicize的第三人称单数形式）
latticing|做格子, 装格子
lumpily|多瘤地;波浪起伏地
lacquerwork|漆器, 漆器制作
laminar|板, 薄层, 薄片, 层
lobule|小裂片, 小叶
lechered|好色之徒；纵欲的人
logarithmic|对数的
laundromats|[美国英语]；自助洗衣店
laryngotome|[医] 喉刀
librating|摆动；平均
lignum|木材
loosener|松土机, 浅耕机
lavishly|浪费地, 丰富地
lagena|细颈瓶
lettish|列托人的, 列托语的
languorously|疲倦地, 郁闷地
laryngorrhea|[医] 喉粘液溢
lactalbumin|乳白蛋白
laggingly|落后地
legong|黎弓舞(印尼巴厘的一种传统女子双人舞), 黎弓舞表演者
launderette|自助洗衣店
lapels|（西服上衣或夹克的）翻领( lapel的复数形式 )
littlish|相当小的, 较小的
lapped|搭接的, 重叠的
ladders|梯子( ladder的名词复数 ); 阶梯; 途径; （紧身裤袜或长筒袜的）滑丝
lepidomelane|[矿]铁黑云母
lactochrome|乳黄素, 核黄素, 维生素B2
lode|矿脉, 水路, 排水沟
limer|在街上溜达的年轻人
littleness|些许, 少量
latah|[医] 拉塔病(表现共济失调,言语障碍及抽搐的一种神经病)
labradorean|拉布拉多人；拉布拉多地区的居民（等于Labradorian）
luscinia|[网络] 歌鸲属；援蓝喉歌鸲
lobeliaceae|[网络] 半边莲科；山梗菜科；山桔梗菜
lusciously|甘美的；满足感官的 (luscious的变形)
lawyerlike|如律师的, 适合于律师的
lovebird|小鹦鹉类
lithotint|彩色石版画印刷术
lairage|<英>(赶牲口)入栏,进圈,关牲口的围栏
lintless|lint的变形
locusta|草之小穗,状花序
linch|[人名] [爱尔兰姓氏] 林奇 Lynch的变体; [地名] [英国、英国] 林奇
legalist|法律学家, (中国古代的)法家
lemonlike|似柠檬的
luxemburg|卢森堡
lionet|小狮子
latticelike|[医]格子样的
lazarus|乞丐, 穷人
livres|(livre 的复数) n. 里弗赫(古时法国货币名)
litten|点燃的, 闪亮的
loadage|装载量
lampooner|讽刺文作家, 冷嘲热讽者
linnaean|林奈的（瑞典博物学家）；林奈式动植物分类法的
lida|利达（公司名）；丽达（女子名）
lorimer|金属马具工匠
linkwork|以环扣连结之物, 联动装置
leeward|下风的, 在下风的
licks|舔；少许；打（lick的复数）
lanny|兰尼（男子名）
lustfully|贪婪地（lustful的副词形式）
locksmithery|锁匠工作(或行业)
laburnums|金链花( laburnum的复数形式 )
leucoline|[有化]喹啉, 氮(杂)萘
linitis|[医] 胃蜂窝织炎
loaning|田间小路；村边空地
lupin|羽扇豆,(美作：lupine)
licensee|获许可的人, 领到执照的人
leaks|泄漏, 渗漏（leak的复数）
leadin|引入线；用以引起兴趣的事物；导言
lobotomies|前脑叶白质切除术( lobotomy的复数形式 )
laked|漆的
lister|双耕犁, 制表人
lassitude|疲倦, 疲乏, 无精神
leucite|白榴石
lohan|罗汉（小乘佛教修行的最高果位）
latrobite|淡红钙长石
looey|中尉, 少尉
lickspittle|奉承者
lotions|洗液, 洗剂, 护肤液( lotion的复数形式 )
lowlands|苏格兰东南部的低地
lingcod|蓝鳕
lazes|混日子( laze的第三人称单数 ); 懒散; 闲散; 闲散地打发时间
latchkey|弹簧锁钥匙
liverwort|叶苔
labiolingual|[医] 唇舌的
lienculus|副脾
lopolith|[地质]岩盆
lusitanian|卢西坦统
lumpectomy|乳房肿瘤切除术
ledged|有壁架的, 有暗礁的, 有空出物的
lynches|(lynch 的第三人称 -s形式) n. 私刑, 私罚
loosestrife|[植] 珍珠菜,千屈菜
latticework|格子
limitational|limitation的变形
larder|食物橱, 家用食品, 食物储藏室
lestobiosis|[动]窃食共生,偷取异种动物(的食物)为生
liposome|[化] 脂质体
lyophilize|[化]使冻干
loretin|试铁灵
liane|藤本植物；蔓生植物（等于liana）
literaryism|过度讲究的辞句, 过于推敲
levelman|水平仪器操作员, 水平测量员
leadenness|leaden的变形
lorica|古罗马胸甲, 兜甲
listerism|石炭酸消毒法
lutjanidae|[网络] 笛鲷科；属於笛鲷科；笛稠科
lording|逞威风（lord的现在分词形式）
liquefied|液化的
lithotome|[医]膀胱石刀
lindane|[化] 林旦; 林丹; 高丙体666
larcener|盗窃犯
lithophagous|[动]食石的
lobularia|[网络] 香雪球属
leprose|鳞状的, 皮屑状的
lithely|柔软地, 易变地
lumberyard|木材堆置场, 木场
lewdster|好色之徒
latescent|隐而不显的
lacis|方网眼花边
lewdness|[法] 淫乱的, 公开姘居
loimic|[医] 疫病的
lave|沐浴, 洗
loob|碎锡矿渣
looby|傻大个, 笨蛋
lissome|柔软的, 敏捷的
lulus|卓越的人，俊秀( lulu的名词复数 )
lectern|诵经台
loxocosm|地球运行仪
lactated|（指哺乳动物）分泌乳汁( lactate的过去式和过去分词 )
lillibullero|[英]勒里不利罗(1688年政变时流行的一首讽刺爱尔兰天主教歌曲的部分迭句)
lees|pl. (酒缸等中的)沉淀物, 渣滓
lodgments|沉淀；贮存
leeks|<植>韭葱( leek的复数形式 )
laeotropic|左转的
loris|懒猴
leaseholding|(leasehold 的现在分词) a. 租赁的
luxulianite|电气石花岗岩
lustered|使有光泽，使有光彩，给…增光( luster的过去式和过去分词 ); 有光泽，发光
leproma|[医]麻风结节
liquiform|[医] 液状的
lumbocostal|[医] 腰肋的
lightsomely|lightsome的变形；lightsome的变形
lynnhaven|兰厚牡蛎
lustring|一种有光泽的丝织物
lumpishness|lumpish的变形
louts|laser-optical ultrasonic test system 激光-光学超声测试系统
longeron|纵梁
larvae|幼虫(昆虫), 幼体, 蚴(蠕虫)
laminiferous|薄板的, 薄片的, 由薄层组成的, 由薄膜组成的
luxuries|奢侈( luxury的名词复数 ); 豪华; 奢侈品; 不常有的乐趣（或享受、优势）
larin|[人名] 拉林
lachrymosity|落泪;催泪
libris|图书馆情报系统
lacrimation|流泪
lamentedly|令人遗憾地
lessness|初等，下级
leglet|脚饰带,脚镯
leprologist|[医] 麻风学家
landscaped|对…做景观美化, 给…做园林美化（landscape的过去式与过去分词形式）
lucilia|绿蝇
linters|(linter 的第三人称 -s形式) n. 剥绒机, 棉籽绒
labroid|[动] 咽颌类鱼的
landskips|(landskip 的复数) n.(=landscape)陆上景色, 山水
lollardism|(基督教)罗拉德派的教义及信仰
lactoflavin|[生化]核黄素
luxes|勒克斯（照明单位）( lux的名词复数 )
leveller|[计] 校平器
lanthanite|[矿]镧石
listlessly|无精打采地, 冷淡地
limpidly|清澈地, 透明地
linksman|打高尔夫球的人
lymphectasia|[医] 淋巴性扩张, 淋巴管扩张
leonardo|李奥纳多（姓氏）
laparocele|[医] 腹[壁]疝
lourie|洛里
loggie|loggia的复数形
leptopellic|[医] 狭骨盆的
leprosarium|麻疯病院
laywomen|(laywoman 的复数) n. layman的女性形
lanthopine|兰索品
lysosome|溶酶体
louvres|遮光栅格
lestobiotic|[动]窃食共生的,靠偷取异种动物(的食物)为生的
laddermen|(ladderman 的复数) n.云梯消防队员
lovelock|洛夫洛克（美国城市）；洛夫洛克（姓氏）；洛夫洛克（小说名）
lapilli|(sing. -llus)[地质]火山砾, [医]耳石
legist|法律学者, 法律通
linguistics|语言学
lepa|Law Enforcement Planning Agency 法律执行计划处
lotos|(=lotus)[希神]忘忧树或其果实, [植]莲属植物,埃及白睡莲
libations|奠酒( libation的复数形式 ); 祭奠用的酒; 饮酒
lecithinase|[生]卵磷脂酵素
ludlovian|卢德洛阶
lepisma|膜鳞片
lotto|抽数码游戏
lymphemia|[医] 淋巴性白血病
layperson|外行
lethiferous|致死的, 致命的
loopholes|漏洞( loophole的复数形式 ); 空子; 观察孔; 枪眼
lionizing|把…视做要人, 捧人( lionize的现在分词 )
longliner|【渔业】；(长线多钩的)延绳钓
loyalism|忠诚, 忠义
lilt|唱轻快的调子, 轻快地动
lipoclastic|解脂的
lassock|<苏>小女孩,少女
landlock|内陆国
lagger|落伍者, 惯犯, 懒散的人
lecithality|[生]有卵黄
lovableness|lovable的变形
lavage|[医] 灌洗, 洗出法
lyricize|写抒情诗(歌), 用抒情手法书写
llanero|大草原居民
leaseback|回[反]租,售后回租
lippers|(lipper 的复数) n.涟漪, 浪花
liberticidal|破坏自由的
legacies|遗产( legacy的名词复数 ); 遗留之物; 遗留问题; 后遗症
lactation|分泌乳汁, 授乳, 哺乳
londonism|伦敦式, 伦敦腔
ligger|拌灰板
liaisons|联络人（liaison的复数）
lanate|绒毛的
landsliding|(landslide 的现在分词) n. 山崩
lames|瘸的( lame的第三人称单数 ); 站不住脚的; 差劲的; 蹩脚的
legislatrix|女性立法者, 女国会议员
looses|释放( loose的第三人称单数 ); 不受约束地表达; 松开; 射出（子弹、箭等）
lauraceous|[植] 月桂科属的
lemonweed|柠檬香草
linsang|林狸
ligamental|[解]韧带的
lipectomies|脂肪切除( lipectomy的名词复数 )
laccoliths|(laccolith 的复数) [机] 岩盖
limping|[医] 跛行
leukotaxine|[医] 白细胞诱素
lipectomy|[医] 脂肪切除
lapin|兔子
luxemburger|卢森堡人
labioplasty|(=cheiloplasty)唇成形术
lids|入侵检测系统（Linux Intrusion Detection System）
landesite|褐磷锰铁矿
limn|描写, 描绘
leakance|[电] 电漏
loof|转舵
levitating|（使）升空, （使）漂浮( levitate的现在分词 )
lionel|莱昂内尔（男子名）
laziness|怠惰, 无精打采
laicizing|凡人化, 摆脱宗教色彩( laicize的现在分词 )
leapfrogs|跳背, 交替前进, 跃过( leapfrog的第三人称单数 )
lipless|没有嘴唇的, (器皿)没有嘴的
landocracy|地主阶级
lacca|虫漆, 虫胶, 虫脂
loitered|（在公共场所）走走停停( loiter的过去式和过去分词 ); 闲逛; 游荡; 磨蹭
lighthead|轻率的人, 没头没脑的人
lipocyte|[解]脂肪细胞, 肥粒血球
landloper|流浪者, 冒险者
lawrie|劳里（男子名）
lettuces|莴苣, 生菜（ lettuce的复数形式 ）; 生菜叶
lamellaria|片螺属
leakily|leaky的变形
lawgiving|,n. 立法(的), 制定法典(的)
lemur|狐猴
lacquered|涂漆于( lacquer的过去式和过去分词 )
limurite|斧辉岩
loriot|黄鹂
lunettes|(lunette 的复数) n. 眼镜堡, 弦月窗, 半圆壁
lumbermen|伐木工人；木材商
lenities|慈悲, 宽大处理( lenity的名词复数 )
lashes|鞭挞( lash的名词复数 ); 鞭子; 突然猛烈的一击; 急速挥动
laureled|戴桂冠的, 获得荣誉的
lestiwarite|辉闪细正长岩
logins|(login 的复数) [计] 注册(程序), 登记, 用户注册程序
lyncean|猞猁的, 猞俐似的, 目光锐利的
lavialite|残拉角闪岩
limelights|使显露头角, 使受到注目（limelight的第三人称单数形式）
lineman|线务员, 线路工人, 护路工, 养路工
lipophagic|[医] 噬脂的, 脂肪耗失的
lant|陈化尿液（用于清洁地板）
lotted|分组, 把…划分（lot的过去式与过去分词形式）
lithic|石的, 结石的
laccase|漆酶, 虫漆酶
lipoclasis|[医] 脂肪分解
lazarist|(天主教)遣使会会员
lagurus|兔草属
lowers|[法]工资（海洋法用语）
lichenize|使...长满青苔, 覆以地衣
lachrymatory|泪壶
lengthener|伸长器
loses|遗失, 失去( lose的第三人称单数 ); （使）失去（所需要的东西, 尤指钱）; （因事故、年老、死亡等）损失; 浪费
leonis|Leo的所有格
lobefins|(lobefin 的复数) 肉鳍鱼亚纲,肉鳍鱼类
legger|织袜统工人
ladderway|[矿](上下矿井的)梯道,井筒梯子间
lacunas|空隙；空白；[生物] 腔隙
lally|[建]拉莱柱(中间浇注混凝土的钢圆柱)
laceration|划破, 割破, 裂伤撕碎
lapidarist|(=lapidary)宝石工艺, 宝石商
lank|瘦的, 细长的, 长而柔软的
lagenae|细颈瓶；壶 (lagena的变形)
liminal|阈限的
levoversion|[医] 左旋(眼)
locomobile|自动机车
lautarite|碘钙石
lenticonus|圆锥形晶状体
lyonnais|里昂（法国东部旧省）
liegemen|臣下, 忠实的部下( liegeman的名词复数 )
ladened|(laden 的过去分词) a. 装满的, 负载的, 苦恼的
lingoes|语言；术语（lingo的复数）
longitudes|经度( longitude的复数形式 )
