ugly|丑陋的
utc|美国联合技术公司（United Technology Corporation）；世界时间代码（Univer-sal Time Code）；世界调整时间（Universal Time Coordinated）；城市交通管制（Urban Traffic Control）
unix|UNIX操作系统
ultra|过分的, 极端的
und|comb. 表示“水, 波浪”
ut|世界时, 格林威治时
unsubscribe|[医]注销, 注销账户; 取消订阅
ukraine|乌克兰（原苏联一加盟共和国, 现已独立）
usc|超声波清洗（Ultra Sonic Cleaning）；联合海运公司（United Shipping Company）；美国国会（United States Congress）
understood|understand的过去式和过去分词
untitled|无称号的, 无标题的, 无合法权利的
um|int. 嗯（表示迟疑）
upgrades|提升( upgrade的第三人称单数 ); 使（机器、计算机系统等）升级; 提高（设施、服务等的）档次; 提高（飞机乘客、旅馆住客等）的待遇
unto|到, 对, 直到
uv|紫外的（ultraviolet）
utils|为全文索检目录的文件
undefined|不明确的, 未下定义的
unions|工会；联合（union的复数）
univ|综合性大学（university）；宇宙的（universal）
unsigned|[计] 无符号的, 未签名的
updating|[计] 校正, 更新
uploaded|上传, 上载( upload的过去式和过去分词 )
uganda|乌干达
undertaken|undertake的过去分词
ur|[计] 单元记录
uc|[计] 单通道, 设备校验
uruguay|乌拉圭
une|联合国欧洲总部（United Nations European Headquarters）；通用非线性元件（Universal Nonlinear）；西班牙标准（Una Norma Espanola）
una|联合国协会（United Nations Association）
usgs|(usg 的第三人称 -s形式) abbr. 超声成像；美国加仑；[医]超声波检查（ultrasonography）；美国标准度量（United States Gauge）
ui|[计] 用户接口
uw|华盛顿大学（University of Washington）；水下的（Underwater）；超声波（Ultrasonic Wave）
uh|int. 嗯啊
uri|上呼吸道感染（Upper Respiratory Infection）；统一资源标识符（Uniform Resource Identifier）
unauthorized|未经许可的
uni|印度联合新闻社（United News of India）
ul|（美）保险商实验所（Underwriters' Laboratories）
upc|[计] 通用产品代码
usda|[经] 美国农业部
urls|资源定位符（Uniform Resource Locators）
upgrading|升级；提高品位（upgrade的现在分词）
usps|美国邮政管理局（United States Postal Service）
ultram|[医]盐酸曲马多片剂<镇痛药>
unwrap|打开
unbuttons|解开（纽扣）( unbutton的第三人称单数 ); 打开; 表露; 吐露
urethanes|聚氨酯橡胶
ungainliness|难看, 怪样子, 丑陋
unhorsed|从…卸下马来, 使摔下马来, 推翻( unhorse的过去式和过去分词 )
unheralded|（艺术家、运动员等）被埋没的, 怀才未遇的; 出乎意料的；毫无先兆的
untainted|没有污点的, 清白无瑕的
umbelliferae|[医] 伞形科
unreel|退卷, 退绕
unforested|未植林的,未造林的
urethrameter|[医] 尿道测量器
uproariously|喧嚣地, 吵闹地
unclenched|(unclench 的过去时) vt. 弄开, 撬开
unperforated|[计] 未穿孔的
undutiful|不顺从的, 不恭敬的, 未尽职的, 未尽本分的
undividable|[网络] 不可分割
uraniid|[网络] 燕蛾科
unbundling|分类计价
uncannier|uncanny（神秘的）的比较级形式
unmedicative|[网络] 无医疗
unteaching|使忘却, 证明…的虚伪( unteach的现在分词 )
underdraught|下压
uniformities|(uniformity 的复数) n. 无差异, 同样, 划一, 一致
unshocked|无激波的
urinarium|贮尿池
unsocially|unsocial的变形
utopianist|空想的社会改良方案；乌托邦思想 (utopianism的变形)
underlined|下划线的
unvexed|不受干扰的,镇静的,沉着的,安详的
unbridling|[医]松弛术
unextended|[网络] 无空间维度的
unanswerable|无法回答的, 没有责任的
unclad|没穿衣服的, 赤裸裸的
unexaminable|难以查讯的, 无法测知的, 无法测定的
unmetrical|(诗)不按照韵律的,不讲究格律的
uplink|[计] 上行链路
unutterably|非言语所能表达地
unlearns|忘却( unlearn的第三人称单数 )
unperceiving|[网络] 感觉不到
unaddicted|[网络] 不服从
ungallant|[网络] 不客气
untruths|谎言( untruth的复数形式 ); 不真实, 虚假
unfaith|不信任, 怀疑
uptake|举起, 拿起, 理解, 上风井, 摄入, 吸收
unnerves|使气馁( unnerve的第三人称单数 ); 使丧失勇气; 使焦躁; 使失常
understain|[医] 浅染, 染色不足
undependable|不可靠的, 靠不住的, 不可信赖的
untrusty|不可信赖的,不可靠的,不能信任的, 不忠的
undid|undo的过去式
unsyllabled|[网络] 未加注
uredostage|[植]夏孢子期
umbrageously|成荫地;多疑地
uncouthly|uncouth的变形
underlease|vi. 转租, 分租
unfruitfully|unfruitful的变形
unrevealed|未揭露的
usurp|篡夺, 侵占, 夺取
ussr|苏联
undecked|无装饰的, 无甲板的
unialgal|[植]单种藻的
underclothed|穿得单薄的
undouble|(使)不再对折,(使)展开,(使)不再握紧,(使)松开
uncluttered|整齐的, 整洁的
underpraise|过低价格
ulema|乌理玛（穆斯林国家的学者、宗教权威或法学家）； 乌理玛委员会
undecylene|十一碳烯
unilocular|[生]单房的,单室的
unlanded|没有地的,不拥有土地的
underbred|教养不良的, 没教养的, 劣种的
unrightful|[法] 不公正, 不合法的, 不义的
unopenable|不能开的,打不开的
usurpative|篡夺的,夺取的,侵占的
unpolluting|(unpollute 的现在分词)  未污染
undercooled|过冷的
unregeneracy|unregenerate的变形
urethrograph|[医] 尿道内径描记器
underdrift|潜流
undivested|未被脱去的,未被剥夺的
uninvited|未被邀请的, 未经请求的
unreversed|非反向的,不相反的,非倒转的,未撤销(或召回) 的
unicamerate|[医] 单腔的
unequals|(unequal 的复数) a. 不相等的, 不规则的, 不能胜任的
unrivet|拆除铆钉
unwrapping|移去…的包裹物, 打开, 展开( unwrap的现在分词 )
unurged|& adv.未被催促的(地),自愿的(地),自动的(地)
unbag|把…从袋里倒(或取、放)出来
unorganized|未组织起来的, 没有组织的, 没编成的
uncanniness|神秘可怕, 不可思议
unbarbered|未理发的,未剃须的,未修面的
ultramicron|[化] 超微粒子
unrecallable|不能召回的, 不能取消的, 不能罢免的, 不可挽救的
unstudied|未学得的, 不通晓的, 不故意做作的, 自然的, 即席而成的, 随便的
uncurls|使变直, 使舒展( uncurl的第三人称单数 )
uniovular|单卵的
unmolested|不受烦扰的, 不受干涉的, 平平安安的
unlade|卸下
uncoded|未编码的
uncast|演员未选定的, 未定角的
ureas|尿素塑料(类)
unallocated|[计] 未分配的
unsevered|未切断(或分离、断绝)的
uninfected|adj. 未感染的
unseamed|拆（缝）, 撕开, 使裂开( unseam的过去式和过去分词 )
undercoats|大衣内的上衣, 绒毛, 内层油漆( undercoat的名词复数 )
unburned|未燃的
urotoxicity|[医] 尿毒性
unsufficient|不充分的
unamenable|[法] 不承担义务的, 不承担责任的
underrated|对（某人或某事物）评价过低( underrate的过去式和过去分词 )
uterovesical|[医] 子宫膀胱的
unaccepted|未被接纳的, 被拒绝的,不承担的
undulant|波浪形的, 起伏的, 波动的
upgraded|更新的；提升的；加固的
urbanise|使都市化, 使文雅
unclasped|解开扣子, 打开( unclasp的过去式和过去分词 )
unpave|除去路面
unarmoured|非装甲的
unbark|剥去(树等)的皮
ultrafiche|超缩微平片,超缩微胶片
unpriced|未定价的, 未标价的, 贵重的
unclogging|使畅通, 清除…的阻塞, 扫除…的阻碍( unclog的现在分词 )
unbeholden|[网络] 不显露
underlessee|转租承租人, 分租承租人
unshackle|除去...镣铐, 释放, 使获自由
untranslated|[计] 未翻译的
underclub|[高尔夫]使用达不到射距要求的球棒
unstuffed|未填塞(或装满)的,不拥挤的
unmatchable|不能匹敌的, 不能相配的
unscrupulous|无道德原则的, 不审慎的, 肆无忌惮的
unites|（使）联合, 合并, 统一( unite的第三人称单数 ); 团结; （为某事）联合, 联手, 团结
underwriters|保险业者, 保险公司( underwriter的复数形式 )
unfree|[法] 不自由的
unhang|取下(悬挂物等), 从...拿掉悬挂物
uninvoked|未被祈求的,未被恳求的
unaudited|未审计的, 未查帐的, 未稽核的
unwrought|未最后成形的, 粗糙的, 未加工的, 未开发的, 原始的
undose|呈波浪形的,波状的
unvaccinated|adj. 未注苗的；未接种的
unzoned|未划分区域的, 不受限制的
unpitying|无同情心的, 无恻隐之心的
urinate|小便, 撒尿
underplayed|淡化…的重要性( underplay的过去式和过去分词 ); 使显得不如其实际重要; 表演（角色）不充分; 为了不充分显示力量而小心行事
unargued|无须辩论的; 未加辩论的；未予反驳的；承认的
unbandage|从…上解去绷带
urinals|尿壶( urinal的复数形式 ); 小便处, 小便池
umbraculate|(=umbraculatus)具伞的
unrepeatable|[计] 不可重复的
unheeding|不小心的, 不注意的, 不理会的
unadapted|不适应的, 未经改编的
unthread|抽去线, 解开...的线
unarticulate|无关节的
unawareness|[法] 不知觉, 不留神, 不察觉
undiscerned|看不出的,觉察不出的,识别不出的
urochordate|有尾索的
umbra|阴影, 本影, 暗影
unfashioned|未成形的, 未加工的
untread|返回, 折回, 退回
unprovoking|省油灯
unrhythmic|无韵律的,没有节奏的
unrelenting|不怜悯的, 无情的, 冷酷的
unsavory|没有味道的, 没有香味的, 难吃的, 难闻的, 令人不快的, 不可接受的
unsubmerged|不淹没的
undeclared|未申报的, 未宣布的
ugrian|乌戈尔人的, 乌戈尔语的
unbranded|未打上烙印的,无物主(姓名或标记)的
unkeyed|[网络] 无钥匙
unsecure|未加密的；不安全的
unretentive|无保持(力)的, 无保留(力)的
unlash|解开, 松开
ulmus|榆属
undergirth|底层加固束带
unminished|没有减少的
untangle|解开纠结, 解开, 整顿
ungarbed|[网络] 未加糖
unhorses|从…卸下马来, 使摔下马来, 推翻( unhorse的第三人称单数 )
upstrokes|(upstroke 的复数) n. 向上的一笔
untimeous|<苏格兰>=untimely
uracil|[生化]尿嘧啶
unrefined|未精制的, 未提炼的, 不高尚的, 粗俗的, 不优雅的
unpaved|没有铺砌的
unreasoning|不用理智的, 不讲道理的, 无理智的
uloborid|蛛
unembodied|[网络] 非具体化的
unsoured|未变酸的, 未变得不愉快的
unlatch|拉开门栓
unvulcanised|[网络] 未经硫化
uncoiled|[医]解缠绕的, 解螺旋的
uptowner|(uptown 的比较级) n. 非中心区, 住宅区
untether|解下拴牛马的绳、链
undog|松开夹扣[压马]
underwork|少做工作
undertakings|企业( undertaking的复数形式 ); 保证; 殡仪业; 任务
unindicted|未被告发的,未被起诉的
uninflated|未加压的; 未升高的
untime|不定时
unlatched|拔掉门栓, 未栓上( unlatch的过去式和过去分词 )
unapplicable|不适用的
unfriended|无友人的, 不被当朋友对待的
unpaged|未注明页码的
unabashed|不脸红的, 不害羞的, 脸皮厚的
unforgiving|不宽恕人的, 不原谅人的
unsharp|[计] 模糊
urethrism|[医] 尿道痉挛
upspring|向上弹,跃起
unstuck|松开的, 紊乱的
unequalized|[网络] 无与伦比
unnourished|[网络] 不卫生
urticant|痒的
underearth|[地]底黏土
undoers|(undoer 的复数) n. 破坏者, 勾引者
unhorse|从马上卸下来, 使摔下马来, 推翻
unthaw|[网络] un。。
untucking|拆开，分开( untuck的现在分词 )
unharmonious|不合谐的, 不和睦的
uncourteous|不知礼仪的, 无礼貌的, 粗鲁的
untrammeled|不受限制的, 自由自在的, 不受妨碍的
unsetting|防沉扶壁
ureterolysis|[医] 输尿管松解术
uninfluenced|未受影响的
uninstalled|卸载, 卸载软件( uninstall的过去式和过去分词 )
umber|棕土, 棕土色
unencumbered|没有阻碍的, 不受妨碍的, 没有负担的, 没有家累的, 没有子女的
unreefed|未收口的
unedged|(=waney-edged, round edged) 缺边的, 毛边的
unships|从船上卸, 解下, 被卸下（unship的第三人称单数形式）
unmusically|unmusical的变形
ursiform|熊状的
unifilar|单根线的
unwound|未卷绕的, 未上发条的, 松散的
unpardoning|不宽恕的,不原谅的
unsymbolic|[网络] 非符号
unhappiness|苦恼；忧愁
uroglaucin|[医] 尿蓝质
untwined|解开, 拆开( untwine的过去式和过去分词 )
underwrites|在（保险单, 尤指船舶保险单）下方签署并承担责任（承保损失或损坏之责）( underwrite的第三人称单数 ); 给…保险; （按商定的价格）认购（某公司）的全部剩余证券; 包销（证券）
ununderstood|[网络] 不明白
unreformed|未改革的, 未经宗教改革的
ululates|嚎( ululate的第三人称单数 ); 呜呜地叫; 啼; 哀鸣
underactor|次要演员
unworthily|不值得尊敬地, 可耻地, 不相称地
unmechanised|[网络] 未机械化
underwrote|underwrite的过去式
unctions|(unction 的复数) n. 涂油, 虚情假意, 津津有味, 敷擦圣油礼
unsocial|非社会的, 厌恶社交的, 不喜交际的, 孤僻的
undesiring|[网络] 不好意思
underplot|次要情节
undiagnosed|未确诊的,尚未找出原因的
unbridled|无缰辔的, 不受控制的, 无拘束的
unsavoriness|[网络] 没有味道
underspin|[体](球的)下旋
unneurotic|无神经官能症的, 神经不过敏的, 无神经质的, 神志健全的
unenviable|不值得羡慕的, 尴尬的, 不会引起嫉妒的
unsoldierly|非军人的, 不符合军人身分的
unriddler|unriddle的变形
uxoriously|疼爱妻子地, 顺从妻子地
unfilially|unfilial的变形
unrazored|未剃过的,未修过面的,未修剪过的
umbilectomy|(=omphalectomy)脐切除术
underbid|出较低的价钱, 出价低于(他人)
umbellula|伞形珊瑚
unraveling|解开, 拆散, 散开( unravel的现在分词 ); 阐明; 澄清; 弄清楚
ungovernable|难管制的, 难压制的, 放肆的
urethane|[化] 尿烷; 氨基甲酸乙酯; 乌拉坦
unwill|打消(原有意图), 改变(主意, 期望)
unpicking|拆开, 拆散( unpick的现在分词 )
unsensible|无感觉的, 无知觉的
unpurified|非洁净的,未净化的
unhood|去掉掩盖物；去掉假面具；揭开面纱; 除去(鹰)的头罩
urethras|尿道
unsmoked|adj. 未经熏制的
unalienated|[律]未转让的,未让渡的
unengaged|无约的, 未订婚约的, 没有事的
univocity|单义性
unredeemed|未履行的, 未实践的, 未赎回的, 未偿还的, 未补偿的, 未挽救的, 未收复的
unearthing|发掘或挖出某物( unearth的现在分词 ); 搜寻到某事物, 发现并披露
unavenged|未得报仇的,未得雪耻的
unallowable|不准许的, 不能允许的
unrelieved|未减轻的, 未受救济的
unspeaking|(unspeak 的现在分词) vt. 撤回, 取消(前言)
upfield|(足球等运动中)向前场的[地], 高磁场
unreturnable|不能返回(或回收)的,无法归还(或偿还)的
unlearnt|unlearn的过去式和过去分词
unsaponified|[网络] 未经说明
underdo|使煮得嫩, 不尽全力做
unrevised|未修订的,未订正的,未校订的,未修改的
urbanely|都市化地, 彬彬有礼地, 温文尔雅地
unseasoned|未熟透的, 未干透的, 未成熟的, 无经验的, 没有调味的, 未加作料的
uncopiable|不能抄写的, 不能复制(或仿造)的, 无法模仿的
unabridged|未经删节的, 完整的
undesignedly|非故意地, 无意中, 无心地
unpeoples|使减少人口, 弄成无人之地（unpeople的第三人称单数形式）
undercharges|少收钱( undercharge的第三人称单数 ); 未给（枪等）装足火药; 对…充电不足
upstate|偏僻的, 州的北部的
uprearing|养育, 升起( uprear的现在分词 )
untwines|解开, 拆开（untwine的第三人称单数形式）
urceus|单柄水罐
uropygium|[鸟]尾臀
underbaked|烤焙不足的
unloose|解开, 松开, 放开
unforeknown|事先不知的,未被料到的
urethylan|氨基甲酸甲酯, [俗]尿基烷
udderless|无乳房的, 失去母乳的, 无母的
urobilinogen|尿后胆色素原, 尿胆素原
ureometry|[医] 脲测定法, 尿素测定法
urataemia|[医] 尿酸盐血
unworn|从未穿过的, 还没穿破的, 未磨损的
unflappable|不慌张的, 镇定的
unuseable|[网络] 无法使用
uglify|使丑, 弄成难看, 丑化
unweaving|拆, 解开( unweave的现在分词 )
unmolded|未造型的
uniatism|东仪天主教
undercast|地下气道
ungrave|采掘
ulex|豆科荆豆属
underlayer|下层, 底层,衬层
unventilated|不通风的, 空气不流畅的
unbothered|无关的, 不相干的
undergown|衬袍
unconfused|[网络] 兩性不相混亂
unslinging|(unsling 的现在分词) vt. 由悬挂处取下, 解开吊索, 自吊索上放下
unpark|将(汽车)从停车场开走
underseller|[网络] 下划线
undervalues|对（某人或某事物）评价过低, 低估（某人或某事物）( undervalue的第三人称单数 )
uttered|以口发出声音( utter的过去式和过去分词 ); 说, 讲
undatable|[网络] 不可否认
unlovable|不可爱的
unpregnant|<废>不合适的,不恰当的
uraline|[化] 卡波氯醛; 三氯乙醛合氨基甲酸乙酯
undulates|波动, 起伏, 呈波浪形( undulate的第三人称单数 ); 使波动, 使起伏, 使成波浪形
unluckily|不幸地, 偏巧, 偏偏
usucaption|[法] 取得时效, 凭时效取得
unswayed|不受影响的, 不为所动的
ump|裁判员
unstabilized|不能控制的, 未加稳定(措施)的
unfound|尚未找到的,未被发现的
uncaria|钩藤
unclenching|(unclench 的现在分词) vt. 弄开, 撬开
unshroud|从…移去遮蔽物, 除去…的面纱(或帘幕等), 暴露,展示
unshadowed|无暗影的, 没受阴影笼罩的
unfolds|显露, 展现( unfold的第三人称单数 ); 展开, 打开
unreeve|(从滑车、心环等)拉回(绳子)
unfrocked|剥去法衣, 解除僧职( unfrock的过去式和过去分词 )
uncompleted|[经] 未完成的
undivorced|未离婚的, 未分居的
uprighted|(upright 的过去分词) a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
unregarded|不受注意的, 不被关心的, 被疏忽掉的
unwisdom|无知, 愚昧, 愚蠢
unchaperoned|无年长妇女陪伴的（少女）
uninitiate|& n. 未被接纳入会的（人）； 缺乏某种知识或经验的（人）
unstinting|无限制的, 慷慨的
upbore|upbear 的过去式
unhouseled|<古>未领受过圣餐的
unliveried|[网络] 未实行
uniciliate|单纤毛的
upend|颠倒, 倒放
unshelled|未去壳的,未脱粒的,无壳的
unsarcastic|[网络] 不吝啬
upswing|回升时期, 上升, 向上摆动, 跃进
unpoetical|无诗意的, 平凡的
uncured|未治愈的
unfadingly|不褪色地;不凋萎地
unratified|未批准(或认可)的
unfitted|不适合的, 不合身的, 宽大的
unio|珠蚌属动物
uppercuts|(uppercut 的第三人称 -s形式) n. 上钩拳
unmeaning|无意义的, 无意思的, 发呆的
urolithology|[医] 尿石学
underarms|(underarm 的复数) a. 腋下的
unsatisfy|不满意
unbacked|无助的, 无靠背的, 未驯服的, 无支持的
unpolarized|[物]非偏振的,不分化的
underglaze|釉底的
urticate|刺痛
umbellales|伞形目
uran|巨蜥
upheaved|举起, 推上去使上升, 隆起( upheave的过去式和过去分词 )
uric|尿的, 取自尿中的
unshot|射击不到的
ulatrophia|(ulatrophy)龈萎缩
unsuspicious|无嫌疑的, 不可疑的, 无疑虑的
unmemorable|不值得纪念的,不值得注意的,不容易记住的
uperize|直接喷射蒸汽杀菌, 喷射蒸汽
urticaria|荨麻疹
unambiguity|[计] 无歧义性
ungrudging|不吝惜的, 慷慨的, 自愿的, 由衷的
unsheathes|抽出鞘, 拔出( unsheathe的第三人称单数 )
unmodulated|[计] 未调制的
ultimacy|终极性, 根本性
ureter|输尿管
unrefreshed|[网络] 不开心
uneager|[网络] 不安
uratoma|[医] 痛风石, 尿酸盐结石
unpen|把...放出栏圈, 释放
urotoxia|[医] 尿毒性; 尿毒单位
ukelele|尤克里里琴
unpermissive|[网络] 无罪的
underload|欠载, 轻负载
unspell|解除…的魅力,使从着魔状态解脱出来
udaller|拥有土地自由保有权者
urb|urban 都市的; urbanite 城市居民; urbanization 都市化; urbanist 城市规划专家
undue|不适当的, 过度的, 未到期的
unliberated|adj. （妇女）未经解放的
urd|(印度产的)黑绿豆
umping|(ump 的现在分词) n. 裁判员
unabated|不衰退的, 不减弱的
unbonded|未粘着[合]的, 未砌合的, 无束缚的, 自由的, 游离的
unhearable|[网络] 不可磨灭
unlocking|开锁；开放
unwinking|不眨眼的, 时刻警觉的
unpitiful|不仁慈的, 无恻隐之心的
unkindliness|unkindly的变形
unloads|从…卸下货物( unload的第三人称单数 ); 摆脱; 拆掉; 脱手
undertreat|治疗不足的
urtite|磷霞岩
unobliging|[网络] 不负责任
unconfined|自由的, 无限制的, 无拘束的, (头发)松散的, 未束的
unmusical|不合调的, 不悦耳的, 演奏音乐不熟练的, 对音乐不感兴趣的
uniflorous|单花的
uncelebrated|未庆祝的； 无名的
underling|部下, 下手, 下属
unbordered|无边的
uniarticular|[医] 单关节的
underplays|淡化…的重要性( underplay的第三人称单数 ); 使显得不如其实际重要; 表演（角色）不充分; 为了不充分显示力量而小心行事
untruthful|不真实的, 假的, 不诚实的
urocystis|[医] 膀胱
unitizing|使成为一单位或一整体( unitize的现在分词 )
unattempted|未经尝试的
uncoffin|把…从棺材(或类似棺材的东西)中移出
unitizes|使成为一单位或一整体( unitize的第三人称单数 )
umbrellas|（雨）伞( umbrella的复数形式 ); 阳伞; 起保护作用的力量[势力]; 保护国（或体系）
underpayment|缴付不足；不足工资
unstick|扯开, 分开(粘着的东西)
uprising|起义, 升起
