kitchen|厨房
karen|凯伦（人名）；克伦邦（缅甸邦名）
kennedy|肯尼迪（姓氏, 美国第35任总统）
katrina|卡特里娜(f.)
killer|(非正式)杀人者, 屠杀者, 猛兽, 致死(疾病), 杀手, 止痛药, 限制器, 瞄准器
kodak|小型照相机, 照片, 柯达(照相机)
kingston|金斯敦（牙买加首都）
kde|桌面环境（Kool Desktop Environment）
kenneth|肯尼思（男子名）；[古]英俊的领导者
katie|卡蒂（女子名, 等于Kate）
kuwait|科威特
klein|克莱因（男子名）
kissing|接吻的
keyboards|键盘乐器；键盘（keyboard的复数）
knives|pl. 刀子
karaoke|卡拉OK；卡拉OK录音, 自动伴奏录音
karl|卡尔（男子名, 等于Charles）
kay|字母K, K字形物
karma|因果报应, 命运
ka|[电] 千安培
kilometers|<美>千米, 公里( kilometer的复数形式 )
kathy|凯西（女子名, 等于Katherine）
kai|卡伊（姓氏）
kills|杀戮；杀敌数；歼敌数（kill的复数形式）
kitty|小猫, 全部赌注
knights|骑兵, 骑士（knight的复数）
kenny|肯尼（姓氏）
kruger|克鲁格（现代寻租理论的创始人）；格尔（南非政治家）
kinase|激酶, 致活酶
ko|击倒, 打倒
kinda|有几分；有一点
kyle|（苏）狭海峡, 海峡
kw|[医] 千瓦[特]
keno|基诺(一种赌博)
kurt|库尔特（男子名）
kirk|教会, 苏格兰教会
knitting|编结, 针织法, 针织, 编结法, 编结物, 针织品
klunk|<美俚>=clunk
keratitis|角膜炎
kinless|无亲戚的
kroons|(kroon 的复数) n.克鲁恩(1940年爱沙尼亚的货币单位)
kirsty|(Kirsty)人名；(英)柯丝蒂(教名 Christiana、Katherine 的昵称)
kainite|[矿] 钾盐镁矾
keratinized|使角质化, 角质化( keratinize的过去式和过去分词 )
kris|波壮刃短剑（等于creese, 马来西亚和印尼的）
katalase|接触酵素, 过氧化氢酶
kippur|[电影]赎罪日
knurls|辊式拉边器
kellock|(=killick)应急锚, 锚
kins|家族；亲属；性质相似的东西；地位或职业相近的人（kin的复数）
koodoos|条纹羚羊, 纰角鹿（产于南非）( koodoo的名词复数 )
kerchieves|方巾( kerchief的名词复数 )
knapweed|黑矢车菊
kafir|[医] 卡菲尔高粱
kythed|证实, 宣布（等于kithe）
knurl|木节, 木瘤, 隆起
kopfring|弹端环
kvutza|小型集体农场
kennelman|养狗场主人, 养狗场管理员
kaross|(南非土人穿的)毛皮斗篷(或坎肩), 毛皮毯
kaddish|犹太教祈祷文
keratonyxis|[医] 角膜穿刺
krivu|克里范风
kilerg|[物]千尔格(功的单位)
knobstone|瘤石
kidnapping|绑架；诱拐
killable|kill的变形
kobi|[人名] 科比; [地名] [贝、喀麦隆、尼日利亚、印度尼西亚] 科比
kumara|红薯（毛利语，单复同）
kaon|K介子
kernelled|有核仁的
knobbler|小节, 小瘤；疙瘩；小的球形突出物
kashubian|卡舒比语(波兰北部的西斯拉夫方言)
kempt|收拾得很整洁的
kilovolt|千伏特
kumys|乳酒
kriegspiel|[德](用作盘上战术指挥训练的)军棋游戏
kinorhyncha|[动]动吻纲
kookiness|傻, 发狂
kenton|肯顿
khayal|克雅尔(一种印度古典声乐)
kombu|[医]昆布
kindles|（使某物）燃烧, 着火( kindle的第三人称单数 ); 激起（感情等）; 发亮, 放光
kidded|小孩；小山羊
kafiri|卡菲尔语(阿富汗东北部卡菲尔人的语言)
kermes|胭脂虫, 洋红
kittening|小猫( kitten的现在分词 )
keens|（为死者）恸哭, 哀号( keen的第三人称单数 )
kyphotic|[医] 脊柱后凸的, 驼背的
karyomere|染色体泡
kusimanse|无纹
klipspringer|山羚
knickers|短裤, 灯笼裤
kenotic|[医] [病理]排泄的
kissy|想要接吻的
knitters|[医]编织工
kissar|基瑟琴
kaput|完蛋了的, 彻底失败了的, 坏了的, 过时了的
kyphosis|驼背
kriss|韩国标准科学研究院（（Korea Research Institute of Standards and Science）
kand|(Kand)人名；(爱沙)坎德
kentishman|英国肯特郡人
knifings|(knifing 的复数) 刮涂, 刮膜, 切深, 切割
keynesianism|凯因斯主义
kootenay|(=Kutenai)库特奈人(北美洛矶山一带的印第安人), 库特奈语
kislev|(历法)基色娄月(即犹太教历9月,犹太国历3月,在公历11、12月间,共29或30天)
krebs|克雷布斯（姓氏）
kenyte|霓橄粗面岩
kreplach|三角馄饨
kedged|抛小锚移船( kedge的过去式和过去分词 )
knobbled|(knobble 的过去时) n. 小节, 小瘤
keyman|企业的中心人物, 要人
kerril|[医] 毒海蛇(印度洋产)
kinsfolk|家属, 亲属
kinetochore|[生]动粒, 着丝粒, 着丝点
kamba|[地名] [刚果民主共和国、尼日利亚、塞拉里昂、坦桑尼亚] 坎巴
keratotome|[医] 角膜刀
karyosome|染色质核仁
koppie|小山, 丘陵
kishke|(=derma)真皮, 皮肤
kitting|移挪补空
knitwear|针织品
knaggy|多节的, 凸凹的
knotter|打结的人[物], 解结的人[物]
knifing|刮涂, 刮膜, 切深, 切割
kochia|地肤
khamsin|喀新热风
keeshond|[动] 荷兰卷尾狮毛狗
kelter|（身心的）良好状态, 舒服
katakana|<日> (日本字母)片假名
katharina|(Katharina)人名；(英)凯塔琳娜；(德)卡塔琳娜
kotwalee|[法] 警察局
krona|克朗(瑞典及冰岛的货币单位)
knobbed|有节的, 多节的, 有圆头的
klongs|(klong 的复数) n. 运河
knesset|(以色列)议会
kinswoman|女亲戚
kiwanis|基瓦尼俱乐部(美国工商业人士的一个俱乐部)
keelless|无龙骨的, 无龙骨瓣的, 无龙骨突起的
kindredly|kindred的变形
kilooersted|千奥
kingcup|金凤花
kanas|<日>假名（日文的字母, 由汉字简化而来者）( kana的名词复数 )
keyboarder|操作键盘的人；键盘输入员
kibbling|粉碎的
kingbolt|中柱, 大螺栓
klatch|(非正式的)聚会, 谈话会
kamptulicon|橡皮地毯
kirmess|大市集, 庙会
knickpoint|[地]裂点,尼克点(指河流纵剖面上坡度的突变点)
knowability|可知性
knapsacks|（士兵或旅行者的）背包( knapsack的复数形式 )
kero|<澳新口> = kerosene
kercher|[人名] 克尔彻
kremlin|克里姆林宫
kudzu|野葛
khanate|可汗领土, 可汗地位
kornerupine|[化] 钠柱晶石
kolkhoz|苏联的集体农庄
kilometric|公里的, 以公里衡量的
karaburan|[气]黑风暴, 风砂尘(春夏两季发生在中亚地区的猛烈东北风)
kinesalgia|动作性(肌)痛, 肌动痛
keening|哭丧, 哀恸
keratometer|角膜散光计, 角膜弯度计
kerectomy|[医] 角膜[部分]切除术
keraphyllous|[动]角质层的
knightly|骑士的, 勇敢的, 侠义的
kloof|峡谷
kragerite|(=krageroite)金红钠长细晶岩
kiddo|老兄, 老姐
knouts|皮鞭（旧时俄国的一种刑具）, 笞( knout的名词复数 )
kopeck|苏联小铜板, 货币单位
kyanite|(=cyanite) [矿] 蓝晶石
khedah|(=keddah) 捕象陷阱
kinkier|卷曲的, 古怪的( kinky的比较级 ); 变态的
kittle|难应付的, 麻烦的
keeled|备有龙骨的
kief|(=keef)吸毒后的迷糊状态, 麻醉品
kingsnake|[动]王蛇(美国南部所产的一种大蛇)
kokstad|[地名] [南非共和国] 科克斯塔德
karite|多英霓细岗岩
kindred|家族, 相似, 亲戚关系
kyanized|将(木材等)浸入氯化汞溶液中(以防腐)
kaleidophon|[医]光普仪, 示振仪
kakas|（一种产于新西兰的）橄榄色鹦鹉( kaka的名词复数 )
knifelike|knife的变形
katagenesis|退行进化, 退化
kneads|揉( knead的第三人称单数 ); 捏（面团、湿粘土等）; 按摩; 揉捏（肌肉等）
kumiss|(=koumiss)马奶酒(亚洲牧民用马奶或骆驼奶酿成)
kwachas|(kwacha 的复数) n.克瓦查(赞比亚和马拉维的货币名称), 黎明(赞比亚人民争取民族独立的口号)
kersey|克尔赛粗绒厚呢, 克尔赛呢衣服
knobble|小节, 小瘤
keratoses|角化症（皮肤的角质生长）( keratosis的名词复数 )
kummerbund|腰围, 腹带
knolled|(knoll 的过去分词) n. 小山, 圆丘
kitman|(汽车器材)配套员
kabob|烤肉串
krigia|[网络] 克里希亚
kimberlite|[化] 金伯利岩; 角砾云橄岩(含钻石火成岩)
kronor|克朗（瑞典货币单位, krona的复数）
kassite|羟钙钛矿
kiswahili|斯瓦希里语(属班图语系东班图语族,系东非坦桑尼亚、肯尼亚等地通用的语言)
kenned|<苏格兰>知道( ken的过去式和过去分词 ); 懂得; <古>看到; <方>认出
kalan|[地名] [土耳其] 卡兰
keystroke|键击
katharine|凯瑟琳（女子名）
kilometrage|以公里计算的行程
kayak|爱斯基摩人划子
kauri|杉木的一种或其木材[树脂]
katabatic|下降的
kinkled|有小扭结的
kleptophobia|[心理]偷窃恐怖
knightia|[网络] 艾氏鱼；艾氏鱼属；武士鲱
kingdomed|王国；领域, 范围
knowingly|会意地, 心照不宣地, 故意地, 有意地, 老练地
kyanize|[机] 氯化汞浸渍处理
kourbash|(=Kurbash)(土耳其, 埃及用的刑具)皮鞭, 鞭笞
kiowa|基奥瓦人；基奥瓦语
kinging|国王；最有势力者；王棋
kelt|(=celt)凯尔特人
kiting|[经] 用空头票据骗钱, 挪用补空
kaiser|皇帝
katha|[地名] [缅甸] 杰沙
kerygma|[宗教] 福音传道, 传教问答中强调福音的要旨
khidmatgar|<印英> 男侍者( 亦作khitmatgar, khitmutgar)
koolokamba|西非黑猩猩
kcal|[医] 千卡, 大卡
kiboshed|胡说
keyless|无键的, 不用钥匙上发条的
kanga|肯加女服（非洲女子裹身布）；袋鼠
koryak|(Koryak)人名；(土、俄、土库)科里亚克
khotan|和阗河
kumis|马奶酒
kittel|(东正教犹太人在节日所穿的)基特尔白袍
killy|[人名] 基利
kinesiology|运动机能学
kinker|扭结轴
kamas|[地名] [美国] 卡默斯
karyomitotic|有丝分裂的
kippering|腌鱼；家伙
keepers|饲养员( keeper的复数形式 ); 保管人; 管理人; 负责人
kelectome|[医] 瘤组织剪钳
knifes|刮涂( knifing的第三人称单数 ); 刮膜; 切深; 切割
krome|(Krome)人名；(德)克罗梅
knottiness|多节, 纠纷, 难题
kinaesthesia|动觉
kokos|(koko 的复数) n. 可可芋头
kusan|[网络] 贵山；曲先；南韩
kiel|基尔（联邦德国港市）
keratotic|[医] 角化病的
keypunching|[计]穿孔
ketch|双桅纵帆船
kiev|基辅（乌克兰共和国首都）
kinematics|运动学
knelt|跪下（kneel的过去式）
kane|凯恩（姓氏, 美国北极探险家）
kissably|美丽而令人想吻地
kazatsky|(由一名男演员独舞的)哥萨克舞
kojima|小岛（日本地名）
kathryn|凯瑟琳（女子名）
kokobeh|(水果)果皮粗糙的
kennels|主人外出时的小动物寄养处, 养狗场
kelowna|基隆拿（加拿大的地名）
kerfuffle|混乱, 动乱
kuchean|龟兹语（古代流行在中国新疆吐鲁番, 焉耆和库车一带的语言）
kvetched|<美俚>强求( kvetch的过去式和过去分词 ); 督促; 经常性地发牢骚; 抱怨
kalian|波斯水烟筒
kylite|辉橄霞斜岩
kames|块菌子实体块
kookaburra|[动] 笑翠鸟(澳洲土著语)
kinnikinnick|（早期北美印第安人吸的）烟草代用品； 混合制成烟草代用品中的植物
kludges|杂牌电脑, 组装（计算）机( kludge的名词复数 )
kaiserin|皇后
knucks|[网络] 指关节
kingpin|中心立轴, (非正式)中心人物, 首脑, 关键人物, (非正式)主要成分
kobolds|(kobold 的复数) n.<德> 小鬼, 家神, 土地神
keratoid|角状的, 角质的
keewatin|基瓦丁的, 前寒武纪系岩系的
kinaesthesis|动觉
kama|[印神]爱神；欲望；卡马河（俄罗斯的河流）
knotgrass|两耳草
kronen|奥地利旧金币
kiddies|[口语]小家伙；小孩；小山羊
kanat|暗渠
klaxon|汽车喇叭
kongsbergite|汞银矿
kavass|(土耳其)卫士, 武装警察
kemp|冠军
kiter|kite（鸢；鸟类；骗子；飞机）的变形
kith|朋友, 邻居, 亲属
kleenex|[商标] 克里内克丝面巾纸
kashmirian|克什米尔的, 克什米尔语的, 克什米尔人的
koban|(日本的)警察派出所[日文汉字：交番]
kivas|(kiva 的复数) n. 基瓦会堂（或大地穴, 美国印第安人使用的一种圆形建筑）
keloidal|[医]疤痕疙瘩的
keeking|(keek 的现在分词) v.偷看, 侦察
kantism|康德哲学
koch|科赫（人名）
katabolic|分解代谢的, 异化的
knicker|女裤
kiva|基瓦会堂（或大地穴, 美国印第安人使用的一种圆形建筑）
kogia|[网络] 游戏产业振兴院；小抹香鲸属
kilhig|[林]推杆(指示伐木方向的杆子)
kemalism|基马尔主义(土耳其第一任总统所提的政治主张)
kilobyte|[计] 千字节
kites|风筝；轻帆（kite的复数）
klop|氯化苦
karyomitosis|[生物] 细胞核的有丝分裂
kissel|[人名] 基塞尔
kithara|(=cithara)[乐]西萨拉
kwan|关/坤
kota|哥打；辛田
kakistocracy|恶人政治
kinkily|纠结地;绻毛地;古怪地
kegler|打保龄球者
kiley|[人名] 基利，基莉（女名）
kernite|[地质] 四水硼砂
kinking|扭结；缠线
keweenawite|杂砷铜镍矿
kielbasa|波兰熏肠
kneepan|膝盖骨
khakis|卡其裤；卡其服装；卡其黄（khaki的复数）
killeen|(Killeen)人名；(英)基利恩
kissed|吻；接吻；轻拂（kiss的过去分词）
keffiyeh|(=kaffiyeh)阿拉伯人的头巾
kneebrush|(羚羊等动物的)膝上毛簇
kaaba|天房(麦加城中的方形石殿)
kinesipathy|运动障碍
kentallenite|橄榄二长岩
keynoter|政党基调演说人
krubi|巨魔芋
kell|凯尔（人名）
keld|落水管弯头；落水洞河外流处；河流静水区
kilograin|千英厘, 千格令
kukuruku|库库鲁库病
knothead|笨蛋
kraken|(相传北海中出现的)怪物
keyslot|键槽
keener|痛哭者
kotoite|粒镁硼石, 小藤石
kineplasty|运动成形切断术
killjoys|扫兴的人, 煞风景( killjoy的复数形式 )
kerchief|头巾, 围巾, 手帕
kiloword|[计] 千字
kol|关键意见领袖（Key Opinion Leader）；金山在线（kingsoft online）
kpc|keypunch cabinet 打孔厨柜; kiloparsec(s) 千秒差距(=3262光年)
kaph|(=kaf)希伯莱语的第十一个字母(相当于英语的K)
koklass|[医]勺鸡
kra|[医][=Klinefelter-Reifenstein-Albright(syndrome)]克-赖-奥三氏（综合征）：男性乳房发育-精子生成缺乏综合征
kairolin|[医] 甲基四氢化喹啉
koalas|树袋熊( koala的复数形式 )
kever|[人名] 克弗
kale|无头甘蓝类, 甘蓝菜, 蔬菜
kismet|命运, 天命
kinemometer|流速计
kneepads|护膝
kerned|使铅字上下突出；将…做平
kachinas|克奇纳神（Kachina的复数形式）
karyoplasm|核质
kakogenic|不育
kidlet|(=kidling)羔羊, 小山羊
koklas|松勺鸡
khamti|[网络] 卡姆提；坎提语；南昌昌北国际机场
knottiest|（指木材）多结节的( knotty的最高级 ); 多节瘤的; 困难的; 棘手的
kulan|[动]西亚野驴,吉尔吉斯草原野驴
kerchiefs|方巾( kerchief的名词复数 )
karyology|(细)胞核学
kamseen|(=Khamseen,=Khamsin)喀新风(埃及干热南风之一)
kachin|克钦（缅甸地名）
keypads|(keypad 的复数) n. 键区
kisses|吻；轻触（kiss的复数）
kitschy|艺术上浅薄鄙俗但技巧娴熟的
kerfs|(kerf 的复数) n. 劈痕, 截口, 切口
kenaf|[植] 洋麻, 洋麻(或槿麻)纤维
kingcups|(kingcup 的复数) n. 金凤花
kal|粗铁
kerf|劈痕, 截口, 切口
ketyl|羰游基
keyhole|键孔, 栓孔, 锁眼
killdee|喧鸻（小水鸟的一种, 产于北美洲）
koosin|(=koussin)苦辛, 苦苏苦素
kidnappings|绑架；诱拐
kiyi|吉伊白鲑
knick|科尼克（德国公司名）
komi|科米人[语]
konstantin|(Konstantin)人名；(丹、希、法、捷、俄、塞、保、德)康斯坦丁
keelivine|<苏格兰>铅笔
klipdas|野兔, 蹄兔
kinematic|运动学的
kashmiri|克什米尔语, 克什米尔人
kelp|海草, 巨藻, 海草灰
kermesite|n 红锑矿, 硫氧锑矿, 桔红硫锑矿
kashima|鹿岛, 神岛村
kashmir|克什米尔
kilobytes|千字节
kindredship|血亲[家族]关系
kirtles|(kirtle 的第三人称 -s形式) n. 女长袍, 外裙
kulm|[地名] [美国] 卡尔姆; [地名] [瑞士] 库尔姆
kettledrums|半球形铜鼓, 午后茶会( kettledrum的复数形式 )
knacked|(knack 的过去时) n. 熟练技术, 巧妙手法, 诀窍
kickers|(kicker 的复数) n. 踢者, 善踢的人, 爱踢的马
kniferest|(餐桌上的)刀叉架
kaas|(kaa 的复数) abbr. keep-alive anode 永正极
kerneled|核心, 要点；[计] 内核；仁；麦粒, 谷粒；精髓
kotwali|(印度的)警察局
kinases|(kinase 的复数) n. 激酶, 致活酶
kalendar|时间表,日历
krennerite|针碲金银矿, 斜方碲金矿, 白碲金银矿
killingly|吸引人地
kome|[地名] [乌干达] 科梅
kago|<日>日本轿子
kestrels|（产于欧洲的）茶隼（一种鹰）( kestrel的复数形式 )
knops|(knop 的复数) n. 球形手把, 蕾形装饰, 流苏
katalyze|[化] (=catalyze)催化
kibitka|鞑靼人的圆顶帐篷, 俄国有篷顶的乡下雪车
kryptomere|隐晶岩
khmer|高棉人, 高棉语
keratoiritis|角膜虹膜炎
ksar|K-band single access return (link) K波段单址返回链路
kenelm|[男子名] 凯内尔姆来源于古英语，含义是“锐利的头盔”(keen helmet)
knifer|搅土器, 剖土机
keratolytic|[医] 角质层分离的, 促成脱皮的
kerner|[人名] 克纳
knavishly|恶棍地, 不正地
kation|(=cation)阳离子,带正电荷的原子
kaiserism|独裁专制统治
koktaite|铵石膏
klebsiella|[医] 克雷白氏杆菌属
kory|[人名] 科里，科丽（女名）
kinghood|国王的王位
kali|[医] 钾
kam|金（姓氏）
kolea|[夏威夷]金斑
koumis|乳酒
kampuchea|(=Cambodia)柬埔寨(位于东南亚)
kingfishes|无鳔石首鱼, <美>掌握绝对权力的人, 首领( kingfish的名词复数 )
knotweeds|(knotweed 的复数) n.[植] 紫菀科植物, 蓼科杂草
kerchiefed|包着头巾的, 围着围巾的
kudus|(kudu 的复数) n. 条纹羚(非洲产)
kists|(kist 的复数) n.(=cist)史前之石柜, 箱形石坟
kingfisher|鱼狗, 翠鸟
khans|(khan 的复数) n. 可汗, 商队宿店
kula|库拉(美拉尼西亚群岛东南部特罗布里恩德岛民的交易制度)[土著语]
knelled|丧钟声( knell的过去式和过去分词 ); 某事物结束的象征
kenotron|高压整流二极管
kerseymere|(=cashmere,=cassimere)克什米尔羊毛料
keelhaul|使爬进船底, 严责
kibbutzim|以色列的集体农场( kibbutz的复数形式 )
karakule|一种羔羊;其毛皮
kelty|[人名] 凯尔蒂; [地名] [英国] 凯尔蒂
kail|甘蓝类蔬菜(汤), 钱
kulah|库拉地毯
kaiserdom|皇帝的地位, 政权, 皇帝的辖区
khellin|[化] 凯林; 凯拉果素
kips|[计] 每秒千条指令数, 千指令/秒
kazoo|卡祖笛
kemps|粗毛
kakemono|<日>n.(挂在壁上的)字轴,画轴,长轴
kipped|在某处过夜, 在（自己的床以外的地方）睡觉( kip的过去式和过去分词 )
keyseat|销槽; 铣键槽; 键座
keyed|锁着的, 用拱顶石连住的, 乐器有键的, 已调节音调的, 已被定于某调的
knees|膝( knee的复数形式 ); 膝盖; （裤子的）膝部; 坐下时)大腿朝上的面
keratogenous|引起角质组织生长的
knells|丧钟声( knell的名词复数 ); 某事物结束的象征
kipfel|新月形小酥饼[卷饼]
keynoted|要旨( keynote的过去式和过去分词 ); 主题; <音>主音; 定基调的人
krummhorn|变号(一种古双簧乐器)
kitsch|粗劣作品；迎合低级趣味的作品
kelpies|马形水鬼（苏格兰民间传说中能诱人自溺或预告人们将溺死）( kelpie的名词复数 ); 马形水鬼（苏格兰民间传说中能诱人自溺或预告人们将溺死）( kelpy的名词复数 )
kilodyne|[物]千达因
kieserite|[地质] 硫酸镁石
koss|[人名] 科斯
keratome|[医] 角膜刀
keb|[医][=kebuzone]酮保泰松
kromesky|油炸肉丸
katydid|美洲大螽斯
kersantite|云斜煌岩
kurta|(=khurta)(印度人穿的)无领长袖衬衫
khaya|卡欧属
kooks|<美口>怪人( kook的复数形式 ); 疯子; 怪癖的; 疯狂的
knifed|刮涂( knifing的过去式和过去分词 ); 刮膜; 切深; 切割
karluk|[地名] [美国] 卡勒克; [地名] [乌兹别克斯坦] 卡尔卢克
kinghorn|(Kinghorn)人名；(英)金霍恩
kilobits|千比特（kilobit的复数）
koswite|橄榄透辉岩
kazak|哈萨克族；哈萨克人
kymric|(=Welsh)威尔士语
keynoting|要旨( keynote的现在分词 ); 主题; <音>主音; 定基调的人
karyolymph|核液
kikongo|刚果人[语](即班图人[语])
kotowing|磕头, 卑躬屈膝
kip|小牛皮, 小客栈, 吊床, 千磅
krakens|(kraken 的复数) n. (相传北海中出现的)怪物
kummel|莳萝利口酒,烈性甜酒(内含莳萝等多种香料)
kart|小型赛车
knouting|鞭打( knout的现在分词 )
kidvid|<美>儿童电视节目
kickshaws|精美的菜肴；华而不实的玩物
korunas|克朗（捷克货币基本单位）, 值一克朗之硬币( koruna的名词复数 )
kampongs|(kampong 的复数) n. 小村庄
kirtle|女长袍, 外裙
kopjes|(kopje 的复数) n. 小丘
kneeling|跪着, 跪下
kilns|窑( kiln的复数形式 ); 烧窑工人
kolacky|(=kolach, kolace, kolatch) 有馅小圆面包
kilolitre|千升
konilite|粉状硅藻土
kerning|字距调整
kibitzes|乱出主意, 多管闲事( kibitz的第三人称单数 )
katabolite|[机] 降解产物
kongoni|东非狷羚
konimeter|尘度计
kantian|康德的, 康德哲学的
kame|冰砾阜
karoo|南非洲的干燥台地高原
kokil|(=kokila)印度噪鹃
kakatoe|[网络] 凤头鹦鹉
kinglets|(kinglet 的复数) n. 小国君主, 戴菊鸟
kalapooian|[网络] 卡拉普派
karyochrome|核(深)染色细胞(神经细胞的一种)
kickup|骚动
keester|(=keister) 手提皮箱, 屁股
kayoed|被击倒的
keeks|偷看，侦察( keek的第三人称单数 )
ketole|吲哚
koorajong|[植](澳大利亚)异叶瓶树(其韧皮纤维可用以织网、织席)
kennet|(Kennet)人名；(英)肯尼特
kilning|窑烧, 窑烘
kickbacks|激烈反应( kickback的复数形式 ); 佣金, 回扣
klip|飞来峰
kuvasz|白警犬
kofta|(印度)肉丸
kremlinology|苏俄政体研究
kana|[计] 假名
kryolith|冰晶石
kos|科斯(印度的长度名), 科斯岛(希腊岛屿)
ketose|酮醣
kiteflying|发表政治新闻
kasbah|旧城区, 城堡
kodiak|褐色大熊
karyomitome|核网丝
knocked|敲, 击, 打( knock的过去式和过去分词 ); （心）怦怦跳; 把…撞击成（某种状态）; 批评
kineticist|动力学家, 动态艺术家
kala|卡拉（女子名）
kemalist|基马尔主义者
knapping|敲击, 打碎, 猛咬( knap的现在分词 )
knighthoods|爵士[骑士]头衔[品位、身份]( knighthood的复数形式 )
kymatology|[医] 脉波学
knickknack|小衣饰, 小玩具
kachina|克奇纳神（霍皮印第安人崇拜的祖灵）； 扮成克奇纳神的舞蹈者
knaveries|流氓行为( knavery的名词复数 )
knockout|(拳击)击倒对方, 被击倒, 击倒, (非正式)令人倾慕的人/物, 轰动的事物
kopeks|(kopek 的复数) n.苏联小铜板, 苏联的货币单位
karo|卡罗（人名）
kinder|有几分；有一点
knits|（使）愈合( knit的第三人称单数 ); 编结; （使）紧密地结合; 织平针
knockoffs|<美><非正>仿制品( knockoff的名词复数 )
keratinize|[医] 使角质化, 角质化
kongo|刚果人, 刚果语
kathartic|泻药, 通便药
karn|圆锥形石垒
knapped|敲击, 打碎, 猛咬( knap的过去式和过去分词 )
kimonos|（日本的）和服( kimono的复数形式 ); 和服式女晨衣
kneading|[化] 捏和; 捏合
kinnikinick|烟草代用品
khalif|(=caliph)哈里发(伊斯兰教国家政教领袖的尊称)
kendo|<日> 剑道, 剑术
kine|雌牛；电视显像管
korumburra|[地名] [澳大利亚] 科伦巴拉
kuskite|柱石英二长斑岩
krummholz|[植]高山矮曲林
kinnikinic|[美国英语]；(早期北美印第安人用树叶、树皮、烟草等制成的)烟草代用品
kuan|官窑瓷器
kipping|在某处过夜, 在（自己的床以外的地方）睡觉( kip的现在分词 )
