earth|地球
endangeredly|濒危地
eutrophication|富营养化
eutrophicational|富营养化的
eutrophicationally|富营养化地
egypt|埃及
egypts|埃及
egyptian|埃及的
egyptianly|埃及地
ethiopia|埃塞俄比亚
ethiopias|埃塞俄比亚
ethiopian|埃塞俄比亚的
ethiopianly|埃塞俄比亚地
europe|欧洲
europes|欧洲
europeanly|欧洲地
enterprise|企业
efficiency|效率
entrepreneur|企业家
ethics|道德
empathy|共情
encouragement|鼓励
exhibition|展览
expressionism|表现主义
encore|返场
editing|剪辑
effects|效果
essay|随笔
equipment|装备
enthusiast|爱好者
endurance|耐力
evaluation|评估
endorsement|代言
example|例子
excellence|卓越
enhancement|增强
extent|程度
era|时代
enthusiasm|热情
ego|自我
entertainer|演艺人员
expense|费用
election|选举
embassy|大使馆
explosion|爆炸
eruption|爆发
emergency|紧急情况
eraser|橡皮
entrance|入口
eyebrow|眉毛
eyelash|睫毛
eyelid|眼睑
electron|电子
exterior|外部
edge|边缘
elevate|提升
exotic|异国的
equatorial|赤道的
expressway|高速公路
exhaustion|疲惫
earnest|认真的
eclipse|日食
editorial|社论
elegant|优雅的
elite|精英
emphasis|强调
empire|帝国
engine|引擎
enquiry|询问
entity|实体
episode|插曲
estate|房地产
eventually|最终
evil|邪恶的
exaggerate|夸大
exception|例外
excess|过量
exclude|排除
expedition|探险
expertise|专业知识
explicit|明确的
extensive|广泛的
external|外部的
each|每个
everything|每件事
else|其他
event|事件
eggs|蛋
employees|雇员
especially|尤其
employers|雇主
experiences|经历
emotions|情绪
exactly|恰好地
ever|在任何时候
engineering|工程
experts|专家
everyone|每人
earlier|更早的
examined|检查
enough|足够的
events|事件
easier|更容易的
entrepreneurs|企业家
even|甚至
extremely|极其
extracurricular|课外的
esteem|尊重
elimination|消除
exert|施加
elaborately|复杂地
erupt|爆发
enviable|值得羡慕的
erroneous|错误的
endanger|使……危险
entail|使需要
eccentric|古怪的
excessive|过度的
expansion|扩张
eyewitness|目击者
eloquent|口才好的
eradicate|根除
epidemic|流行病
entrepreneurship|企业管理
embody|体现
enthusiastic|热情的
exertion|运用
expenditure|费用
eligible|适合的
enrollment|入学人数
endow|资助
entertainment|招待
emigrate|永久移居国外
everlasting|永久的
eternal|永久的
evenly|一致地
embroidery|绣花
eloquence|雄辩
enclosure|围场
elliptical|椭圆的
earthenware|陶器
exposition|说明
embarrass|使…陷入困境
experimentation|实验
extravagant|奢侈的
emission|散发
equilibrium|平衡
enchant|迷住
exile|流放 n. 被流放者
excursion|（尤指集体）远足
exploration|考察
exemplify|举例证明（解释）
empirical|经验主义的
economics|经济学
elemental|基本的
engagement|婚约
exclamation|呼喊
excessively|过分
earnings|工资
elevation|高度
extraordinarily|非常地
electronics|电子学
electrode|电极
extraction|抽出
equator|赤道
errand|差使
essence|本质
epoch|（新）时代
escort|护卫
entreat|恳求
endeavor|努力
eastward|向东
envisage|vt. 想象
exaggeration|夸张
ensue|vi. 接着发生
enlightenment|启发
exclaim|vi. 呼喊
economical|节约的
evoke|vt. 唤起
exceedingly|极端地
exemplary|可作楷模的
electrical|电的
extraordinary|非同寻常的
exquisite|精美的
expectancy|预料
exempt|被免除的
easter|复活节
embed|vt. 把…嵌入
esthetic|美学的
embark|vi. 上船
elicit|vt. 诱出
edible|可以吃的
escalate|使…加剧; 加剧
evade|逃避
exposure|暴露
elevator|电梯
evacuate|撤离
everyday|每天的
extension|延长
employer|雇主
edition|版本
east|东方
eminent|杰出的
eve|夏娃
ending|结局
envelope|信封
encyclopedia|百科全书（亦是encyclopaedia）
elder|老人
exact|准确的
erase|抹去
establishment|确立
explosive|爆炸的
emperor|皇帝
excerpt|摘录
ebb|衰退
eighteen|十八
enemy|敌人
elsewhere|在别处
eyesight|视力
emphasise|vt. 强调
encyclopaedia|百科全书
ethic|道德准则
embryo|胚
endorse|vt. 赞同
endeavour|vi. 努力
england|英格兰
eighteenth|第十八
ecologist|生态学者
erode|侵蚀
encode|把编码
evaporation|蒸发
exhibitor|展出者
emergence|浮现
engraving|雕刻术
excavate|挖掘
engrave|雕刻
erie|伊利(人)
explorer|探险者
egalitarian|平等主义的
extensively|广泛地
everywhere|到处
exchanger|交换器
eggshell|蛋壳
eddy|旋转
euphrates|幼发拉底河
eurasia|欧亚大陆
excavation|挖掘
efficiently|有效地
exogenous|外生的
educator|教育家
environmentalist|环境保护论者
endogenous|内生的
envision|想象
eusocial|(昆虫)完全社会性的
eohippus|<古生>始祖马
endocrine|内分泌
exclusively|专门地
eka|准(第一)
elk|麋鹿
eurasian|欧亚的
eel|鳗鱼
exocrine|[医]外分泌的
exceptionally|格外地
enormously|极度
externally|外部地
extermination|消灭
elliot|埃利奥特(男子名)
engulf|吞没
erratic|古怪的
ethology|动物行动学
electrically|用电力;有关电地
expanse|广阔
electromagnetic|电磁的
extol|赞美
electronically|电子地
entrepreneurial|企业家的
exploitation|开发
elective|选举的
eagerly|热心地
epitome|摘要
estuary|河口
ember|灰烬
ethological|行为性的
eccentricity|反常
economist|经济学者
ectotherm|[动] 冷血动物
eocene|始新世(的)
epistle|书信
endotherms|温血动物
edifice|大厦
eukaryotic|真核状态的
emulsion|乳状液
exploratory|勘探的
encase|装入
epic|史诗
encroach|侵占
estuarine|入海的
evidently|显然
ether|天空醚
etch|蚀刻
elongate|拉长
exuberant|繁茂的
eukaryote|〈生〉真核细胞
encompass|包围
excitation|刺激
emanate|散发
erectus|[拉丁语]直立的
ephemeral|朝生暮死的
encroachment|侵蚀
eighty|八十
exponential|指数 adj. 指数的
endowment|捐赠
exhale|呼气
embolism|加闰日
exalt|晋升
entomb|埋葬
exorbitant|（要价等）过高的
earner|赚钱的人
elegance|高雅
efficacious|有效的
expertly|熟练地
enactment|设定
everest|珠穆朗玛峰(世界最高峰)
exhilarate|使高兴
electro|电镀物品
enforcer|实施者
expressiveness|表现
endocrinology|内分泌学
empress|皇后
emblem|象征
elaboration|苦心经营
entwine|(使)缠住
earthen|土制的
eletricity|电
expansionist|扩张主义(的)
enterprising|有事业心的
engender|造成
expendable|消耗品
enlargement|放大
ere|pron&conj. 在…之前
exportation|出口
extremity|极度
experimenter|实验者
emigration|移民出境
eon|永世
exponent|阐述者
enamel|珐琅
emigrant|移居外国者
eradication|连根拔除
exclusion|排除
enigmatic|谜的
escutcheon|有花纹的盾
enigma|谜
einkorn|单粒小麦
exoskeleton|[动] 外骨骼
encapsulate|装入胶囊
evanescent|迅速消失的
eclectic|折衷的 n. 折衷主义者
eyeball|眼球
episodic|插曲式的
earthward|向地球
endpoint|端点
embryonic|胚胎的
emancipate|释放
earning|所得
encircle|环绕
expressionless|无表情的
eminence|出众
embroider|刺绣
endear|使亲密
earnestness|坚定
etching|蚀刻版画
emergent|紧急的
epithet|绰号
effortlessly|毫不费力地
eloquently|雄辩地
extravagantly|挥霍无度地
enure|使习惯于 v. 变得更有利
eventual|最后的
enrichment|发财致富
enthusiastically|热心地
epidermis|[生]表皮
educable|可教育的
emboss|饰以浮饰
embellish|修饰
eke|补充
eviscerate|取出内脏
ethically|伦理(学)上
elusive|难懂的
entanglement|纠缠
earthworm|蚯蚓
ethnographic|民族志学的
expo|博览会
explosively|爆发地
equitable|公平的
efficacy|功效
equestrian|骑马的 n骑手
escalator|电动扶梯
electrocardiogram|[医]心电图
electroencephalogram|[医]脑电图
equilateral|等边的 n等边形
entrench|以壕沟防护
evenness|平均
ectothermic|变温动物
emotive|感情的
esoteric|秘传的
elixir|炼金药
elasticity|弹力
effluent|流出物
encrust|在表面形成硬壳
exhort|劝告
exodus|大批离去
externality|外部性
ellipse|椭圆
evacuation|撤离
excise|切除
empiricism|经验论
elm|榆树
epitomize|成为…的缩影
expropriate|征用
eschew|避开
ethnology|民族学
expedient|得当的
ensconce|使安顿
engaging|迷人的
emerald|祖母绿
exhilarating|令人高兴的
enlist|征募
embargo|禁止贸易令
extrapolate|外推
extrinsic|外来的
extort|勒索
electrolysis|电解作用
enslave|奴役
enunciate|清晰地发音
exalted|崇高的
espouse|支持
empower|授权
eclecticism|折中主义
entourage|〈总称〉随从
expeditious|迅速而有效的
etiquette|礼节
e|[计] 元件, 部件, 元素, 误差, 执行, 表达式, 指数
ebay|电子港湾；易趣（知名网上购物网站）
et|[化] 乙基
en|字母N, (铅字)半方
eur|欧洲, 欧洲人；欧元
eg|[拉]例如（exempli gratia）；[网络用语]邪恶的笑（Evil Grin）
el|预期损失（Expected Loss）
existing|存在的, 目前的, 现存的, 现有的
est|(美国)东部时间
ed|[计] 电子设备, 密码设备, 数据结束, 工程设计, 错误检测, 外部设备
etc|及其他, 等等
eyes|眼睛（eye的复数）
elements|原理, 基础
ex|已离婚的配偶
entries|进入；（词典所列的）词目（entry的复数形式）
errors|误差；错误；差错（error的复数）
efforts|努力；转向力（effort的复数）
examples|例子；列证（example的复数形式）
extended|延续的, 伸出的, 竭尽全力的, 广大的, 扩大范围的
eu|[化] 富集铀; 浓缩铀
ends|目的；末端；结束（end的复数）
em|[计] 媒体用毕符
estimated|估算的；估计的；预计的
ended|结束的（end的过去分词）
es|[化] 电子能谱; 电子能谱学; 专家系统
equity|公平, 公正
estimates|估计；概数；预算（estimate的复数）
enterprises|企业（enterprise的复数）
eric|科教资源信息中心（Educational Resources Information Center）；电子遥控与独立控制（Electronic Remote and Independent Control）
euro|欧元（欧盟的统一货币单位）
engines|火车头；发动机, 引擎（engine的复数形式）
elizabeth|伊丽莎白（女子名）
expressed|表达( express的过去式和过去分词 ); （用符号等）表示; 榨; [express oneself]（如在说话、写作或绘画中）表达（自己）的意见
expenses|开支, 经费, 费用
edward|爱德华（男子名）
entered|进入的
enforcement|执行, 强制
ericsson|爱立信公司
edited|编辑（edit的过去式和过去分词）
enabled|激活的, 使可行的
editors|编辑器；剪辑师；编辑（editor的复数形式）
ea|[计] 有效地址, 单元动作, 外部访问
exists|存在量词（exist的复数）
elections|选举, 选举制；投票（election的复数形式）
enhanced|增大的；加强的
entitled|有资格的；给与名称的
edt|[医] 乙二胺四乙酸, 依地酸
explained|解释（explain的过去式及过去分词）
ee|电机工程师
engineers|工程师；机械师（engineer的复数）
erotic|性爱的, 性欲的, 色情的
er|[医] 铒(68号元素)
exp|经验值；指数函数
epson|爱普生（日本一公司名称）
elected|选举, 推选
editions|版次( edition的复数形式 ); （报纸、杂志的）一份; （广播、电视节目的）一期; （书、报、杂志等的）一版印刷总数
ethernet|以太网
epa|[经] 环保协会
eligibility|适任, 合格
entering|[计] 进入, 键入, 输入, 录入
entirely|完全, 全然, 一概
ebony|乌木
everybody|每个人, 人人
ec|[计] 电子计算机, 仿真器控制, 工程更改, 错误纠正
expectations|希望( expectation的复数形式 ); 预料; （被）预期; [常作复数] 期望的事情
essays|散文( essay的名词复数 ); （作为课程作业, 学生写的）文章; 企图; （用来刊登的）论说文
edinburgh|爱丁堡
enables|使能够, 提供做…的权利[措施]( enable的第三人称单数 ); 使可能
expanded|扩充的；展开的
extras|[计] 附加设备, 额外设备
exposed|暴露的, 无掩蔽的, 易受攻击的
emissions|排放物( emission的复数形式 ); 散发物（尤指气体）
experiments|实验( experiment的名词复数 ); 试验; 尝试; 实践
emerging|[法] 出现的, 发生的, 形成的
environments|环境；生态环境；[计]（计算机系统运行的）环境（environment的复数）
emails|电子信函
earrings|耳环；耳饰（earring的复数）
enjoyed|享有（ enjoy的过去式和过去分词 ）; 玩得快乐; 喜欢
equipped|装备；整装；预备（equip的过去分词）
encouraged|受到鼓舞的
extensions|扩展, 扩张；延长（extension的复数）
earned|挣得的
engaged|忙碌的, 使用中的
embedded|植入的, 内含的, 深入的
eminem|艾米纳姆（上个世纪末涌现出的白人rap音乐代表）
evans|埃文斯（姓氏）
ent|[医]耳鼻喉（科）（ear, nose, and throat）
ext|扩展（extension）；外部（exterior）；额外的（extra）；提取（extract）
entities|实体对像; 实体, 独立存在体, 实际存在物( entity的名词复数 )
explains|解释；说明（explain的三单形式）
eng|[医] 眼震电流描记法
ef|每面（each face）；超精度（extremely fine）；仰角指示器（Elevation Finder）
ep|EP盘唱片（extended-play record）
edwards|爱德华兹(姓氏)
establishing|建立( establish的现在分词 ); 确定; [植物学]使（植物）定植; 使成为
encoding|[计] 编码
ecommerce|电子商务
ensuring|确保( ensure的现在分词 ); 担保获得[避免]; 使（某人）获得; 使安全
espn|娱乐体育节目电视网（Entertainment Sports Programming Network）；欧洲儿科肾病学会（European Society for Paediatric Nephrology）
exercises|练习题, 演习；运动
evaluated|评估；估…的价（evaluate的过去分词形式）
excluding|把...排除在外, 不包括..., 不计...
essentials|要件, 概要；基本营养素；生活必需品（essential的复数）
expenditures|花费( expenditure的复数形式 ); 使用; （尤指金钱的）支出额; （精力、时间、材料等的）耗费
ebook|电子书
equations|方程式；等式；均等；均势（equation的复数形式）
eq|情商（Emotional Quotient）；均衡器；电器极（Electrical Quadrupole）
essentially|本质上, 本来
ejaculation|突然说出, 射出, 射精
exchanges|交易所, 	票据交换总额；市场, 外币兑换（exchange 复数形式）
exports|出口商品；输出额
expanding|[机] 扩张工作
enabling|有可能, 或有条件完成的
estonia|爱沙尼亚
executed|执行（法令）( execute的过去式和过去分词 ); （按计划或设计）作成; 履行; 演（戏）
ecuador|厄瓜多尔
exceptions|免责条款（exception的复数形式）
eagles|老鹰乐队, 鹰；老鹰（eagle复数形式）
essex|艾塞克斯郡(英格兰郡名)
emily|埃米莉（女子名）
expressions|表情；公式；表达式；表示式（expression是复数形式）
elvis|埃尔维斯（男子名）
executives|主管们；高管们；执行管理者, 执行主管（executive的复数）
enquiries|询问（ enquiry的复数形式 ）; 调查; 查询; 问讯处
exploring|探索的, 探测的；扫描
enrolled|登记（入会；卷）
eddie|埃迪（男子名）
episodes|发作, 插曲（episode复数）
extends|延伸；扩充；继承（extend的第三人称单数形式）
edges|边界；边缘；优势（edge的复数）
escorts|陪同；护送（escort的第三人称单数形式）
evaluating|评估（evaluate的ing形式）
eyed|有眼的
ellis|埃利斯（男子名, 等于Elias）
exhibitions|与展览, 展示会；展示会（exhibition复数）
exhibits|陈列品；展览（exhibit的复数）
educators|（尤指作为一种职业的）教育工作者, 教员, 教师( educator的复数形式 )
ellen|埃伦（女子名）
exams|考试；检查（exam的复数）
ears|电声额定系统（Electro-Acoustic Rating System）
emirates|阿联酋航空公司
earl|伯爵
excluded|排除, 不包括在内( exclude的过去式和过去分词 )
eugene|尤金（男子名）
exemption|解除, 免除, 免税
ensures|确保( ensure的第三人称单数 ); 担保获得[避免]; 使（某人）获得; 使安全
estates|不动产；房地产, 财产（estate的复数）
extending|扩展；伸长
eh|interj. 啊!嗯!是吗?好吗?
expires|期满( expire的第三人称单数 ); 文件、协议等（因到期而）失效; 断气; 逝世
enemies|仇敌( enemy的名词复数 ); 敌军; 危害物; 大敌
emma|艾玛（女子名）
enjoying|享有( enjoy的现在分词 ); 玩得快乐; 喜欢; enjoy yourself （祝愿时说）玩痛快些
eva|伊娃（女子名）
ev|[电] 电子伏特
euros|欧元；欧洛斯风；带雨东南暴风（euro复数）
erp|企业资源计划（Enterprise Resource Planning）；有效辐射功率（effective radiated power）
eds|英语方言学会（English Dialect Society）；电子数据转换（Electronic Data Switching）；环境资料局（Environmental Data Service）
edmonton|埃德蒙顿（加拿大西南部城市）
explicitly|明确地；明白地
ez|电零点（electrical zero）；东区（eastern zone）
eau|[医] 水
eval|重新运算求出参数的内容
entertaining|使人愉快的, 有趣的
enhancements|增强( enhancement的复数形式 ); 增加; 提高; 用以增强、提高或美化之物
enhancing|提高( enhance的现在分词 ); 增进; 用计算机增强（照片等）; 提高…的价值（或价格）; 探溯语源, 指示语源( etymologize的过去式和过去分词 ); 增进; 用计算机增强（照片等）; 提高…的价值（或价格）
exec|主任参谋, 副舰长
eos|黎明女神
encountered|遇到；曾遭遇（encounter的过去式）
expedia|（美国）艾派迪（公司名, 主要经营商业服务和供应）
ensemble|全体, 合唱曲, (女人的)全套服装
edgar|埃德加（男子名）
estimation|判断, 估计, 尊重
eden|伊甸园, 乐园
explaining|讲解, 解释( explain的现在分词 ); 说明…的原因, 辩解; 说明, 解释, 辩解
emacs|[计] EMACS文本编辑器
editorials|社论（美）( editorial的复数形式 )
expired|失效的；过期的
economies|节约( economy的名词复数 ); 经济; 经济情况; 经济结构
evaluations|估价( evaluation的复数形式 ); <数>赋值; 估计价值; [医学]诊断
endorsed|& vi. endorse的过去式或过去分词形式
expiration|终止, 满期, 呼出, 呼气
electoral|选举人的, 选举的, (有关)选举的
elliott|艾略特（姓氏）
examining|[法] 审查的, 审讯的, 考试的
enclosed|被附上的
experiencing|体验
erik|埃里克（姓氏）
erotica|色情作品
enters|进入( enter的第三人称单数 ); 进去; 参加; 登记
existed|存在( exist的过去式和过去分词 ); 生存; （尤指在特殊的条件下或在特定的场所）发现; 持续存在
evanescence|逐渐消失, 消失性
expects|期望( expect的第三人称单数 ); 预料; 要求; 认为（某事）会发生
examinations|检查( examination的复数形式 ); 考试; 考查; 试题
encourages|鼓励( encourage的第三人称单数 ); 支持; 促进; 鼓动
earliest|早的；初期的
examines|仔细检查( examine的第三人称单数 ); 考试; 审查
extracting|提取；萃取；撷取
epistasis|[生]上位,异位显性
engrailment|engrail的变形
eupneic|呼吸正常的, 平静呼吸的
eidograph|缩放绘图仪
earmarking|[经] 指定用途
exostome|外珠孔
exhedra|(古希腊,古罗马)开敞式有座谈话间, 半圆形室外坐椅
epicurism|讲究饮食者的习惯, 美食主义
endorser|背书人, 转让人
entrustment|[法]委托
elutriating|淘析, 分级
emeu|鸸鹋（产于澳洲的一种体型大而不会飞的鸟）
enfiladed|纵向射击, 易受纵射的位置( enfilade的过去式和过去分词 )
ectoethmoid|外筛骨
evasible|可逃避的；可躲避的；可避免的
elocute|作慷慨激昂的演说,朗诵
eleidin|[化] 角母蛋白
ethnogeny|人种起源学, 人种学
ebonizes|使成乌木色, 使像乌木( ebonize的第三人称单数 )
erysimum|[网络] 糖芥属；桂竹香
ethanols|(ethanol 的复数) n. 乙醇, 酒精
ejuration|[法] 放弃, 撤回
echinite|海胆化石
explainer|讲解员；说锰序
exteriorize|把...从腹内取出
equant|等径的, 等分的
endoergic|[机] 吸热的
etcetera|等等, 额外的人(或物)
ells|(ell 的复数) n. 厄尔(英国旧时量布的长度单位), 字母L, L形物
erectors|(erector 的复数) n. 树立者, 竖立肌, 安装器, 安装者, 装配者, 建立者
erythropia|红视症
extemporal|无准备的, 脱口说的
enteral|[医] 肠内的, 肠的
endeavored|尝试, 试图( endeavor的过去式和过去分词 )
egotists|自我中心主义者( egotist的复数形式 )
eskar|蛇（形）丘
ectosome|外皮层
effectuating|实行, 完成( effectuate的现在分词 )
edaphology|土壤学
enterocoele|[医] 肠体腔
earstone|[解][动]耳石
epactal|多余的, 额外的
exanthemata|[医]疹病, 疹
enunciated|（清晰地）发音( enunciate的过去式和过去分词 ); 确切地说明
endows|捐钱( endow的第三人称单数 ); 捐赠; 资助; 使（某人）天生具有（好资质、能力等）
elementals|元素生物, 元素（elemental复数）
eure|[人名] 厄尔; [地名] [法国] 厄尔河
exultingly|兴高采烈地, 得意地
enplanes|搭乘飞机
elevon|升降副翼
exulceration|形成溃疡
excedent|超额, 超重, 过量, 多余, 过剩
equaled|比得上( equal的过去式和过去分词 ); （质量等方面）赶得上; 与…相等或相同; 使（某物）等于
ependymoma|室鼓膜瘤
entwisting|缠结( entwist的现在分词 )
euphuist|用浮华词语的人, 用绮丽文体写作的人
exhalant|呼出的, 发散(性)的, 蒸发(性)的
empyema|积脓症
emerged|出现（emerge的过去分词）；浮现, 暴露
execrated|憎恶( execrate的过去式和过去分词 ); 厌恶; 诅咒; 咒骂
eucrites|(eucrite 的复数) 钙长辉长岩
enfant|<法>儿童,小孩
eschalot|葱
exemptions|（义务等的）免除( exemption的复数形式 ); 免（税）; （收入中的）免税额
exoner|[英国英语]英王仪仗卫士(4名)队长  [亦作 exempt]
endermically|[医] 经皮肤地(用药)
emphatic|语调强的, 着重的, 强调了的
egilops|[医]内脓肿穿破
electiveness|选修制
exorability|容易说服, 心肠软
epimer|[化]差向(立体)异构体,差位(立体) 异构体
easeless|不轻松的；不愉快的；不安逸的；不舒适的
epicormic|嫩条
enterable|可进入的, 可参加的
errorist|怂恿错误的人；鼓励错误的人
euphonize|使声音和谐, 使声音悦耳
endamaging|使损坏( endamage的现在分词 )
eugenic|优生学的, 优种的
enarthrodial|[医] 杵臼关节的
endoskeleton|内骨骼
extremest|(extreme 的最高级) n. 极端, 末端
echeveria|[植]景天科拟石莲花属植物(产于热带美洲)
eudaemonia|幸福, 因理性而积极生活所带来的幸福
epiglottitis|[医] 会厌炎
eremurus|(pl. -ri [-rai])[植]独尾属植物
exuviation|蜕皮, 脱落物, 脱壳
exited|离开, 退场( exit的过去式和过去分词 )
eponymous|齐名的
enterpriser|干事业的人, 创业者, 企业家
entoptoscopy|[医] 眼内媒质镜检查, 眼内填质镜检查
epagogic|归纳论证的
epizoon|[动]体表寄生动物, 皮表寄生虫
endlichite|砷钒铅矿
englobement|[医] 摄入, 吞噬
emeraude|祖母绿
emancipating|解放某人（尤指摆脱政治、法律或社会的束缚）( emancipate的现在分词 )
enterology|[医]肠病学
efface|抹去, 消除, 忘却
elocution|雄辩术, 演说法
eyeservant|阳奉阴违的仆人
endocentric|内心的
emollient|使柔软的
ensky|(使)耸入天空
ecocide|生态灭绝
epispore|[植]孢子外壁, (孢壁)花纹, 附生孢子
ebenaceae|[植] 柿树科；柿科
endocardiac|[医](=endocardial)心内的,心内膜的
epiglottis|会厌
echoless|[医]无回声
espying|看到( espy的现在分词 )
engrailed|边上有一圈突起小点的； （纹章等）边缘锯齿形的
etude|练习曲
encarpa|绘画[雕塑]上的花果图案装饰
ensilaging|保藏于地窖( ensilage的现在分词 )
ecclesial|教会(机构)的
eave|屋檐
expectorants|除痰剂( expectorant的复数形式 )
eprouvette|试管；试件, 试样
epistemic|认识的
esophoric|[医] 内隐斜视的
enframe|配上框子, 装在框内
endostoma|[医] 骨髓腔肿瘤, 内生骨瘤, 中心性骨瘤
equators|(equator 的复数) n. 赤道
entomostraca|切甲类
eucharists|【宗教】；圣餐,圣体( = Holy Communion)
epiphyllum|昙花
emphasising|(emphasise 的现在分词) vt. 强调, 重读, 加强...的语气, 着重
euthanatize|使安乐死,对…施无痛致死术
erects|使直立, 竖起( erect的第三人称单数 ); <正>建立
exchangite|(美国)全国交易俱乐部会员
erewhiles|<古>片刻前, 前不久
esophagitis|[医] 食管炎
episomal|游离基因的（生物学术语）
epitaxis|外延生长
evelyn|伊夫林（女子名）
exomorphism|外(接触)变质
exanimate|已死的, 无生气的
eternalness|永恒, 永远
ectosarc|[生]原虫外膜
escarole|做沙拉的一种蔬菜
execrable|该咒的, 可憎恨的, 讨厌的
encumbered|<正>妨碍, 阻碍, 拖累( encumber的过去式和过去分词 )
elvishly|elvish的变形
emetine|[药]依米丁,吐根碱,吐根素(用作催吐剂,祛痰剂和杀阿米巴剂)
extemporise|& vt.<主英>=extemporize
equilibrial|平衡
ethanethiol|[化]乙硫醇
eliphalet|[人名] 伊利法莱特
enthrone|立...为王, 使登基, 任为主教, 崇拜
ean|有效原子序数（Effective Atomic Number）；实验过敏性神经炎（Experimental Allergic Neuritis）
engraft|使牢记, 灌输, 嫁接
emceed|担任…的主持人, 主持( emcee的过去式和过去分词 )
eelpot|捕鳗用的细颈篮或其他工具
eukairite|硒铜银矿
epididymitis|[医]附睾炎
expulsive|逐出的, 有驱逐权的
emboldening|[计] 增亮, 加深, 加强
etruscan|(意大利中西部古国)伊特鲁里亚的,伊特鲁里亚人的
epitaxy|[计] 外延
enepidermic|对皮肤用药的
enwrapped|包裹, 围绕, 包围( enwrap的过去式和过去分词 )
exciple|[植]囊盘被
edifies|开导, 启发( edify的第三人称单数 )
emblazon|用纹章装饰, 盛饰, 颂扬
encumbrances|负担( encumbrance的复数形式 ); 累赘; 妨碍; 阻碍
