yesterday|昨天
yowling|冰啸声(冰裂时发出的声音)
yuke|(Yuke)人名；(日)由气(姓)
yearner|向往型；思念者
yee|仪；绮（女子名）
yarding|堆置成方, 集材(机)
yucatec|尤卡坦人, 尤卡坦语
yapping|<贬> （尤指小狗）尖叫, 狂吠( yap的现在分词 ); <非正>（对一些无关紧要的事）哇啦哇啦地说个不停
yarwhelp|<英方>=godwit[方言]
yest|雅思特企业有限公司
yachty|似快艇的, 适合游艇的
yulan|[植]玉兰(花)
yamp|(=yampa, yampah)葛缕子
yearners|(yearner 的复数) n. 向往型；思念者
ytterbite|(=gadolinite)n.硅铍钇矿
yoicks|int. 催赶猎犬的声音
yatter|<俚>瞎聊
yammer|哀号, 哭泣, 嗥叫
yogism|瑜珈的教义;瑜珈
yapok|(=yapok)[动]蹼足负鼠
yipped|犬吠, 叫喊( yip的过去式和过去分词 )
yeasts|酵母( yeast的复数形式 ); 酵母菌; 发面饼; 发酵粉
yar|纱线
youngness|young的变形
yellowtail|黄鳍短须石首鱼
yonnie|<澳><儿俚>石块,石头[土著语]
yerk|[方]=jerk
yodh|希伯来语的第十个字母
yokozuna|(Jap) 横纲（相扑的三名最高级别之一）
yellowback|十九世纪流行的黄封面的廉价通俗小说, 法国廉价小说
yair|<澳>=yeah
yellowroot|黄根树
yangtze|长江, 扬子江
yaups|喧嚷声；高声喊叫声
yapock|（热带美洲的）蹼足负鼠
yestereven|昨晚, 昨夜
yantras|(yantra 的复数) n.[宗]具( 印度教和佛教坐禅时所用的线形图案)
yug|[地名] [俄罗斯] 尤格; [地名] [俄罗斯] 尤格河
yarns|纱( yarn的名词复数 ); 纱线; 奇闻漫谈; 旅行轶事
yogh|(中世纪英语中的)V字母(表示软腭音及腭音摩擦音)
yeuk|<苏格兰>n.痒
yashmaks|面纱；双重面纱
yieldingly|易弯曲地, 柔顺地
ytterbia|氧化镱
youths|年轻, 青年时代, 青年们, 青春
yuruk|[Yuruk ]尤罗克人(居住在安纳托里亚东南部山区游牧民族的一支)
yorkist|约克党, 约克派
yonis|（印度教象征性力女神而受教徒崇拜的）女性外阴像( yoni的名词复数 )
yielding|生产的, 屈从的, 柔顺的, 易弯曲的
yeared|☉年(格里历一年有365天,闰年有366天) (calendar year 历年;civil year 民用年)[参较 common year, leap year]
yellowbill|[鸟]黄嘴鹃
yetis|雪人（等于Abominable Snowman）
yacking|废话（等于yackety-yak）；哄堂大笑；侃大山
yelping|发出短而尖的叫声( yelp的现在分词 )
yakked|<非正, 贬>没完没了地谈些无关要紧的事, 喋喋不休, 唠叨( yak的过去式和过去分词 )
yolked|(yolk 的过去分词) n. 蛋黄, 卵黄
yucking|int. 啐（表示反感等，等于yuk）
yellowy|淡黄色的, 带黄色的
yielded|屈服, 投降（yield的过去式与过去分词形式）
yestern|=yester[变体]
yay|int. 哇（因高兴而欢呼）
yachting|驾帆船, 风帆比赛, 乘游艇航行, 驾驶快艇
yarner|(毛、丝、亚麻、棉、尼龙、玻璃等的)纱、纱线；(制绳索用的)粗纤维
yvonne|伊冯(f.)
yardarms|(yardarm 的复数) n. 桁端
yeastlike|似酵母的
yeomanry|自由民, 自耕农
yeas|肯定, 赞成( yea的复数形式 )
yeo|int. 唷(水手拉绳时一道发出的叫声)
yaqui|雅基族（一印第安族）；雅基河
yager|贼鸥, 步兵, 猎人
yellowweed|[植]千里光,堆心菊
yesternoon|, n. [古语] = yesterday noon
yurta|圆顶帐篷
yearnings|思念, 渴望( yearning的名词复数 )
yobi|岳比(妇女美容保健药)
yttrocrasite|钛钇钍矿
yttrious|钇的;含钇的
yardsticks|比较或衡量的标准, 尺度( yardstick的复数形式 )
yogi|瑜伽派教师, 教瑜伽功者
yardmaster|调车场场长
yuans|(yuan 的复数) n. 元(中国货币单位)
yabber|谈话, 说话, 急促而含混不清的话
yorkers|(板球中投手投出的球恰好落在击球员前面的)脚前球, 球板前球
youngstown|扬斯敦（美国俄亥俄州东北部城市）
yuh|(Yuh)人名；(朝)舆
yente|长舌妇, 好管闲事的女人
yesty|yesterday 昨天
yodeler|yodel的变形
yechy|<美俚>=yucky
youl|(Youl)人名；(布基)尤尔
yezidi|耶西迪人(阿尔美尼西的库尔德斯坦和高加索的一个宗教派别的人, 既信奉天主, 又崇敬魔鬼)
yahooism|人面兽心
yardman|场地工作人员, 铁路车场工作人员
yearbooks|年鉴, 年报, 年刊( yearbook的复数形式 )
yuman|尤马语系
yeggman|窃贼
yesses|(yess 的复数) adv. [no的对立面, 用于表示一致、同意、赞成、答应、肯定、确认]是, 是的；[用于进一步强调]不仅…而且：
yeti|雪人
