apple|苹果
activist|活动家
actuality|现实
actuary|精算师
adapter|适配器
additive|添加剂
addressed|已解决的
adequacy|充足
administrative|行政的
administrator|管理员
adoption|采用
adorable|可爱的
adornment|装饰
adsorb|吸附
advantageous|有利的
advent|到来
adversary|对手
advert|广告
advertiser|广告商
advertising|广告业
advocacy|倡导
aerobics|有氧运动
aerospace|航空航天
aesthetic|美学的
affable|和蔼的
affair|事务
affecting|感人的
affirmation|确认
affluence|富裕
affordable|负担得起的
aforementioned|上述的
afterlife|来世
aftermath|后果
afterward|之后
aggregate|总计
aggression|侵略
agitate|煽动
agonize|苦恼
agriculture|农业
ailing|生病的
aircraft|飞机
airline|航空公司
airliner|客机
airmail|航空邮件
airway|航线
alarmist|危言耸听者
alchemist|炼金术士
alcoholism|酗酒
algebra|代数
alias|别名
alight|点亮的
alignment|对齐
alimentary|营养的
alimony|赡养费
allegation|指控
allegiance|忠诚
allegory|寓言
allergen|过敏原
alleyway|小巷
allied|结盟的
alligator|短吻鳄
allocation|分配
allot|分配
allowable|允许的
alloy|合金
allude|暗指
allurement|诱惑
allusion|暗示
aloof|冷淡的
alphabet|字母表
alteration|修改
alternation|交替
altruism|利他主义
aluminium|铝
amass|积聚
amber|琥珀色
ambiguity|模糊
ambush|埋伏
amendment|修正案
amenity|便利设施
amiable|友好的
amicable|友好的
ammunition|弹药
amnesia|健忘症
amnesty|大赦
amity|和睦
ammonia|氨
ammeter|电流表
amorous|多情的
amorphous|无定形的
amphibian|两栖动物
amplifier|放大器
amplitude|振幅
amusement|娱乐
amusing|有趣的
analogous|类似的
analogue|模拟的
analyzer|分析器
anarchist|无政府主义者
anarchy|无政府状态
ancestral|祖先的
ancestry|血统
anchorage|停泊处
anesthesia|麻醉
anew|重新
angelic|天使般的
angular|有角的
animated|生动的
animosity|敌意
ankle|脚踝
annex|吞并
annihilate|消灭
annotate|注释
annotation|注释
announcer|播音员
annoyance|烦恼
annually|每年
annuity|年金
annul|废除
anode|阳极
anomalous|异常的
anomaly|异常
anonymity|匿名
antagonism|对抗
antagonist|对手
antecedent|前情
anterior|前面的
anthem|国歌
anthology|选集
antidote|解毒剂
antifreeze|防冻剂
antique|古董
antiquity|古代
antiseptic|防腐的
antitrust|反垄断的
anus|肛门
apartheid|种族隔离
apartment|公寓
ape|猿
apparatus|仪器
apparel|服装
apparently|显然
apparition|幽灵
appealing|有吸引力的
appearance|外貌
append|附加
appendix|附录
appetizer|开胃菜
applicable|适用的
applied|应用的
appointee|被任命者
appraisal|评估
appreciable|可观的
appreciative|感激的
apprehend|逮捕
apprehension|忧虑
apprentice|学徒
apricot|杏子
apron|围裙
aquarium|水族馆
arable|可耕的
arbiter|仲裁者
arbitrator|仲裁人
arc|弧
arcade|拱廊
archaic|古老的
archbishop|大主教
archer|弓箭手
archetype|原型
archipelago|群岛
architecture|建筑学
archive|档案
archway|拱道
arduous|艰巨的
arguable|可论证的
arguably|可以说
aristocracy|贵族
aristocrat|贵族
arithmetic|算术
armament|军备
armband|臂章
armchair|扶手椅
armed|武装的
armful|一抱
armor|盔甲
armory|军械库
armpit|腋窝
armrest|扶手
army|军队
aromatic|芳香的
arrangement|安排
array|排列
arrival|到达
arrogance|傲慢
arse|屁股
arsenal|兵工厂
artful|狡猾的
arthritic|关节炎的
arthritis|关节炎
article|文章
articulate|清晰的
artifact|人工制品
artifice|诡计
artisan|工匠
artistry|艺术性
artwork|艺术品
ascension|上升
ascription|归因
ashore|在岸上
asinine|愚蠢的
askance|斜视地
aspire|渴望
ass|驴
assail|攻击
assailant|攻击者
assassin|刺客
assassinate|暗杀
assay|化验
assemblage|装配
assembly|集会
assent|同意
assertive|自信的
assimilate|同化
assimilation|同化
assistant|助手
assorted|各种各样的
assortment|分类
assuage|缓和
asthma|哮喘
astound|使震惊
astray|迷路
astute|精明的
asylum|庇护所
atonement|赎罪
atop|在顶上
atrocious|凶残的
atrocity|暴行
atrophy|萎缩
attachment|附件
attainment|成就
attendance|出勤
attendant|服务员
attentive|注意的
attenuate|减弱
attest|证明
attic|阁楼
attire|服装
attraction|吸引力
attractive|有吸引力的
attributable|可归因的
attribution|归因
attrition|消耗
attune|使协调
auctioneer|拍卖师
audacious|大胆的
audacity|大胆
audibility|可听性
audible|听得见的
audio|音频
auditor|审计员
auditorium|礼堂
auditory|听觉的
augment|增加
augmentation|增加
aura|光环
aural|听觉的
auspices|赞助
auspicious|吉利的
austere|朴素的
austerity|紧缩
authenticity|真实性
authoritarian|独裁的
authoritative|权威的
authorize|授权
autobiography|自传
autocrat|独裁者
automation|自动化
autonomous|自治的
autonomy|自治
autopsy|尸检
auxiliary|辅助的
avail|有用
availability|可用性
avalanche|雪崩
avarice|贪婪
avenge|复仇
aver|断言
aversion|厌恶
aviator|飞行员
avid|热衷的
avocado|鳄梨
avow|承认
avowal|公开声明
awaken|唤醒
awash|被淹没的
awe|敬畏
awfully|非常
awning|遮阳篷
awry|歪的
axiom|公理
axle|车轴
azure|蔚蓝的
asking|询问
allows|允许
attached|附加的
again|再一次
ago|以前
always|总是
adults|成年人
another|又一
around|在四周
added|附加的
almost|几乎
any|任何的
after|在……之后
away|离开
are|是
affected|受影响的
associated|联系
anything|任何事物
at|在
according|依照
ahead|在前面
asked|问
an|一
achievements|成就
animals|动物
actually|实际上；事实上
already|已经
as|作为
americans|美国人
advantage|优势
along|一起
anyone|任何人
areas|地区
also|也
against|反对
among|在…之中
allowed|允许
about|关于
activities|活动
across|穿过
although|虽然
and|和
all|所有的
absolutely|当然
affiliation|隶属关系
abnormally|不正常地
accidentally|偶然地
authorities|当局
appropriation|挪用
abandonment|放弃
astronomical|天文数字的
adventurer|冒险者
accrue|积累
acutely|强烈地
authorization|授权
adversely|不利地
alternatively|二选一地
alphabetical|按字母表顺序的
apathy|冷漠
aspirational|渴望成功的的
adversity|逆境
accustom|使习惯
automatically|自动地
accountable|应负责的
aptly|适当地
abolition|废除
approximately|大约
allegedly|据说
axial|轴的
ambient|周围的
anybody|重要人物
alongside|在…旁边
absorption|吸收
adjoin|贴近
apt|恰当的
aerial|空气的
adjustable|可调整的
astonishment|惊奇
agitation|鼓动
arch|拱门 v. （使）拱起
antenna|触角
ascribe|把…归于
alas|int. 唉
approval|赞成
assassination|刺杀
accustomed|惯常的
appease|vt. 平息
accommodation|住处
agent|代理人
air-conditioning|空调设备
alcohol|酒精
advisable|可取的
acre|英亩
accidental|偶然的
aside|在旁边
acrobat|特技演员
agency|代理(处)
adverb|副词 adj. 副词的
appal|使惊骇
apologise|(to
abound|富于
auto|汽车（等于automobile）
aboard|在飞机上
amuse|娱乐
aeroplane|飞机（等于airplane）
altogether|完全地
april|四月
adjective|形容词的
astonish|使惊讶
affluent|富裕的
analytic|分析的
axe|斧 v. 削减
ash|灰
aloud|大声地
anyhow|不管怎样
ax|斧
appall|vt. 使惊骇
archeology|考古学
afterwards|后来
above|在…上方
atomic|原子的
aquifer|含水土层
advertisement|广告
atlantic|大西洋 adj. 大西洋的
acorn|橡树果
alder|[植]桤木
archaeological|考古学的
archaeologist|考古学家
alaska|阿拉斯加州(美国州名)
antarctica|南极洲
arid|干旱的
atmospheric|大气的
anthropologist|人类学家
aurora|黎明的女神
aboriginal|土著的
astronomer|天文学家
alkali|碱 adj. 碱性的
accumulator|蓄电池
archaeopteryx|始祖鸟(古代生物)
agrarian|有关土地的
anemone|[植]银莲花
alpine|高山的
abigail|(贵妇人的贴身)使女
angiosperm|被子植物
allende|阿连德(在墨西哥
accessible|可得到的
appalachian|阿帕拉契山脉的
alertness|警戒
adept|熟练的
abundantly|大量地
anywhere|无论何处
adobe|泥砖
amplification|扩大
agriculturalist|农学家
adorn|装饰
aristocratic|贵族政治的
anthocyanin|[植]花青素
acidic|酸的
abruptly|突然地
abstraction|提取
afield|远离着(家乡)
aborigine|土著居民
aggressiveness|进取精神
anecdotal|轶事的
anglo|盎格鲁
arthropod|节肢动物(的)
airflow|气流
aerodynamic|空气动力学的
alp|高山
affinity|密切关系
appropriately|适当地
acceptable|可接受的
aragonite|[矿]霰石
avant|先锋的
asymmetrical|不对称的
archaeocyte|原始(生殖)细胞
achondrite|不含球粒陨石
alaskan|阿拉斯加人 a阿拉斯加的
airstream|气流
autobiographical|自传的
ascent|上升
aesthetically|有审美能力地
adrift|漂流的
adaptability|适应性
aqueduct|沟渠
adaptable|能适应的
arab|阿拉伯人(的)
accrete|共生
arousal|觉醒
absenteeism|旷课
anti|反对者 a反对的
asthenosphere|岩流圈
afar|遥远地
alkaloid|[化]生物碱
artificially|人工地
auger|螺丝钻 vt. 用钻子钻洞于
agriculturally|农业上
anvil|[解]砧骨
animate|鼓舞 adj. 生气勃勃的
acreage|英亩数
amniotic|[昆] 羊膜的
aggregation|集合
analyst|分析家
aboveground|在地面上的 adv. 地面上地
alpha|希腊字母的第一个字母
academician|院士
adjunct|附件
autonomic|自治的
anthropological|人类学的
angstrom|[物理]埃(长度单位)
abrasion|磨损
andromeda|埃塞俄比亚的公主
antiquate|旧式的
ashcan|垃圾桶
angiotensin|[医]血管紧缩素
aldosterone|[生化]醛甾酮
apiece|每个
alkaline|碱性的
align|排列
appreciably|略微
apace|快速地
aphid|[动]蚜虫
allay|减轻
affront|侮辱
almanac|历书
albedo|[天文](星体)反照率
americanism|美国所创
alumnus|男毕业生
aide|助手
attractiveness|魅力
afloat|飘浮的
affectional|情感上的
avoidable|可避免的
alluvial|冲积的
acidity|酸度
amazingly|惊奇地
admittedly|不可否认的
anthropologically|人类学上
awkwardly|笨拙地
alphabetically|按字母表顺序地
anthropomorphism|拟人论
adventurous|冒险的
avoidance|避免
amenable|顺从的
admiral|海军上将
anathema|诅咒
americana|有关美国的文物
aridity|干旱
attacker|攻击者
artiste|技艺家
anyplace|任何地方
abnormality|变态 畸形
acetate|[化]醋酸盐
abruptness|唐突
achievable|做得成的
anytime|任何时候
antifungal|抗真菌的
abbreviate|缩写
adviser|顾问
antipathy|憎恶
apportion|分配
awhile|片刻
atheist|无神论者
adequately|充分地
anymore|不再
astrological|占星的
academically|学业上
aloft|在高处
alumina|[化]氧化铝(亦称矾土)
attractively|有吸引力地
acoustical|听觉的
ala|(昆虫的)翼
anyway|无论如何
anteater|[动]食蚁动物
anaerobic|厌氧的
affix|使附于
ambience|周围环境
assort|分类配全
accessibility|易接近
advantageously|有利地
atomization|分离成原子
antagonistic|敌对的
akin|同类的
amazement|惊愕
avocational|娱乐
antelope|羚羊
aie|急性包涵(体)脑炎
aero|航空的
ambidextrous|十分灵巧的
ail|生病
ameliorate|改善
achingly|极其
airy|通风的
abut|邻接
applicability|适用性
abalone|[动]鲍鱼(软体动物)
abreast|并肩地
alternately|交替地
ageism|年龄歧视
antonym|反义词
anomie|社会道德沦丧
annoyed|生气的
adamant|坚定不移的
approximation|接近
apportionment|分派
acquit|宣告无罪
aberrant|越轨的
abort|夭折
associative|联想的
abortive|落空的
abiding|持久的
adroit|精明的
ambivalent|对立的
acumen|敏锐
abate|减少
ablaze|着火的
amalgamation|融合
abhor|憎恨
advisory|顾问的
antecede|居先
apprenticeship|学徒的身份
amphibious|两栖的
abridge|缩短
audition|旁听
afoul|相抵触
aria|独唱曲
abysmal|深不可测的
absolve|赦免
amble|缓行
agile|敏捷的
acting|代理的 n.  演戏
abbey|修道院
alienable|可转让的
adventitious|偶然的
allure|诱惑
accede|即位
artesian|自流水的
acquiesce|默许
addictive|使人上瘾的
apprise|通知
altruistic|利他的
a|第一个字母 A; 一个; 第一的\r
am|be的单数第一人称
accessories|辅助程序；[计]附件（accessory的复数形式）
articles|文章；冠词；物品；条款（article的复数）
al|[计] 算法语言, 字母, 汇编语言
aug|八月（August）
applications|应用；应用程序；应用软件（application的复数）
apr|[计] 替换通路再试器
archives|档案, 档案室
ad|广告
anal|肛门的, 肛门附近的
amazon|亚马孙河
artists|艺术家, 设计师（artist的复数）
ads|[计] 精确定义系统, 先进调试系统, 模拟数字子系统, 应用设计服务
authors|著作家( author的名词复数 ); 作者; 创造者; 发起人
approved|被认可的；经过检验的
awards|奖项；判决；奖赏（award的复数）
answers|答案, 回答（answer的复数）
agents|间谍；代理人；代理商；特工人员（agent的复数形式）
associates|同伴；合作人；联合公司（associate的复数形式）
az|阿塞拜疆（Azerbaijan）；美国亚利桑那州（Arizona）；[医]氮鸟嘌呤（azaguanine）；台湾衡欣；意大利航空公司
accepted|公认的, 一般承认的
agencies|代理；代理处（agency的复数）
actions|动作；行动（action的复数）
automotive|汽车的
announcements|公告；注意事项（announcement的复数）
accounts|账号；会计账簿；账目（account的复数）
au|[计] 加法器, 运算器, 声频
arizona|亚利桑那州
apartments|公寓；套间；公寓住宅（apartment的复数形式）
auctions|拍卖（auction的三单形式）
ac|公元前
ar|[计] 应收款, 自动再启动, 辅助程式
affairs|事务, 事宜；风流韵事
affiliates|附属企业( affiliate的名词复数 )
ave|大街, 途径, 林荫大道
aids|爱滋病(获得性免疫缺陷综合征)
appears|出现；呈现；看上去好像（appear的三单形式）
atlanta|亚特兰大（美国城市）
anime|[医] 硬树脂
aa|[计] 绝对地址, 农业自动化, 自动应答
austin|奥斯丁（人名）；英国制汽车牌名
andrew|安德鲁（男子名）
assets|资产
amounts|数量, 总额（amount的复数）
addresses|称呼( address的名词复数 ); （在信封、包裹等上）书写（收件人姓名、地址）; （收件人的）姓名和地址; （书面或口头的）发言
ann|安（女子名）
announced|宣布的
agreed|同意的；通过协议的
aspects|方面( aspect的复数形式 ); 面貌; 方位; 样子
arms|武器, 军事行动
alabama|亚拉巴马州
avg|[计] 平均值
adding|[计] 加法的
ap|[计] 应付款, 美国专利, 应用程序, 运算处理器, 阵列处理器, 汇编程序
advisor|顾问, 劝告者, 指导教师
acc|[计] 累加, 累加器, 异步通信控制
aol|美国境内提供线上加值网络服务的公司（American On Line）
assigned|已分配的；指定的
ages|晚期糖基化终末产物（Advanced Glycation End Products）
ab|从, 自
anderson|安德森市（美国印第安纳州）；安德森（男子名）
albums|相簿, 相册；专辑, 影集（album的复数形式）
appliances|电气用具
acts|声控遥测系统（Acoustic Control and Telemetry System）；声控制与遥测系统（Acoustic Control and Telemetry System）
arkansas|阿肯色州
attractions|吸引( attraction的复数形式 ); 具有吸引力的事物; 有吸引力的特征（或品质、人）; （尤指两性间的）爱慕
authorized|经认可的, 经授权的
adopted|被收养的, 被采用的
alerts|警戒( alert的名词复数 ); 警报期间; 警戒状态; 报警信号
allen|艾伦（男子名）
adam|亚当
antonio|安东尼奥（男名）
avatar|天神下凡化作人形, 化身
alan|艾伦（男子名）
attacks|攻击, 评击（attack的复数形式）
alumni|pl. 男毕业生, 男校友
allowing|允许（allow的现在分词）
alexander|亚历山大（男子名）
arrangements|安排；准备；整理（arrangement的复数）
anne|安妮（女子名）
attorneys|代理人, 律师( attorney的名词复数 )
antiques|古玩, 古董, 古物( antique的名词复数 )
amended|修正的
ag|农业的
aged|老的, 陈的, 有...岁的
agreements|协定; 协定( agreement的复数形式 ); 同意; 达成协议; （性、数、人称方面与…）一致
adams|[计] 先进数据管理系统
alex|[计] 开放网络文件系统
abc|预定章程, 美国广播公司, 澳大利亚广播公司, 字母表, 基础知识
appointed|[法] 派任的, 任命的, 指定的
airlines|航空业；航空公司（airline的复数）
achieved|取得的；完成的
approaches|处理
anthony|安东尼（人名）
appeared|出现；公开露面；发表（appeare的过去式形式）
asp|山杨, 角蝰
applies|应用( apply的第三人称单数 ); [apply oneself]使（自己）致力于; [apply oneself]使从事于; 使接触
apache|阿帕切族(美洲印第安部族)
andy|安迪（男子名, 等于Andrew）
allocated|分配的, 指派的
awarded|授予, 奖给, 判给（award的过去式与过去分词形式）
alberta|亚伯达（加拿大西部的一个省）
assumes|取得（权力）( assume的第三人称单数 ); 假设; 假定; 呈现
arrived|抵达；抵港（arrive的过去式）
av|[计] 数组/向量, 属性值, 有效, 平均值
associations|关联分析, 协会组织；协会, 关联（association复数）
adds|高级数据显示系统（Advanced Data Display System）；美国陆军数据分发系统；应用数字数据系统（Applied Digital Data System）
arthur|亚瑟（男子名）；亚瑟王（传说中六世纪前后英国的国王, 圆桌骑士团的首领）
applying|apply的变形
anna|安娜（女子名）
attributes|属性（attribute的复数）
api|[计] 应用程序接口, 自动优先中断
acres|英亩( acre的复数形式 )
arguments|参数
adventures|冒险活动( adventure的名词复数 ); 冒险经历; 奇遇
angels|天使投资人；天使（angel的复数形式）
aud|审计（audit）；听者（auditor）
ak|[计] 确认, 肯定, 收悉
amp|安培
ah|interj. 啊, 哈
amd|超微半导体公司（Advanced Micro Devices）
appearing|版面高度
albert|艾伯特（男子名）
authentication|证明可信, 证实为真, 使具法律效力
admissions|准许进入( admission的复数形式 ); 入场费; 入场券; 承认
automated|自动化的；机械化的
acquired|获得的, 后天的
attempts|企图, 试图；尝试（attempt的复数）
advantages|优势；特点；有利；[经] 利益（advantage的复数）
aims|[计] 交互迁移系统体系结构, 自动自适应库存管理系统
appeals|上诉；恳求（appeal的复数）
alternatives|选择的余地( alternative的复数形式 ); 可供选择的事物; 取舍; 非传统（或他择性）生活方式的追随者（或鼓吹者）
ae|[计] 绝对误差, 运算器
answered|回答；回复（answer的过去式）
applicants|申请人, 求职人( applicant的复数形式 )
attended|参加；伴随；注意；照料（attend的过去分词）
ai|[计] 附加信息, 人工智能
advertisers|登广告的人( advertiser的复数形式 ); 报幕员
actors|演员, 男演员；电影演员（actor的复数形式）
assumed|假装的, 装的, 假定的
alice|[计] 应用语言接口转换与扩充
amendments|（法律、文件的）改动( amendment的复数形式 ); 修正案; 修改; （美国宪法的）修正案
amy|艾米（女子名）
aaron|亚伦（男子名）；[圣经]亚伦（摩西之兄, 犹太教的第一祭司长）
additions|附件；增加固定资产；附加物（addition的复数）
aka|[计] AS KNOW AS的缩写
attachments|附件；附着物；附属装置（attachment的复数形式）
administrators|管理员；完全程序（administrator的复数形式）
ace|幺点, 好手, 少许, 发球得分
albany|奥尔巴尼(美国纽约州首府)
archived|存档( archive的过去式和过去分词 )
af|音频
accommodations|膳宿；住房, 住宿；居住设施（accommodation的复数）
arising|出现
announces|宣布, 宣告, 发表( announce的第三人称单数 ); （尤指通过广播）通知; 通报…到达; 声称
adjusted|调整过的
affiliated|有关连的；附属的
activation|活化, 激活
assignments|分配；作业（assignment的复数形式）
aaa|[医] 急性焦虑发作
architectural|有关建筑的, 建筑学的
amenities|令人愉快之事物（amenity的复数）
algorithms|算法；算法式（algorithm的复数）
asin|印度历的7月
aimed|目标
analyses|pl. 分析, 检验, 解析, 分解
approx|大约（Approximate）
arabic|阿拉伯语
adapters|适配器；连接物（adapter的复数）
autos|[经] 汽车股票
alt|高音调
attending|主治的
atm|[计] 自动出纳机; 异步传输方式
arranged|安排的
assessments|评估( assessment的复数形式 ); 评价; （应偿付金额的）估定; （为征税对财产所作的）估价
advised|考虑过的, 知情的
assisted|[计]辅助的
antivirus|抗病毒素
addressing|[计] 访问; 寻址; 定址
arrested|被捕的；逮捕的；被拘留的
assessed|对…进行评估（assess过去时形式）
advances|作友好表示, 求爱, 献殷勤
accredited|认可（accredit的过去分词形式）
accidents|意外事故；事故（accident的复数）
ali|[计] 异步线路接口
asks|可用座位公里, 客运运能（Available Seat Kilometres）
accessed|接近, 进入（access的过去式与过去分词形式）
acids|酸, 酸类；有酸味的东西（acid的复数）
admitted|被承认了的, 公认的
achieving|取得
ashley|艾希莉（人名）
accused|被告
airports|航空站, 机场, 航空港( airport的复数形式 )
arnold|阿诺德（男子名）
assuming|傲慢的, 僭越的, 不逊的
arlington|阿林顿（美国马萨诸塞州一城市）；阿林顿国家公墓（National Cemetery, 在弗吉尼亚州）
alleged|被断言的, 所谓的
apps|应用程序, 应用软件；应用服务
affects|影响；假装；喜欢（affect的三单形式）
audi|奥迪公司；奥迪汽车
acer|宏碁（公司名, 主要生产个人电脑产品）
