fire|火
folkloric|民间传说的
frisky|活泼的
fearsome|可怕的
filmy|薄膜的
furnishing|供给(装备)
falsely|虚伪地
forceful|有力的
fragmentary|由碎片组成的
featureless|无特色的
flavin|[化]黄素
flowerpot|花盆
forelimb|前肢
forefather|祖先
florist|种花人
frenzy|狂暴
forte|长处
forecaster|预报员
fictive|虚构的
frenetic|发狂的
foreshadow|预示
foundry|铸造
flattish|有点平凡的
frill|皱边
facilitation|简易化
fascination|魔力
figurehead|装饰船头的雕像
festive|庆祝的
ferromagnetic|铁磁的
forbearance|自制
fresco|壁画 vt作壁画于
feud|不和
familiarization|亲密
flamboyant|辉耀的
forestall|之前
folklore|民间传说
fumigate|熏制
flair|才能
fanatical|狂热的
flue|烟道
furry|毛皮似的
frivolous|琐碎的
fiery|似火的
fraudulent|欺诈的
familiarize|使熟悉
far-fetched|牵强的
flick|轻拍
finalize|使完成
famish|饥饿
frugal|节约的
forfeit|被没收
focalize|调节焦距
fictitious|虚构的
foreshorten|用透视法缩小
filial|子女的
folkway|社会风俗
fascinating|迷人的
focal|焦点的
feign|装作
ferment|发酵
falter|衰退
f|[计] 故障, 假, 法拉, 字段, 标记, 特征, 分数, 频率, 函数, 功能
features|容貌；产品特点, 特征；嘴脸（feature的复数）
forums|pl. 论坛, 讨论会, 座谈会, 广播专题讲话节目, 电视专题讲话节目, 法庭
files|文件；文档（file的复数）
faq|中等品, 码头交货(价格)
feb|二月（February）
facilities|工具, 设施, 设备
fri|最终成品抽验（Final Random Inspection）
featured|面貌秀丽的, 被作为特色的
flowers|[医] 花; 升华制成的药物; 月经
feet|pl. 脚
fl|焦距（focal length）；外国语（foreign language）；[物]呎朗伯（亮度单位）；佛罗里达州（美国州名, Florida）
funds|基金；资金, 现金（fund的复数）
fees|规费；费用（fee的复数）
functions|功能；函数（function的复数形式）
fucking|该死的, 难完成的, 难做的, 低劣的, 讨厌的, 丑恶的, 混乱的, 乱糟糟的
fi|[计] 格式标识码, 前端处理器接口
fields|域, 字段；场设置（field复数形式）
fuck|与...性交, 欺骗, 诅咒
ft|英尺
facts|设备管理控制与时间调度程序；Facilities Administration Control and Time Schedule
follows|跟随；遵照（follow的复数）
films|电影；薄膜；胶片（film的复数）
forces|势力；兵力；武装力量（force的复数形式）
falls|瀑布；陨石
frequently|频繁, 经常地
flights|（物体的）飞行( flight的名词复数 ); 航班; 飞翔; 楼梯的一段
forgot|forget的过去式和过去分词
feeds|饲料；一餐（feed的复数）
faster|[计] 加快
forced|被迫的, 强迫的, 用力的
filed|[专利]申请；存档（file的过去分词形式）
failed|已失败的
fr|[医] 钫(87号元素)
favorites|收藏夹；偏爱（favorite的复数）
font|字体, 字形, 洗礼盘, 泉
figures|图形, 图表；价格, 金额, 数字；规定动作；人物（figure的复数）
frames|帧, 画面；框架；眼镜架（frame的复数）
faqs|常见问题解答（Frequently Asked Questions）
finished|完成的, 完结的, 精巧的, 完美的
firms|公司, 厂商（firm的复数）
filled|加满的；装满的；满的
financing|融资, 理财, 筹集的资金
fm|(英)陆军元帅, 外国使团, 调频, 频率调制
ff|[计] 快进, 触发器, 换页
featuring|feature的现在分词形式
finder|发现者, 寻星镜
fighting|战斗的, 容易引起争斗的, 适于格斗的, 好斗的, 好战的, 斗争的, 搏斗的
favourites|特别喜爱的人（或物）( favourite的复数形式 ); 竞赛中被认为会获胜的马、竞争者等
formed|成形的, 成形
fig|无花果, 无价值的东西, 少许, 服装
formats|幅度；格式（format的复数）
flashing|闪光, 遮雨板, 防水板
flying|飞的, 飘扬的, 飞速的
ftp|[计] 文件传送协议, 固定项目设计
fetish|物神, 偶像, 迷信
filters|滤器, 滤波器；滤光片（filter的复数）
finds|发现( find的第三人称单数 ); 找到; 到达; 发觉
filing|锉, 琢磨, 锉屑
firefox|火狐浏览器
faces|脸面；脸色；表面（face的复数）
flags|标记；旗帜（flag的复数）
farmers|农民（farmer的复数）
forgotten|forget的过去分词
fairly|美观地, 公平地, 相当地, 清楚地
foto|张紧振子的强制振动（Forced Oscillation of a Tightening Oscillator）
folks|人们, 父母, 亲人, 家属
fred|佛瑞德（男子名）
founded|有基础的
fe|[计] 现场工程师
facing|贴边, 饰面
functionality|[计] 功能性, 泛函性
fits|合身的衣服；阵发；一阵（fit的复数）
francis|弗朗西斯（男子名, 义为自由之人）
firewall|[计] 放火墙, 隔离
falling|落下的, 坠落的, 下降的
feels|觉得；体会；触摸（feel的第三人称单数）
fails|在…中失败( fail的第三人称单数 ); 衰退; 衰弱; 破产
fed|feed的过去式和过去分词
fisting|拳指性交
fonts|字体（font的复数）
framed|遭到陷害的；有构架的
florists|花商, 花农, 花卉研究者( florist的复数形式 )
feeding|饲养, 进料, 加料
flickr|网络相簿
fotos|德国著名摇滚乐队
freeware|[计] 免费软件, 自由软件
fucked|受骗的
fy|[经] 会计年度
founder|创立者, 建立者
flows|现金流量
fisher|渔夫, 食鱼动物, 渔船
fc|消防, 火力控制, 足球俱乐部
fw|给水（Feed Water）；磁场减弱；淡水；隔火墙
fda|（美）食品及药物管理局（Food and Drug Administration）
filename|文件名
florence|佛罗伦萨(意大利城市)
fs|[计] 字段分隔符, 文件结构, 有限态, 功能选择, 频移
faced|有某种面孔或表情的
farms|农场；庄园（farm的复数形式）
filtering|[计] 过滤
fx|外汇（Foreign Exchange）；固定电台（Fixed Station）
finest|[总称]警察
fingers|梳状剔除器；手指头, 指头（finger复数）
fingering|用指摸弄, 抚弄, 用指弹奏, 细绒线
footwear|鞋类, 靴类
fa|(英国)足球协会, 战地救护车, 野战救护队, 野战炮, 野战炮兵, 美术, 急救
filling|充填物, 填料
focuses|pl. 焦点, 焦距, 对焦点, 聚焦, 活动中心, 集中点, 兴趣中心, 病灶, 震源, 疫源地
focusing|[化] 调焦; 聚焦
fisheries|渔场( fishery的名词复数 ); 渔业; 养鱼场
forests|森林( forest的名词复数 ); 丛林; （森林似的）一丛; 一片
folders|文件夹, 方法；折页, 档案夹（folder复数形式）
females|雌性动物( female的复数形式 ); 女人
floating|漂浮的, 浮动的, 移动的
forecasts|预测, 预报( forecast的名词复数 )
fastest|最快速的（far 的最高级）
forestry|林学, 森林地
furnishings|家具；供应；穿戴用品（furnishing的复数）
festivals|节日( festival的复数形式 ); 节期; （音乐、戏剧、电影等的）会演
freebsd|一种可免费使用的UNIX操作系统
fired|因祸得福（电影名）
fruits|[法] 孽息, 收益, 成果
floors|楼地面；地板；楼层；层数（floor的复数）
fitted|[表]配备的, 放在合适地位的
fallen|堕落的, 落下来的, 陷落的
forming|[电] 形成
foundations|地基
fg|悬浮式陀螺（Floated Gyro）；细粒（Fine-Grain）
fixes|菲克斯类（一种烈酒）
futures|期货
floyd|弗洛伊德
fujitsu|[计] 富士通
frederick|弗雷德里克（男子名）
fixtures|固定附物, 固定附着物；固定财产；卡具；固定装置（fixture的复数形式）
flooring|地板, 地板材料, 铺地板
furnished|家具, 有家具的
folding|可折叠的
fwd|forward 向前; front-wheel drive 前轮驱动（装置）; four-wheel drive 四轮驱动; freshwater damage 淡水破坏
finishing|最后的, 终点的
fighters|战士（ fighter的复数形式 ）; 战斗机; 打斗者; 奋斗者
foo|富/夫（姓氏）
footage|英尺长度, 英板尺, (影片的)连续镜头
formatting|[计] 格式化
funk|怯懦, 恐惧, 臭味
fbi|美国联邦调查局
finances|资金, 经费
fp|总保单, 总保险单, 全部付讫, 冰点, 凝固点
floppy|叭嗒叭嗒响的, 松软的
fragrances|芳香, 香味( fragrance的复数形式 ); 香水
fundraising|筹款, 募款
fcc|[计] 联邦通信委员会
failures|失败（failure的复数）
fires|火灾, 点火；火力
favors|好意；支持；帮忙（favor的复数）
finals|决赛, 总决赛（final的复数）
fd|[计] 文件定义, 文件描述, 软磁盘, 功能相关性
fears|恐惧；担心
ferrari|[计] 费拉里
fu|[计] 字段单元, 功能部件
framing|[计] 成帧
fleece|羊毛, 羊毛制的覆盖物
fuji|富士山（在日本本州岛上的死火山）
fo|(英)空军中尉, (英国)外交部, 前进观察员, 校官, 野战命令
flex|弯曲, 伸缩, 折曲
flyer|飞鸟, 飞行物, 飞行员, 快车, 传单, 飞跳
fairfield|费尔菲尔德（美国地名）
functioning|运行, 运作；功能；机能；起酌（function的动名词）
funky|畏缩的, 怯懦的, 恶臭的
fought|fight的过去式和过去分词
fundamentals|基本面；基本原理（fundamental的复数）
fraser|弗雷则河（加拿大西南部河流）；弗雷泽（男子名）
frontpage|网页制作, 首页；网页设计
flashers|闪光
forbidden|被禁止的, 严禁的
figured|有形状的, 有图案的, 用图表表现的, 用图画表现的
frequencies|频率（frequency的复数形式）；频数分析；次数分配表
fuzzy|有微毛的, 模糊的
forwarding|[计] 转发
favour|好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
firmware|[计] 固件
fabrics|纤维织物（fabric的复数）
frankfurt|牛肉香肠, 猪牛肉混合香肠
fares|照明弹；票价；车费（fare的复数）
funnymen|(funnyman 的复数) n. 幽默者, 滑稽演员
fluoranthene|荧蒽
fargite|钠沸石, 红钠沸石
footlights|脚灯, 舞台
facilitated|促进( facilitate的过去式和过去分词 ); 使便利; 推进; 帮助（某人）进步
fronted|移首的；前移的
flailed|鞭打( flail的过去式和过去分词 ); 用连枷脱粒; （臂或腿）无法控制地乱动; 扫雷坦克
firelock|以燧石发火的旧式枪, 燧发枪兵, 明火枪
fluorate|氟酸盐
felloes|(felloe 的复数) n.外轮, 圈轮
faecula|淀粉
fivefold|五重的, 五倍的
forgetter|健忘者
flaccidly|松散地、无力地
fothergilla|[网络] 和塞纪属；佛塞纪木属；塞木属
friezing|毛绒卷曲工艺
firefang|(肥料、大麦等)受热变质
fasciae|饰带, 招牌; 带( fascia的名词复数 ); <医>绷带; （店门上的）招牌; <解>筋膜
flipping|adj .讨厌之极的
flavored|给…调味( flavor的过去式和过去分词 ); 给…增添风趣
frier|做油炸食品的人, 煎锅
foraminose|穿孔
foreboded|<正>预示（灾祸等）( forebode的过去式和过去分词 )
fmt|[医][=fasiculus mammillothalamicus]（拉）乳头丘脑束
faddle|开玩笑, 戏谑
firers|(firer 的复数) n. 放火者, 开炮者, 发火器
firs|[计] 先前的
fenders|壁炉挡板( fender的复数形式 ); 挡泥板
finesses|(finess 的复数) n. [复数]；【冶金学】粉末
filmdom|电影界
freest|自由的( free的最高级 ); 免费的; 空闲的; 摆脱…的
feringi|欧洲人;葡和印人的混血
fluxgraph|[电] 通量图
fourhanded|adj. 有四只手的；(游戏)四人玩的；四人一组的
fetishistic|崇拜物神的, 迷信的
faultfinder|吹毛求疵的人
fucoidin|[化] 岩藻多糖
falcons|猎鹰；隼鹰队；猎鹰导弹（falcon的复数形式）
figment|虚构的事
fronton|山墙
fakeer|託钵僧;行者
foemen|敌兵, 敌人( foeman的名词复数 )
fulleries|漂布工场
firring|长条楔形木板
forerunning|(石油的)初馏, 稳定
forehammer|手用大锤, 先行锤
foolhardily|foolhardy的变形
frump|邋遢女人, 守旧者
furnacite|铬砷铜铅矿
finedrawing|细缝
folia|folium 的复数
fastnacht|(=fasnacht)传统上在忏悔日吃的用酵面做的炸面圈
funerals|葬礼, 丧礼( funeral的复数形式 )
franca|弗兰卡（男子名）
fortified|加强的
fibroadipose|[医] 纤维脂肪性的
fables|寓言( fable的复数形式 ); 神话, 传说
frilled|有饰边的
fossette|小窝, 酒窝
featherhead|愚蠢的人, 轻浮的人
fibroglioma|[医] 纤维胶质瘤
furca|[医] 叉, 牙根叉
furan|呋喃
folksongs|(folksong 的复数) 民歌
furriest|毛皮的, 盖着毛皮的
furring|毛皮, 水垢, 板条
follyer|[英]一种小渔船, 拉网渔船横杆帆
finnmark|芬兰马克（芬兰的货币单位）
flimflammed|欺诈，骗，骗取( flimflam的过去式和过去分词 )
faff|无事奔忙, 小题大做
foreshowed|foreshow的过去式
forlorn|孤独的, 悲惨的, 凄凉的
flam|谎, 假话
futilities|(futility 的复数) n. 无用, 无益, 无价值
furrowy|有沟的, 皱的
facies|(患某种疾病时特有的)面容, 外观, 表面
falernian|(意大利)法勒那斯产的酒
fluted|笛声的, 有凹槽的
finial|尖顶饰, 顶尖
fledge|喂养, 用羽毛盖上, 装上羽毛
frig|冰箱
forfeiting|（因违反协议、犯规、受罚等）丧失, 失去( forfeit的现在分词 )
foreseeable|可预知的, 能预测的
frolicking|嬉戏( frolic的现在分词 )
fasciolae|[医]（单fasciola）小片, 小束, 小绷带
fassaite|深绿辉石
fortuitism|偶然论
fungilliform|[医] 真菌样的, 蕈状的
falchion|刀, 剑
favi|六角瓦, 六角砖
forepeak|艏尖舱
fascinations|魅力( fascination的复数形式 ); 有魅力的东西; 迷恋; 陶醉
fasti|[pl. ] [拉](古罗马的)行事旧历, 岁时纪, 年代表
flanges|（机械等的）凸缘, （火车的）轮缘( flange的复数形式 )
frails|(frail 的复数) a. 脆弱的, 虚弱的, 意志薄弱的
fatherlands|祖国( fatherland的复数形式 ); 祖国（指二战期间的德国）
fills|填充物；乱纹（fill的复数）
feudalize|使形成封建制度
flans|果馅饼, （轧制钱币的）坯子( flan的复数形式 )
frameworks|构架( framework的复数形式 ); 结构; （体系的）结构; （作为判断、决定等基础的）信仰
friedcake|油炸饼
fuzzier|模糊的( fuzzy的比较级 ); 绒毛般的; 糊涂的; 紧鬈的
floppiness|下垂;松懈;懒散
freeways|高速公路, 快车道( freeway的复数形式 )
fluidise|<主英>=fluidize
funiculate|有细索的
foamer|[化] 发泡剂; 起泡剂
forbesite|纤砷钴镍矿
familiarised|使众所周知（familiarise的过去式与过去分词形式）
flashover|[电] 闪路
fleetly|迅速地, 快速地
franchising|给…以特许权, 出售特许权( franchise的现在分词 )
flatfooting|(flatfoot 的现在分词) n. 扁平足, 警察
fibroferrite|纤铁矾
frees|解放（free的第三人称单数形式）
filicin|绵马浸质, 失水绵马酸
fiveling|五单体孪晶
forgettable|容易被忘的, 可忘记的
frosting|霜状白糖, 无光泽面, 装饰玻璃粉
ferruled|装以金属铁( ferrule的过去式和过去分词 )
federalize|使成联邦, 使同盟
federated|联邦的；联合的；结成同盟的
fossulae|[医] 小窝
fleeing|逃走, 逃掉( flee的现在分词 ); 逃离, 逃避
faunistic|动物区系的
firsts|一等品；一级品（first的复数形式）
formularies|公式集, 处方一览表, 公式( formulary的名词复数 )
filigree|金银细丝工艺, 精致华丽而不很坚固的物品, 金丝的细工饰品
familism|家庭主义
fibrinosis|[医] 纤维蛋白过多[症]
femmes|[法俚]女同性恋者；[法俚]妻子（femme的复数形式）
furunculus|疖
faithfuls|忠实的( faithful的复数形式 ); 守信的; 如实的; 忠贞的
fels|(pl. falus) (=fals)费尔斯(一种阿拉伯铜币)
floodlights|泛光灯( floodlight的名词复数 )
fellies|外轮, 轮圈( felly的名词复数 )
frequenters|(frequenter 的复数) n. 常常来访者, 常客
fisheater|<美俚>天主教徒
fructiferous|结果实的, 产果实的
formulators|(formulator 的复数) 配方设计师
forewarmer|预热器
fiefdoms|(fiefdom 的复数) n. 封地, 采邑（等于fief）
flamboyer|冒火焰, 熊熊燃烧；闪闪发光, 闪耀光芒
frillies|(frilly 的复数) a. 有饰边的, 多饰边的
foreparts|(forepart 的复数) n. 前部
freewill|自由意志的, 任意的, 自愿的
furcula|[解,动]叉突, 弹器
futurism|未来派
fledged|羽毛长齐的, 快会飞的, 成熟的, 独立的
foretopsail|前桅中桅帆
frisker|搜身器, 搜查器
fannings|簸出物, 筛出的粗茶叶
freemason|互济会会员
fattening|正被养肥的；用于养肥禽畜的
flipped|轻弹( flip的过去式和过去分词 ); 按（开关）; 快速翻转; 急挥
feazings|拆散的绳端
fideism|信仰主义
fructescence|果实成熟期
fangs|（尤指狗和狼的）长而尖的牙( fang的复数形式 ); （蛇的）毒牙; 罐座
fingerlike|指状的
frostbiting|驾滑冰船
fetters|束缚；枷锁（fetter的复数）
fantods|惊恐；烦燥，坐立不安
floorboards|将汽车油门踏到底
feterita|[植]非洲芦粟(产于温带地区)
floodometer|潮洪水位测量仪
fugue|赋格曲, 神游
floutingly|flout的变形
failsafe|破损安全
fauxbourdon|<法>n.[音]假布尔东低音
furbisher|抛光工, 磨工
flees|逃走, 逃掉( flee的第三人称单数 ); 逃离, 逃避
fou|傻人；笨人
frills|臭架子, 虚饰
fage|[人名] [英格兰人姓氏] 费奇绰号，奉承者，来源于中世纪英语，含义是“哄骗，恭维”(coaxing,flattery,deception)
fondnesses|(fondness 的复数) n. 溺爱；爱好
flangeless|[化] 无凸缘的
fantastico|可笑的怪人
fancily|空想地, 花哨地, 做作地
formalizer|formalize的变形
fibbed|撒小谎( fib的过去式和过去分词 )
fanfold|复写簿
fructivorous|吃果实为生的
figureless|无数字的，无图形的
frontalis|额的
furnaces|熔炉, 火炉( furnace的复数形式 )
flatuses|肠胃胀气( flatus的名词复数 ); 屁; 阵风; 气息
figurable|能成形的, 能定形的
foggier|有雾的( foggy的比较级 ); 雾气朦胧的; 模糊的; 混乱的
foliages|(foliage 的复数) n. 树叶, 植物
factionary|加入某一派别者
flagstick|[高尔夫](指明洞穴号数的)标指旗
fireless|没有火焰的, 无生气的
flagfish|花尾汤鲤
foresail|前桅帆
fractionally|稍许, 一点点
fanglomerate|[地质]扇积砾
fitchet|[人名] 菲彻特
floriparous|具花的
flabellum|[动]扇形器官(结构), 教皇仪仗扇
fores|(fore 的复数) a. 在前的, 以前的
foilsman|(用钝头剑的)击剑手
filicornia|丝角类
flyswatter|苍蝇拍
flavouring|调味料
fossulate|具沟的, 有小窝的
frowsy|霉臭的；难闻的；不整洁的（等于frowzy）
faultiest|faulty的最高级
forepiece|前部件
folded|折叠；交叉合拢；失败垮台；把牲畜关在栏中（fold的过去分词）
forehook|船首水平肘板
faggotry|<俚> 男同性恋
frigidity|寒冷, 冷淡
