hello|你好
homely|家常的
heater|加热器
ham|火腿
harmonious|和谐的
hinge|合页
hurrah|int. 好哇
howl|嚎叫
hound|猎犬
herd|成群
hamper|妨碍
handicap|妨碍
handy|方便的
halve|对分
herald|传令官
hush|沉默 int. 嘘！
humanitarian|博爱的 n. 慈善家
heading|标题
hearth|壁炉地面
hemisphere|半球
haughty|傲慢的
heave|（用力地）举起
hoarse|（声音）嘶哑的
hoe|锄地
headlong|头向前地 adj. 头向前的
huddle|vi. 聚集在一起
hawk|鹰
hysterical|情绪异常激动的
hustle|催促
heir|继承人
heroic|英雄的
herself|[反身代词]她自己
hers|[she的物主代词]她的(所有物)
humid|湿的
hall|过道
hamburger|汉堡包
hearing|听力
handsome|（男子）英俊的
hole|洞
heroin|[药][毒物] 海洛因
hell|地狱
highland|高地
hay|干草 v. 把晒干
hen|母鸡
headmaster|校长
housework|家务事
hobby|嗜好
handwriting|笔迹
hut|小屋
housewife|家庭主妇
hypocrisy|虚伪
horrible|可怕的
handkerchief|手帕
hunger|饿
horsepower|马力（功率单位）
harassment|骚扰
humor|幽默
humour|幽默
hormone|激素
honourable|可敬的
hence|从此
highjack|vt. 劫持
hygiene|卫生
hunter|猎人
herbivore|草食动物
homeland|祖国
hind|后边的
hyper|亢奋的
hawaii|夏威夷
hominid|原始人类
harvard|哈佛大学(美国)
himalaya|喜马拉雅山
hopewell|霍普韦尔
hypothalamus|[解剖]视丘下部
hispanic|西班牙的
horticulture|园艺
harlem|(纽约的）黑人住宅区
handedness|用右手或左手的习惯
himself|他自己
hinterland|内地
homo|人
horseshoe|马蹄铁
hardly|几乎不
handcraft|手工
hemlock|铁杉
hereditary|世袭的
honeybee|蜜蜂
hexagonal|六角形的
homestead|家宅
hectare|公顷（等于1万平方米）
huckleberry|越橘类
habituation|适应
holland|荷兰
headquarter|将之总部设在
hampshire|汉普郡(英国南部之一郡)
harpsichord|大键琴
heterogeneous|异种的
hardness|硬度
hillside|山腰
holding|保持
hypha|[植]菌丝
hyksos|希克索斯王朝(古埃及王朝之一)
hollywood|好莱坞
hypersensitive|过份敏感的
humanness|为人
hydrologic|水文的
hydropower|水力发出的电力
handicraft|手工艺(品)
hare|野兔
halfway|中途的ad半路地
husbandry|管理
hexagon|六角形
herbaceous|草本植物的
hydrodynamic|水力的
hydrological|水文学的
homemaking|家政
holocene|[地]全新世(的)
homesteader|农场所有权人
handmade|手工的
hieroglyphic|象形文字
hummingbird|蜂雀
hydroponic|溶液培养的
hive|蜂房 v. (使)入蜂箱
hydroxyapatite|[矿]羟磷灰石
hundredfold|百倍的 n. 百倍
hale|强壮的 v. 硬拖
hatchling|人工孵化的鱼苗或小鸟
hilly|多小山的
heartbeat|心跳
henderson|亨德森（姓氏）
halite|[化]岩盐
hander|支持器
hump|驼峰
harshly|严厉地
hopeless|没有希望的
hotelkeeper|旅馆经营者
hydrographic|水道测量数的
herring|青鱼
harshness|粗糙的事物
homeotherm|<主美>恒温动物
harmless|无害的
hormonal|荷尔蒙的
heed|注意
hoof|蹄 v踢
harem|（伊斯兰教教徒之）闺房
homemaker|主妇
hamlin|哈姆林（姓氏）
herbicide|除草剂
hieroglyph|象形文字
hieratic|僧侣的
harper|弹竖琴者
healthful|有益健康的
hydration|水合作用
haiti|海地
hydroelectric|水力电气的
hermit|隐士
horticultural|园艺的
hospitalize|就医
hydroponically|水耕法
handsomely|漂亮地
hue|色彩
husk|外壳
homespun|手织物
harmfully|伤害地
horticulturalist|园艺家
hallmark|特点
hydrosphere|水圈
healer|医治者
humorously|幽默地
hugely|巨大地
hub|中心
herein|在此处
hesitant|迟疑的
hohokam|霍霍坎文化的
helper|帮忙者
hurtle|急飞
hardwood|硬木
heredity|遗传
helplessness|无能为力
helplessly|无能为力地
heroism|英雄品质
hairy|毛发的
hatchery|孵卵所
hairdo|发型
hippopotamus|河马
horsefly|马蝇
holm|(河
helpless|无助的
haphazardly|不规则地
harvester|收割机
horseback|马背
hacienda|庄园
housewares|家用器皿
hart|雄赤鹿
hairlike|毛一般的
hopper|单足跳者
horde|游牧部落
homesick|想家的
hammerhead|锤头 a锤头状的
humility|谦卑
haven|港口
hem|边
humanist|人道主义者
heyday|全盛时期
hatchet|短柄斧
honeycomb|蜂房
hone|磨（刀）石vt用磨刀石磨
heartbreak|心碎
hydra|[希神]九头怪蛇
homeownership|房主
humanlike|似人类的
hillbilly|山地内部的贫农
herculean|极困难的
hermetic|密封的
hanker|渴望
hospitable|好客的
hometown|故乡
homage|尊敬
hypertext|超文本
harmonic|泛音
homing|有返回原地本能的
hitch|搭便车
hockey|曲棍球
havoc|混乱
homosexuality|同性恋
haphazard|偶然的
hemp|大麻
healing|有治疗功用的 n.  康复
hearsay|谣言
haircut|理发
holistic|整体的
hybrid|杂交产生的
hydrothermal|热液的
hypocritical|伪善的
hoard|贮藏
hazel|榛树 adj. 〔眼睛〕绿褐色的
hotels|酒店；大饭店；旅馆（hotel的复数）
h|[计] 硬件, 高度, 水平, 主机
hosting|作战；群众或部队的集合
html|[计] 超文本标记语言
held|hold的过去式和过去分词
homepage|主页
hi|interj. 喂
hp|马力, 分期付款购买法
hits|击打；网页点击数；采样数（hit的复数）
highest|[计] 最高
holidays|在假日, 每逢假日
hardcore|赤裸裸描写性行为的
houston|休斯敦
headlines|大字标题( headline的名词复数 ); 新闻提要
harry|掠夺, 使苦恼, 强使前行, 折磨, 骚扰
hr|[经] 小时
hong|（中国、日本的）行, 商行
handling|处理
houses|住宅；房子的总称；家园；洋房 （house的复数）
henry|亨利
healthcare|医疗保健；卫生保健；健康护理, 健康服务
hey|interj. 嗨
hiv|艾滋病病毒（human immunodeficiency virus）
hidden|隐藏的
hills|丘陵（hill的复数形式）
hosted|（作为主人）款待, 招待（客人）；主持（host的过去式）
hardcover|硬书皮的
howard|霍华德（男子名）
ha|interj. 嘿, 哈, 哈哈
hundreds|数百
happens|发生( happen的第三人称单数 ); 碰巧; 产生结果; （向对方表示异议或不悦等）
header|收割台
holds|保存；把握（hold的第三人称单数）
heads|正面朝上的
honda|本田汽车公司
hospitals|医院( hospital的复数形式 )
hamilton|汉密尔顿（男子名）；哈密尔顿（美国城市名）
hd|[计] 层次相关性, 高密度
hobbies|嗜好；兴趣爱好；燕隼；[英方]小马（hobby的复数）
highlights|拔萃, 集锦；挑染（highlight的复数形式）
hilton|希尔顿（姓氏）；希尔顿集团（主营酒店和香烟等）
horses|马；马匹（horse的复数形式）
harris|哈里斯（英国苏格兰一地区）；哈里斯（姓氏）
hist|interj. 嘘
heights|高度；高地；高处（height的复数）
http|[计] 超文本传输协议
hungary|匈牙利
hearts|心；中心；内心；同情心；心形物（heart的复数）
hrs|高分辨率光谱仪（High Resolution Spectrometer）
holders|持有人（holder的复数）
ho|interj. 嗬(表示惊讶或引人注意)
horny|角的, 似角一样坚硬的, 角质的, 老茧的
hs|手持式受送话器（Handset）；头戴式耳机（Head Set）；高速（High Speed）
hosts|[计算机]主机( host的名词复数 ); 军队; （寄生动植物的）寄主; 主办人[地方, 机构等]
happening|事件, 意外发生的事
handheld|掌上型；手持型
holes|小孔；破洞（hole的复数）
hats|转换终端应用程序（Host Access Transformation Services）
hewlett|休利特（姓氏）
halloween|(基督教)万圣节前夕
headset|(一副)耳机
hood|头巾, 兜帽, 覆盖, 强盗
hb|[军] 厚膛壁身管（Heavy Barrel）
heroes|英雄（hero的复数形式）
holdings|占有的财产；所持股份
households|同住在一所房子里的人, 一家人, 户( household的名词复数 )
hanging|绞死, 绞杀, 悬挂
herbal|草药的
hacker|[计] 计算机窃贼, 计算机新技术挑战者, 黑客
headed|列有标题的, 具有某种类型的头(脑)或头发的
hdtv|高清晰度电视（high-definition TV）
harrison|哈里森（男子名, 哈里之子）
helen|海伦（女子名, 火把、光亮的之义）
hon|[化] δ-羟基-γ-氧代正缬氨酸
hopes|希望（hope的第三人称单数）
hudson|哈得孙河
honolulu|火奴鲁鲁(檀香山)
heather|石南花
hebrew|希伯来人, 希伯来语, 犹太人
hampton|汉普顿（姓氏）
hoping|希望（hope的ing形式）
hung|hang的过去式和过去分词
hottest|热的；热烈的；最热门的
hints|暗示, 提示（hint的复数形式）
hughes|[计] 体斯
herbs|药草；草本植物（herb的复数）
handjob|［俚］手淫
hourly|每小时的, 以小时计的, 频繁的
heavily|很重地, 严重地, 难以忍受地
headers|标题（header的复数）
harvey|哈维（男子名）
handled|有把手的；有把柄的
handles|把；柄；控键（handle的复数形式）
honors|优等成绩, (英)优等成绩奖金, 给予优等生的荣誉, 荣誉标志
ht|[计] 手控终端, 处理时间
hereby|因此, 据此
hungarian|匈牙利的, 匈牙利人的, 匈牙利语的
hz|[计] 赫兹
highs|高的；高级的；崇高的；高音调的
humanities|人文学科
holmes|福尔摩斯（英国作家柯南道尔所著侦探小说中的神探）
headphones|听筒；耳机；头戴式受话器（headphone的复数形式）
href|超文本引用（hypertext reference）；超链接
hwy|highway 总线; 公用信道; 交通干道; 高速公路
hotmail|微软电子邮件
howto|基本知识的
helena|海伦娜（女子名）
honduras|洪都拉斯
hazards|危险( hazard的名词复数 ); 冒险的事; 危害物; 危险的根源
holly|冬青树
hartford|哈特福特（美国康涅狄格州首府）
hawaiian|夏威夷人, 夏威夷语
hopkins|霍普金（姓氏）
hc|[计] 处理能力, 大容量, 主机
hydrocodone|[化] 氢可酮; 二氢可待因酮
harold|哈罗德（男子名）
handbags|（女用）手提包, 手提袋( handbag的复数形式 )
hired|租用；雇用（hire的过去式及过去分词形式）
hindu|印度教教徒的
handhelds|(handheld 的复数) adj. 掌上型；手持型
hans|德国人或荷兰人的绰号；汉斯（男子名）
hitachi|[计] 日立网络体系结构
hearings|听力( hearing的复数形式 ); 听觉; 听力所及的距离; 听证会
hugh|休（男子名）
hh|倍硬（指铅笔心硬度 double- hard）；半硬的（Half Hard）；重氢, 氚（Heavy Hydrogen）；高功率不定向无线电归航信标（High-powered, non-directional radio homing beacon）；殿下（His Highness）；陛下（His Holiness）；阁下, 先生（His Honour）
harley|哈利（男子名）
halo|晕轮, 光圈, 晕状物, 荣光
heath|石南荒原, 低矮灌木
handjobs|(handjob 的复数) n. ［俚］手淫
hitting|压缩；拉伸；击中
hyundai|现代（公司名, 韩国最大汽车企业）
highlighted|突出的
hostels|旅舍, 招待所( hostel的复数形式 ); 青年宿舍
hq|司令部, 指挥部, 总部, 总店
hostel|青年招待所, 宿舍, 旅店
housewives|pl. 家庭主妇
hash|剁碎的食物, 杂乱无章的的一大堆, 杂烩, 复述
hamburg|汉堡（德国城市）
highways|公路；高速公路（highway的复数）
holocaust|大屠杀, 大火灾, 毁灭, 大规模烧杀
heated|热的, 激昂的, 兴奋的
hepatitis|肝炎
hayes|海耶斯（男子名）
hk|加热器箱（Heater Kit）；香港（Hong Kong）
hansen|汉森（姓氏）
hu|海南航空公司在国际航空运输协会中的二字代码；匈牙利（Hungary）；英国无国界卫生组织（Health Limited）
huntington|亨廷顿（男子名, 美国地名）
halifax|哈里法克斯（财富500强公司之一, 总部所在地英国；主要经营银行）
hl|[医] 百升
hoped|希望（hope的过去分词）
hugo|雨果（男子名, 等于Hugh）
highlighting|[计] 突出性, 醒目性, 高明亮部分, 图象最亮处
hereness|[网络] 厉害
huntley|(Huntley)人名；(英)亨特利
homoiousian|本体相类论者
hypotactic|[语]从属关系的,主从结构的
homeomorph|[计] 同胚象
hepatolysis|肝细胞溶解
hydrospace|大洋水域(尤指作为科学考察的对象者)
hutch|箱, 厨, 笼, 小屋
homotypical|同型的, 同模标本的
hangs|悬( hang的过去分词 ); （被）绞死; 贴; 逗留
hanbury|(Hanbury)人名；(英)汉伯里
helianthin|[医] 半日花素, 甲橙
handbill|传单, 招贴
hornist|吹喇叭的人, 吹法国号的人
hachure|(在地图上用于指示地面倾斜的)晕滃(线)
habitualness|habitual（习惯性的）的变形
hia|hold in abeyance 暂搁
histogeny|[生]组织发生
hardships|艰难( hardship的复数形式 ); 困苦; 艰难情况; 艰辛
hld|held (hold的过去式); hold 保持; 同步; 成立
hypercone|超圆锥
hellfire|地狱之火, 严酷的苦难
hounding|追猎（hound的现在分词形式）
haemolytic|溶血的, 血球溶解的
hygrophyte|水生植物
horary|指示钟点的, 计数时间的, 每小时的
headliners|(headliner 的复数) n.(报纸)写标题的记者
hebraically|Hebraic的变形
hachiman|[网络] 八幡；八幡神社；八幡神
hypinosis|血纤维蛋白减少
hypochlorite|次氯酸盐
hypocone|[解]次尖, 上次尖
hurrying|仓促（做某事）( hurry的现在分词 ); 催促; （朝某方向）迅速移动; 迅速处理
haemolysis|(=hemolysis)[医]红血球溶解
helot|希洛人(古斯巴达奴隶), 奴隶, 农奴
hammerman|锻工
huey|休伊（男子名）
haematoblast|(=hematoblast)血小板, 成血细胞
hieing|快走( hie的现在分词 )
homogonous|[医]花蕊同长的
hadith|穆罕默德言行录(现已成为古兰经的一个补充)
hemifacial|[医] 半穹隆
hypomnesis|(=hypomnesia)记忆力减退
hoarsens|使（嗓子）嘶哑, 变嘶哑( hoarsen的第三人称单数 )
hinter|暗示；线索 (hint的变形)
harassers|(harasser 的复数) n. 骚扰者；袭扰者导弹车
hearthstone|炉底石, 砌炉石块, 家庭
humanized|人化的
halophilous|适盐质环境生长的, 喜欢盐的
hearkens|倾听（hearken的第三人称单数形式）
hardbake|杏仁乳脂糖
hemiageustia|偏侧味觉缺失
hypocrinism|[医]内分泌不足病, 内分泌腺官能不良
hyetograph|雨量图
hopelessness|绝望
honk|雁鸣, 汽车的喇叭声
hemichordate|[动]半索海生动物纲
heelball|蜡墨上光丸
headstones|墓碑( headstone的复数形式 )
hooray|interj. 万岁
hoptoad|痛饮
hirsute|多毛的, 有粗毛的
harrow|哈罗公学, 耙
hispanics|西班牙和葡萄牙的( Hispanic的复数形式 ); 西班牙及其他说西班牙语国家的
humorless|缺乏幽默感的, 非常严肃的, 一本正经的
hemanalysis|[生化]血液分析
huts|小屋, 棚屋( hut的复数形式 )
hairiest|多毛的( hairy的最高级 ); 惊险的; 令人恐惧的; 粗壮的
hangups|(hangup 的复数) n. 挂断
homozygote|同型接合体, 纯合体
horseway|马之通路
handstone|鹅卵石, 用手操作的碾磨石
hyponea|[医] 精神迟钝
haematinic|补血药
hammily|hammy的变形
hitherward|向此处
historiated|(书页每段开头、每页的边或手稿等)用人[动物]的图像装饰的, 有图案的
hemothorax|(=haemothorax)[医]血胸, 胸腔积血
hamfatter|拙劣的演员
hurls|猛投, 用力掷( hurl的第三人称单数 ); 大声叫骂
hoggery|养猪场, 贪婪
hordenine|[化] 大麦芽碱; 对二甲氨乙基苯酚
hydrolyzer|[化] 水解器
hcb|hard-covered book 精装书; hard-core base 核心基地; hollow concrete block(s) 空心水泥砖; heating and cooling of buildings 建筑物的保暖和降温
halfmoon|半月，半月形
hydrocephaly|脑积水
holts|(holt 的复数) n. 小林, 林丘
heterodactyl|异趾的
hunters|猎人（hunter的复数）
homilite|硅硼钙铁矿
hyperhedonia|快感过盛, 快感过敏
hypermetrope|[医]远视者
hirundo|[网络] 燕属；燕子；燕属鸟类
heirless|无后嗣的, 无继承人的
housecraft|<英>管家的技能, 家政学
hummocks|(hummock 的复数) n. 圆丘, 小丘, 山岗
hydrates|水合物( hydrate的名词复数 )
haustorium|[植](寄生植物的)吸根
hyperon|超子
halfhourly|半小时地;三十分钟地
habitudes|(habitude 的复数) n. 习俗, 习惯
haut|高级的, 上流社会的
hath|vbl.<废>have的第三人称单数现在式
hiro|岛袋宽子（日本女歌手）；樱井弘树（日本小说恋空中的男主人公）；広村（旧时属于日本广岛的一个村名）
hesione|[希神]赫西俄涅(特洛伊王Laomedon 的女儿)
horseplay|喧闹的嬉戏
hooflet|(鹿, 猪等的)小蹄
herds|兽群( herd的名词复数 ); 牧群; 人群; 群众
heavyweight|重量级拳击运动员, (非正式)有影响的要人
hypophysis|脑下垂体
hyacinths|风信子( hyacinth的复数形式 ); 洋水仙; 红锆英石; 红风信子石
homocercy|正尾
hyposphresia|[医] 嗅觉减退
hipple|小堆
hyperalgesia|[医]痛觉过敏
hydrographer|水文工作者, 水道测量家
heavenly|天上的, 神圣的, 天国似的
hoariest|(hoary 的最高级) a. 灰白的, 陈旧的
hemistichal|hemistich的变形
handsewn|手工缝制的
houseman|实习医生
hooting|喊叫；鸣响；摄制（hoot的ing形式）
hodman|雇佣工人
heartedly|放在心上的, 铭记在心的
highlander|高地人, 苏格兰高地人
haemophilic|(=hemophilic)血友病的, 嗜血的
handclap|拍手
handfish|手渔
homozygotic|[生]纯质性的, 纯合基因的
hosp|hospital 医院; hospitality 款待, 好客
honewort|[植]北柴胡
haplodont|[医] 单形牙(牙冠无牙尖,只为一锥形冠)
holsters|（系在腰带等上的）手枪皮套( holster的复数形式 )
hematogen|(=haematogen)血原汁, 血色蛋白元
hypertension|高血压, 过度紧张
hearthrug|壁炉前的地毯
holozoic|[生]全动物营养性的,以摄取有机物为食的
husbandage|船主付给船舶管理人的佣金
hylicism|物质论
hypostasis|本质, 根本原理, 原质
haunting|常浮现于脑海中的, 不易忘怀的
hangover|宿醉, 残留物, 遗物
hemodynamics|血流动力学
homozygously|同型结合地, 纯合子地
howdy|int. 您好(招呼用语)
homebodies|(homebody 的复数) n. 重视家庭生活的人, 喜欢在家消遣的男人
hausfrau|主妇
hydrocoral|水螅珊瑚类
hibernia|爱尔兰
habe|habeas corpus 人身保护
hylobates|[医] 长臂猿属
heroically|英雄地; 超人地; 冒险地; 庞大地
hobbyists|沉溺于某种癖好者, 嗜某爱好成癖的人( hobbyist的复数形式 )
hardest|极难
huskers|(husker 的复数) n. 玉米去苞叶机
hesped|(犹太人葬礼上的)悼词
hyetometer|雨量表, 雨量计
haya|[地名] [印度尼西亚] 哈亚
heriots|(heriot 的复数) [法] 贡品, 捐赠, 佃户死时的贡献
hemianacusia|[医] 偏侧聋
heteropathic|【医学】；逆症疗法的
hoaxed|开玩笑骗某人, 戏弄某人( hoax的过去式和过去分词 )
hippocampi|<希神><罗神>马头鱼尾的怪兽( hippocampus的名词复数 ); 海马回; 海马状突起; 海马体（大脑中被认为是感情和记忆中心的部分）
hooklike|像钩子似的, 钩状的
heronries|(heronry 的复数) n. 鹭巢群
hippish|有点忧郁的, 悲伤的
hairlessness|[医]秃发症, 无毛发症
hemotrophe|[生化]血含养胎物质
hexateuch|<<旧约全书>>的首六卷
hula|呼拉圈舞, 草裙舞
hough|[医] 后踝(四足动物后肢的踝关节)
hexanchus|六鳃鲨属
handleless|[网络] 无柄
hebetating|鲁钝的( hebetate的现在分词 )
haugh|<苏>[地]河岸平台,泛滥平原
housemaster|男舍监
hypo|[化] 硫代硫酸钠; 五水合硫代硫酸钠; (俗称)海波
herber|(Herber)人名；(法)埃尔贝；(德、瑞典)赫贝尔
handcuffs|手铐
hearsing|柩车, 灵车( hearse的现在分词 )
hangars|飞机库( hangar的复数形式 )
hematocyst|[医] 血囊肿, 膀胱积血
heterolalia|[心理]异语症
hogmanay|大年夜, 除夕礼物
hiroshima|广岛[日本本州岛西南岸港市]
helly|[人名] 赫利
hhd|古典文学博士（Humanitatum Doctor, 等于Doctor of Humanities）
hemimorphic|[电] 半形
hesitative|支吾其辞的
hesitations|犹豫( hesitation的复数形式 ); 踌躇; 犹豫（之事或行为）; 口吃
holk|[地名] [荷兰] 霍尔克
homilies|（长篇）说教( homily的名词复数 ); 讲道, 宣道
hansardize|引用议事录与他人对质
helotism|古斯巴达的奴隶制度, 奴隶的身分
headlined|给…加标题（headline的过去式与过去分词形式）
hardbacks|精装书( hardback的复数形式 )
hoodoos|不祥的人或物( hoodoo的名词复数 ); 石林
honorand|荣获名誉学位之人
hegari|[植]非洲高粱(原产苏丹)
hircin|羊脂膻气素
hailstorms|雹暴( hailstorm的复数形式 )
haversine|[数]半正矢
hypsographic|测高(学)的
harrowing|痛心的, 悲惨的
henceforward|从今以后, 今后
hangmen|绞刑吏, 刽子手( hangman的名词复数 )
hippotomy|马解剖 学
homolysis|[化]均裂
hont|(Hont)人名；(匈、瑞典)洪特
heptastyle|有七条柱子的, 前面有七条柱子的
hoover|胡佛电动吸尘器
homefelt|痛切感到的, 舒适自在的
hiatal|[医] 裂孔的
hernial|疝的
hyposphene|下楔, 下椎弓突
hypermnesis|[医]记忆增强
helvetian|赫尔维蒂的, 瑞士人的
hydrolyzed|水解( hydrolyze的过去式和过去分词 )
hags|女巫( hag的复数形式 ); 丑婆; 魔女; 沼地
hairdryer|（吹干头发的）吹风机
hypocentral|震源定位
hastily|匆忙地, 急速地, 急躁地
hypogenic|上升生成的
hypotrichida|[医] 稀毛虫类
hogchoker|无市场价值之美洲鳎
hydrostatics|流体静力学
hawkshaw|侦探
hollands|荷兰制杜松子酒
hexokinase|[生化]己糖激酶
hedgy|多灌木树篱的
hurlers|(hurler 的复数) n. 投掷者, 投手
heaviest|最重的（heavy的最高级）
horsehead|马头门
hoven|[医] 胃气胀(牛羊等)
heliolitidae|日射珊瑚科
heeds|留心, 注意, 听从( heed的名词复数 )
hypophyll|(=hypophyllum)菌肉下层
harmfulness|有害；伤害
hypophrenia|智力衰退, 智力缺陷
hexametric|hexameter的变形
hovering|停悬；空中悬停
honeys|蜂蜜( honey的名词复数 ); <口>亲爱的; 花蜜; 蜜（黄）色
homologating|赞同；同意
hematometry|[医] 血成分测定法
hornfish|扁颌针鱼
hybridize|(使)杂交, 混合
homopause|[气]均质层顶
helots|(helot 的复数) n. 希洛人(古斯巴达奴隶), 奴隶, 农奴
hushaby|interj. 乖乖睡
hamhung|咸兴[朝鲜民主主义人民共和国东部城市]
hyperbole|夸张法
homoerotism|同性恋（爱）
hormonoid|类激素的
hailed|下雹子( hail的过去式和过去分词 ); 如冰雹般地降下; 致敬; 打招呼
habenaria|[网络] 哈本尼亚
huer|鱼眼
humanely|仁慈地; 人道地; 富人情地; 慈悲地
hemihedrism|半对称性
honeycombing|蜂窝, 蜂巢( honeycomb的现在分词 )
hocks|（犬、马等后腿的）跗关节, （鸡的）腿关节( hock的名词复数 ); （德国莱茵河地区产的）白葡萄酒
hyperboles|(hyperbole 的复数) n. 夸张法
hask|&n. [方言] （动物）干咳的(病症)
hyraceum|[医] 蹄兔香
hunky|来自中欧(或东欧)的移民
haemoid|(=hemoid)血样的, 像血的
hoyles|(Hoyle 的复数) n. 霍伊尔纸牌游戏书
heliamphora|[网络] 太阳瓶子草；太阳瓶子草属；具盖瓶子草属
happenstance|偶然事件
herniotome|[医] 疝刀
huari|[地名] [秘鲁、玻利维亚] 瓦里
holostome|全口虫
highjacked|(highjack 的过去分词) vt. 抢劫, 强逼, 劫持, 拦路抢劫
hollering|喊出（某事物）, 叫喊( holler的现在分词 )
hout|[地名] [荷兰] 豪特
herr|（德）先生；德国绅士
hedges|树篱( hedge的名词复数 ); 保护手段; 防止损失（尤指金钱）的手段
halvans|杂质多的矿石
headwords|标题字, 中心词( headword的复数形式 )
hogget|一岁羊, 幼羊毛
hospodar|[史](奥斯曼帝国统治下的Moldavia及Wallachia两公国)的大公,总督
heptarch|七原型
heterokontan|不等鞭毛的
huffaker|[人名] 赫法克
helosis|[医](患)鸡眼
herderite|磷铍钙石
hussars|轻骑兵（hussar的复数）
henbit|[植]宝盖草(产于欧洲)
hesitance|踌躇, 犹豫
hematoplast|[医] 成血细胞, 原[始]血细胞
heeling|倾斜
homochronous|[计] 类同步的
helotomy|[医] 鸡眼切除
hollers|喊出（某事物）, 叫喊( holler的名词复数 )
hipshot|股关节脱臼的, 跛的; 臀部
heliotrope|天芥菜属植物, 淡紫色
hypanthial|杯状体的, 管状体的
hallucinates|使产生幻觉( hallucinate的第三人称单数 )
hebraical|[网络] 黑猩猩
hyperploid|[生]超倍的
