read|读
restrain|约束
restrict|限制
result|导致
resume|恢复
retaliate|报复
retire|退休
retreat|撤退
retrieve|检索
reunite|重聚
reveal|揭示
review|审查
revise|修订
revive|复活
revoke|撤销
revolt|反叛
reward|奖励
rid|摆脱
ride|骑
ridicule|嘲笑
rinse|冲洗
rise|上升
roam|漫游
roar|咆哮
rock|摇摆
rotate|旋转
roughen|使粗糙
rouse|唤醒
rub|摩擦
rule|统治
rumble|隆隆声
rust|生锈
rubidium|元素周期表的第37个，銣，缩写Rb
ruthenium|元素周期表的第44个，釕，缩写Ru
rhodium|元素周期表的第45个，銠，缩写Rh
rhenium|元素周期表的第75个，錸，缩写Re
radon|元素周期表的第86个，氡，缩写Rn
radium|元素周期表的第88个，鐳，缩写Ra
rutherfordium|元素周期表的第104个，鑪，缩写Rf
roentgenium|元素周期表的第111个，𬬭，缩写Rg
reality|现实
really|真正地
richness|丰富
richly|丰富地
rejuvenate|使年轻
racial|种族的
racially|种族地
reading|阅读
readable|可读的
readably|可读地
reasonably|合理地
reception|接待
receptive|接受的
receptively|接受地
recorded|记录的
recordedly|记录地
refusal|拒绝
refusable|可拒绝的
refusably|可拒绝地
relaxation|放松
relaxedly|放松地
remembrance|记忆
rememberable|可记住的
rememberably|可记住地
repetition|重复
repetitive|重复的
repetitively|重复地
reportable|可报告的
reportably|可报告地
respectful|尊重的
respectfully|尊重地
restful|宁静的
restfully|宁静地
ruling|统治的
rulingly|统治地
researchable|可研究的
researchably|可研究地
recyclable|可回收的
recyclably|可回收地
recycling|回收
reproduction|繁殖
reproductive|生殖的
reproductively|生殖地
respirations|呼吸
respiratory|呼吸的
respiratorily|呼吸地
restoration|恢复
restorations|恢复
restorational|恢复的
restorationally|恢复地
reforestation|重新造林
reforestations|重新造林
reforestationally|重新造林地
renewables|可再生能源
renewably|可再生地
recyclables|可回收物
russia|俄罗斯
russias|俄罗斯
russian|俄罗斯的
russianly|俄罗斯地
riyadh|利雅得
riyadhs|利雅得
riyadhly|利雅得地
rome|罗马
romes|罗马
roman|罗马的
romanly|罗马地
reykjavik|雷克雅未克
reykjaviks|雷克雅未克
reykjavikly|雷克雅未克地
revenue|收入
recession|衰退
regulation|法规
renegotiation|重新谈判
reasoning|推理
recovery|康复
resilience|韧性
routine|例行公事
renaissance|文艺复兴
rhythm|节奏
ritual|仪式
role|角色
referee|裁判
rehabilitation|康复
racket|球拍
running|跑步
rowing|划船
retirement|退役
reflex|反应
regional|地区的
response|回应
rival|对手
region|地区
relief|救济
reflection|反思
reputation|声誉
recognition|认可
remark|评论
router|路由器
refugee|难民
resource|资源
resistance|电阻
rubber|橡胶
ruler|尺子
reminder|提醒
risky|冒险的
retina|视网膜
restriction|限制
roasted|烤的
rotten|腐烂的
route|路线
roundabout|环岛
resin|树脂
ribbon|色带
refill|补充装
receptacle|容器
rack|架
radical|激进的
rage|愤怒
raid|突袭
rail|栏杆
rational|理性的
realm|领域
regime|政权
remedy|补救
rent|租金
republic|共和国
reserve|保留
reside|居住
retain|保留
revolution|革命
ridge|山脊
rifle|步枪
riot|暴乱
rocket|火箭
romance|浪漫
root|根
reports|报告
residents|居民
risks|风险
requires|需要
rates|比率
rules|规则
resources|资源
researchers|研究人员
results|结果
returned|归还
refugees|难民
relationships|关系
reasons|理由
rather|相当
recently|最近
remains|仍然是
rum|朗姆酒
recommended|被推荐的
rights|权利
responsibilities|责任
reported|报告
rustle|发出沙沙声
rape|强奸
revolutionize|革命化
relieve|减轻
regardless|不管
recruiter|招聘者
reunion|团聚
robbery|抢劫
robust|强健的
reserved|保留意见的
registration|注册
row|划船
representative|代表
resident|居民
reimbursement|返还费用
refine|提炼
resolute|坚定的
recipe|食谱
rigor|严格
reckon|认为
reflective|反映的
regarding|关于
rigorous|严格的
redefine|重新定义
romantic|爱情的
responsive|灵敏的
redundant|失业的
restructure|调整
readjust|重新调整
rewarding|有意义的
refreshing|新鲜的
rebellion|叛逆
reckless|鲁莽的
reliable|可靠的
replacement|代替
reinforce|增强
relay|接替
reluctance|勉强
rhetorical|修辞的
recurrence|再次发生
retailer|零售商
randomly|随机地
resultant|作为结果而发生的
rebuke|指责
retard|阻碍
radiant|容光焕发的
requisite|需要的
regenerative|回授的
recreation|消遣
resemblance|相似
reciprocal|相互的
ramble|闲逛
ruthless|无情的
recommendation|推荐
regiment|团
resignation|听从
rear|饲养
rip|撕
residual|剩余的
remainder|剩余（物）
rash|轻率的
raisin|葡萄干
reptile|爬行动物
radiator|暖气片
representation|描写
reed|芦笛
rascal|流氓
ripple|涟漪
rapture|狂喜
rapidity|快
reclaim|开垦
reel|卷
repel|使厌恶
rectangle|矩形
rectify|纠正
refinery|精炼厂
receiver|接待者
reef|礁
royalty|皇家
ruby|红宝石
roller|滚筒
regularity|规则性
radial|放射状的
rooster|公鸡
reactor|反应堆
rattle|发出格格声
resent|对…不满
repeal|撤销
reference|参考文献
rim|边
radius|半径距离
realization|（理想等的）实现
refreshment|（精力的）恢复
ranch|（北美洲的）大牧场
revolve|（使）旋转
repay|偿还
retort|反击
rupture|破裂 n. 破裂
reproach|n&vt. 责备
rehearsal|排练
rarely|不常
restraint|抑制
retention|保留
refresh|振作精神
reassess|vt. 再评价
recipient|接受者
regenerate|vi. 新生
revenge|报复
radioactive|放射性的
relative|有关系的
rivalry|竞争
relish|vt. 享受
recur|vi. 再发生
rotary|旋转的
reassure|vt. 使放心
refuge|庇护所
refund|退款 vt. 退还
remnant|残留部分
rejection|拒绝
reconciliation|和解
refute|vt. 驳斥
rig|vt. 操纵
rating|等级
rot|腐烂
repertoire|全部节目
rein|缰绳 vt. 勒缰使停步
reliance|依靠
retrospect|回顾
recede|vi. 退
readily|乐意地
revelation|被提示的真相
relegate|vt. 使降位
revolutionary|革命的
rectangular|长方形的
reaffirm|vt. 重申
repression|压抑
residence|住处
recollect|回忆
resolution|决定
removal|移动
reduction|减小
railroad|由铁道运输
reader|读者
relation|关系
rose|玫瑰
requirement|要求
rain|雨
republican|共和国的
repeatedly|反复地
robot|机器人
renovate|更新
rag|破布
riddle|解谜
robe|长袍
rod|棒
rib|肋骨
rug|小地毯
rumor|谣言
relativity|相对论
rubbish|垃圾
razor|剃
rope|绳
roof|屋顶
reservoir|水库
rainbow|彩虹
roast|烤
recorder|录音机
radar|[雷达] 雷达
ratio|比率
railway|铁路 vt. 由铁道运输
rehearse|排练
rat|鼠 <
restless|得不到休息的
rumour|传闻
reflexion|映像
researcher|研究者
rapidly|迅速地
rainfall|降雨
rocky|岩石的
rite|仪式
runoff|径流量
ray|光线
reclamation|开垦
recharge|再充电
rainwater|雨水
realism|现实主义
ruminant|反刍动物(的)
realist|现实主义者
roost|v& n. 栖息鸟巢
relic|遗物
reformer|改革家
raft|木排(筏)
robin|知更鸟
reindeer|驯鹿
rotation|旋转
reconstruction|重建
remarkably|非凡地
reshape|改造
radically|根本地
rodent|啮齿类动物
repudiate|批判
reconstruct|重建
rainy|下雨的
rudimentary|基本的
raven|大乌鸦
reheat|再热
rancher|大牧场主
recruitment|征募新兵
rental|租金额
reptilian|爬行类动物
renewal|更新
replenish|补充
reset|重新安排
radiocarbon|放射性炭
relocate|重新部署
rhinoceros|[动]犀牛
revival|复兴
revitalize|新生
recrystallize|( 使) 再结晶
receptor|接受器
rend|撕裂
reversal|翻转
retract|缩回
retrieval|取回
reelection|再选
respectively|分别地
romanticism|浪漫精神
rodeo|马术竞技表演会
rhetoric|雄辩言辞
refreeze|再结冰
recreational|娱乐的
rift|裂口 v. 裂开
rumen|瘤胃(反刍动物的第一胃)
respondent|应答者
regulatory|管理的
raindrop|雨滴
rigorously|严格地
residency|居住
refrigerate|使冷冻
revere|尊敬
rote|死记硬背
rugged|高低不平的
referent|指示物
redwood|[植]红杉
ravage|毁坏
rye|裸麦
reuse|再使用 n重新使用
reddish|微红的
reelect|重选
raccoon|<美>[动]浣熊
revitalization|新生 复兴
redbud|紫荆属植物
rebound|/v回弹
rhythmical|节奏的
reciprocate|互换
regularize|使有规则
regeneration|再生
refractory|难控制的
regolith|[地质]风化层
rider|骑手
remediation|补习
realistically|现实地
recess|(墙壁等的)凹进处 v. 使凹进
rooftop|屋顶 adj. 屋顶上的
receptiveness|感受性
reabsorb|再吸附
rawhide|生牛皮 vt. 用生牛皮鞭抽打 adj. 生牛皮的
reaper|收割者
roadbed|路基
regulator|调整者
readership|读者的身分
resilient|帕特森（美国一座城市）
rigidity|刻板
riverbank|河堤
rougher|粗切机
revision|修订
routinely|例行公事地
rhyolite|[地]流纹岩
rigidly|坚硬地
renounce|宣布放弃
refrigeration|冷藏
reviewer|批评家
ragtime|拉格泰姆音乐 adj. 使人发笑的
reliability|可靠性
resentment|怨恨
revealingly|启发人地
rearrange|再排列
replicate|复制 adj. 复制的
reappear|再出现
reopen|重开
riverbed|河床
rennin|高血压蛋白原酶
reenter|重进入
rapport|和谐
railhead|铺设中的铁路末端
reflectivity|反射率
roughness|粗糙
responsiveness|响应能力
rewrite|重写
regionalization|分成地区
recreate|(使)得到休养
resonator|共鸣器
remuneration|报酬
refurbish|再磨光
recital|朗诵
rarity|稀有
requisition|正式请求
reprint|再版
romanize|古罗马化
radiometric|辐射测量的
recurrent|再发生的
reorganize|改组
residue|残渣
repute|名誉
reradiate|再辐射(转播)
resourcefulness|足智多谋
redesign|重新设计
rentable|可出租的
ration|定额
regurgitate|反刍
ruminate|反刍
reorient|重定的方向(或方位)
rootless|无根的
recount|叙述
reactive|反应的
rhythmic|节奏的
redwing|[动](欧洲产的)红翼鸫
radioactivity|放射能
reluctantly|不情愿地
regionalist|地方主义者
reportedly|据传说
reachable|可达成的
restatement|再声明
replenishment|补给
rephrase|改述
replica|复制品
regrettable|可惜的
rime|结晶
restlessness|辗转不安
rayon|人造丝
religiously|虔诚地
ritualize|使仪式化
rhythmically|有节奏地
rename|重新命名
republish|再版
retentive|有记忆力的
reaumur|列氏温度计(的)
rivet|铆钉  v固定
romantically|浪漫地
ravine|沟壑
refiner|精炼者
remodel|重新塑造
reverently|恭敬地
repertory|仓库
resonance|共鸣
rebellious|反抗的
renunciation|放弃
radish|[植]萝卜
rosy|蔷薇色的
reliant|信赖的
reprieve|n& v. 缓刑
replant|再植
relict|残遗物
rationalism|理性主义
resale|再贩卖
renowned|有名的
ratchet|棘轮
rejoin|再结合
revert|回复
rut|定例
rationale|基本原理
runway|飞机跑道
rampant|猖獗的
recognizable|可辨认的
retrain|重新教育
racetrack|(主要用于赛马
rancho|大牧场(或大农场)工人住的棚屋
reinterpretation|重新解释
rubble|碎石
rainer|人工降雨装置
recoil|畏缩
romancer|传奇小说作家
reexamine|复试
rustproof|不锈的
rationally|理性地
refinement|精致
ruthlessly|冷酷地
renter|租贷人
rarefy|稀薄
rehydrate|[化] 再水化
restrictive|限制性的
rook|白嘴鸦
romanticize|浪漫化
roadway|车行道
reconstitute|重新组成
regimentation|管辖
rarer|稀罕的
resettle|(使)重新定居
relevance|中肯
rebirth|复活
roe|鱼卵
retool|将机械重新整备
relational|有关系的
rattlesnake|<美>[动]响尾蛇
rediscover|重新发现
recline|向后倚靠
rendition|表演
reschedule|重新计划
recoup|收回
renown|名望
ripen|成熟
refraction|折射
reversible|可逆的
reiterate|反复说
reliever|救济者
recurring|往复的
respire|呼吸
rebate|回扣
rekindle|重新点燃
righteous|正直的
rotational|旋转的
readability|可读性
rancorous|怨恨的
retrospective|回顾的
rationality|理性
rustic|乡村的
reciprocity|互惠
rhyme|押韵
realtor|房地产经纪人
recollection|记忆力
recessive|隐性的
reapply|再申请
racing|比赛的 n.  比赛
racism|种族主义
re|关于
r|[计] 半径, 比例, 读, 接收, 寄存器, 复位, 电阻, 程式
reviews|评论；综述；复核；复习（review的复数）
rss|和的平方根（root-sum square）；[拉]英国皇家学会会员（Regiae Societatis Socius, 等于fellow of the royal society）
records|记录, 录音；唱片, 档案（record的复数形式）
requirements|调整需要量, 必需品；要求（requirement的复数）
received|被一般承认的, 公认的
registered|注册的, 登记过的, 记名的, 挂号的
robert|[法] 警察
returns|回报；收益；退货（return的复数）
releases|释放；豁免；发泄（release的复数形式）
rooms|空间；房间（room的复数）
ratings|评级；等级（rating的复数形式）
rentals|住房出租；租金收入（rental的复数形式）
rated|[电] 额定的
restaurants|饭店( restaurant的名词复数 ); 餐馆; 饭馆; 菜馆
relations|交往, 关系, 事务
released|已发布；释放（release的过去式）
richard|理查德（男子名）
references|参考文献；参照；推荐信（reference的复数）
regulations|章则；条例；规程（regulation的复数）
ringtones|铃声（ringtone的复数）
replies|回复；回答；答复（reply的复数形式）
rd|[计] 报表描述; DOS内部命令:该命令用于删除磁盘中的空白子目录
reporting|报道
requests|要求( request的名词复数 ); 需要; 所请求的事物; 申请书
recommendations|推荐( recommendation的复数形式 ); 推荐信; 正式建议; 提议
recipes|烹饪法( recipe的名词复数 ); 食谱; 方法; 秘诀
readers|读者, 读物（reader的复数形式）
rw|卢旺达（Rwanda）；辐射武器（radiation weapon）；辐射战（radiological warfare）；阁下（Right worshipful）
reduced|减少的；简化的；缩减的
reviewed|评估；复习；评论；检讨（review的过去分词形式）
referred|归类, 谈及, 送交；参考, 查阅（refer的过去式）
recording|记录的, 记录用的
regions|地区；地域；领域（region的复数）
rings|吊环（ring的复数）
rs|[计] 实寄存器, 寄存器和存储器, 复位
rom|只读存储器
revised|改进的
runs|顺串；泻肚子；流量（run的复数形式）
receiving|[计] 接收
reservations|保留；预定（reservation的复数形式）
requested|要求的；被请求的
raised|凸起的, 浮雕的, 发酵的
responses|响应回应
representatives|代表( representative的复数形式 ); 代理人; 典型人物; [常作 R-]（美国）众议院议员
relating|关联；叙述；涉及（relate的ing形式）
reached|到达( reach的过去式和过去分词 ); 联络; 伸出手臂, 延伸
ref|裁判员
resulting|[计] 结果的, 合成的
resorts|度假村；度假胜地（resort复数）
res|[计] 远程输入服务
relatively|相对地, 比较地, 相当地, 相关地
represents|表现( represent的第三人称单数 ); 代表; 体现; 作为…的代表
registry|登记处, 登记名册
recognized|经过验证的；公认的
ryan|赖安（男子名）
ringtone|铃声, 手机铃声
represented|表现( represent的过去式和过去分词 ); 代表; 体现; 作为…的代表
ran|run的过去式
restrictions|限制；限制条件（restriction的复数形式）
rhode|罗德岛
richmond|里士满（美国弗吉尼亚首府）
ron|研究法辛烷值（Research Octane Number）
russell|拉塞尔（英国工程师, 整流器发明人）
roger|interj. 对!, 行!, 好!
riding|骑, 乘车, 乘, 骑术, 骑马
roads|开敞或半开敞锚地；道路（road的复数）
rolling|旋转的, 波动的, 起伏的
reg|[计]注册表文件；寄存器（register ）
replaced|取代；替换；放回（replace的过去分词）
reducing|减低；减轻体重法, 减肥法
ra|正规陆军(美国), (英国)皇家艺术学会, 常备军, 正规军
rc|红十字, 红十字会
rico|反诈骗腐败组织集团犯罪法（Racketeer Influenced and Corrupt Organizations Act）
ranking|等级, 地位
rep|棱纹平布, 浪荡子, 名声
ross|罗丝（女性名）
rm|[计] 识别方式, 资源管理程序, 删除
rising|上升, 造反, 叛乱
restricted|受限制的, 有限的
ri|[化] 放射性同位素
regularly|有规则地, 一丝不苟地, 正式地
rt|[计] 实时, 接收终端, 运行时间
rick|草堆
roses|玫瑰（rose的复数）
roberts|罗伯茨（姓氏）
rf|射频, 测距计, 测远仪
revenues|收入( revenue的复数形式 ); [复数]总收入; 收入来源; 税务局
reserves|储量, 后备队
raising|[机] 起油
reads|读, 看懂, 理解( read的第三人称单数 ); 显示, 标明
roles|人物；角色；任务, 作用（role的复数形式）
revealed|透露（reveal的过去式）；显示
rugby|橄榄球, 橄榄球赛
regards|问候, 致意
rpm|每分钟转数
roots|乡土感情, 归根之情
rev|一次回转
rocks|岩石, 岩礁；岩石礁石（rock复数形式）
rio|里约（巴西共和国的旧首都）
rv|（设有床位、厨房等野营用的）娱乐车（Recreational Vehicle）；重返大气层飞行器（Reentry Vehicle）；《圣经》的修订本（Revised Version）
representing|表现( represent的现在分词 ); 代表; 体现; 作为…的代表
rica|黎加（人名）
returning|归还, 返回, 回复（return的ing形式）
ralph|拉尔夫（男子名）
roy|罗伊（男子名）
receives|受光面
refers|提到( refer的第三人称单数 ); 针对; 关系到; 请教
recordings|记录( recording的复数形式 ); 录音; 录像; 唱片
romania|罗马尼亚
requiring|要求( require的现在分词 ); 需要; 想要; 命令
refinance|再为...筹钱, 再供...资金
rankings|地位, 等级( ranking的复数形式 ); 某项体育运动的)最佳运动员排名表
robinson|罗宾逊（男子名）
remained|留下( remain的过去式和过去分词 ); 保持; 留待; 仍然是
roulette|轮盘赌, 点线机, 骑缝线
rivers|里弗斯（人名）；河流州（尼日利亚州名）；河水钻
realized|实现的；已实现
rr|无线电航向信标（Radio Range-beacon）；雷达测距（Radar Ranging）；无线电接受器（Radio Receptor）；连流继电器（Reverse Relay）；阻力比（Resistance Ratio）
rfc|[计] 电子出版物请发表评论
remarks|摘要；附注；评论（remark的复数）
resulted|发生( result的过去式和过去分词 ); 导致; 随着发生; 结果发生
resolved|下定决心的, 断然的
referral|参照, 介绍, 被介绍人, 转诊病人
reuters|路透社
rogers|罗杰斯（姓氏）；乐爵士（英国一家音箱生产厂）
ranging|距离修正, 广泛搜索
repairs|备件；修理；修理费；修理工作（repair的复数形式）
routing|[计] 路由选择; 布线
rachel|雷切尔（女子名）
reaching|到达( reach的现在分词 ); 联络; 伸出手臂, 延伸
races|赛马会
retailers|零售商, 零售店( retailer的复数形式 )
realty|不动产, 房地产
recruiting|招聘( recruit的现在分词 ); 吸收某人为新成员; 动员…（提供帮助）; 雇用
ranked|& vi. 排列, 使成横排（rank的过去式与过去分词形式）
routes|线路；路由, 路径
reproduced|复制( reproduce的过去式和过去分词 ); 重现; 再版; 生殖
respondents|<律>（尤指离婚案的）被告( respondent的名词复数 ); 回答问题的人, （尤指）调查对象
raleigh|罗利（美国北卡罗来纳州首府）；罗利（英国的探险家、航海家及作家）
removing|拆迁；消除
ranges|量程, 范围；山脉（range的复数）
refused|遭拒绝的
rolls|面包卷；捆；卷轴；辊碎机；滚动（roll的复数）
rochester|罗契斯特市（美国明尼苏达州一城市）；罗契斯特市（美国纽约州港市）；罗契斯特市（英国东南部一城市）
rejected|被弃之物, 落选者
relocation|再布置, 变换布置
repository|贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
reactions|反应（reaction的复数）
readings|读物；文本；朗读（reading的复数）
rats|int. [俚]胡说；瞎扯
routers|路由器（router的复数）
reflects|反射（光、热、声或影像）( reflect的第三人称单数 ); 考虑; 反照; 表达
ruth|怜悯, 悲哀
rover|漂泊者, 流浪者, 海盗
recommends|托( recommend的第三人称单数 ); 推荐; 劝告; 使显得吸引人
reload|再装
rx|处方；治疗方案
rec|[计] 接收, 记录, 恢复, 补偿, 娱乐
registrar|记录者, 登记者, 登记官员
reseller|分销商, 代理销售商
randy|喧闹的, 大声的, 好色的
reno|里诺（美国一城市名, 著名的“离婚城市”）
rpg|[计] 报表程序的生成程序
retro|制动火箭, 减速火箭；（服装式样等）重新流行
reduces|减少；降低；将…归纳；折合（reduce的第三人称单数形式）
rna|[医] 核糖核酸
regulated|管制；管理；规定（regulate的过去分词）
reflected|反射的；得自他人的
rebecca|丽贝卡（女子名, 寓意迷人的美）
riverside|河边, 河畔
raymond|雷蒙德（男子名）
retrieved|重新取回；恢复；补偿；挽救（retrieved的过去分词）
replied|反响；报复；回答（reply的过去分词）
rh|[计] 报表头
rrp|建议零售价格（recommended retail price）
recipients|收件人（recipient的复数）
roster|花名册
referring|谈及；提交；谘询（refer的ing形式）
racks|货架；行李架；拷问台（rack的复数形式）
reprints|重印书, 再版书( reprint的名词复数 )
resolutions|分辨率；决心；解决；决议（resolution的复数）
ronald|罗纳德（男子名）
runner|跑步者, 赛跑者, 送信人, 走私船, 操作者, 滑槽
rows|返回引用中的行数；行（row的复数形式）
rewards|奖励；奖品（reward的复数）
remembered|记得, 牢记( remember的过去式和过去分词 ); 纪念; 记着; 回想起
ranks|队伍；用户等级, 级别（rank的复数）
rugs|地毯；毯子（rug的复数）
republicans|共和党, 共和党员（republican的复数形式）
rn|(英国)皇家海军, 注册护士
responded|回答, 回报, 响应( respond的过去式和过去分词 ); 有反应; 有效果; 有影响
remix|使再混合；再搅拌；重新合成（乐曲等）
rapids|湍流；急流
refurbished|& vi. (refurbish的动词过去式或过去分词形式), 再磨光, 刷新
reveals|显示( reveal的第三人称单数 ); 揭示; 泄露; [神学]启示
regarded|关系( regard的过去式和过去分词 ); 注意; （尤指以某种方式）注视; 尊敬
rj|交叉路口（road junction）
relatives|亲属；[语法学]关系词（relative的复数）
realtors|房地产经纪人（realtor 的复数）
retained|保持( retain的过去式和过去分词 ); 拦住; 保存; 止住
rp|[计] 阅读器/打印机
rand|兰特, (非正式)边, 田埂, 缘
rca|美国无线电公司（Radio Corporation of America）
roughly|概略地, 粗糙地, 粗暴地
responding|反应；作答（respond的ing形式）
representations|陈述, 投诉, 抗议; 表现( representation的复数形式 ); 陈述; 表现…的事物; 有代理人
reynolds|雷诺兹（姓氏）
reaches|河段；流域；（上、中或下）游; （外）围；（远）处; （组织或机构中的）层级
rl|[计] 现实社会
richardson|理查森（姓氏）
roommate|住在同室的人
ro|[计] 只接收
reggae|雷盖
rides|座骑（ride的复数）
rehab|修复（等于rehabilitation）
recorders|录音机( recorder的复数形式 ); 记录员; （英国）刑事法院的临时法官; 竖笛
reviewing|检验( review的现在分词 ); 复查; 写…的评论文章; 复习功课, 温习功课
reforms|改革, 改良, 改造( reform的名词复数 )
requesting|要求；请求
regression|退步, 回归
recognised|承认；认出；辨别（recognise的过去分词）
relying|信任( rely的现在分词 ); 信赖; 依赖; 依靠
refined|精炼的, 优雅的, 精细的
rolled|辗压的, 辊轧的, 轧制的
rays|射线；[俚]日光浴；光线（ray的复数）
referenced|引用的, 参考的
raises|举起；建造；饲养（raise的三单形式）
remedies|救济方法（remedy的复数）
rouge|口红, 胭脂
routines|日常生活；日常活动；常规, 惯例（routine的复数）
relates|使有联系；与…有关；叙述, 讲述（relate的三单形式）
referrals|转交, 呈交, 提供( referral的复数形式 )
rwanda|卢旺达（东非国家）；卢旺达语
revisions|校订, 修正；复习（revision的复数形式）
restored|精力充沛的；精力恢复的
riders|骑（马、自行车等）的人( rider的名词复数 ); 乘客; 附文; 附加条款
rendered|已渲染的
replacing|替代；更换（replace的ing形式）
religions|宗教, 宗教信仰（religion的复数）
radios|收音机；无线电话；无线电广播设备（radio的复数）
runtime|执行时间, 运行时间
reid|里德（等于Read, 男子名）
robertson|罗伯森（姓氏）
rosa|[医] 蔷薇, 玫瑰
rb|[计] 归偏制
rangers|护林者( ranger的复数形式 ); <美>突击队员
rounds|圆形物；旋转；巡视；循环（round的复数）
receivers|接受者( receiver的复数形式 ); 听筒; 无限电接收机; （破产公司的）官方接管人
removable|可移去的, 可免职的, 可移动的
rebates|回扣；部分退款（rebate的复数）
reporters|记者( reporter的复数形式 )
rendering|翻译, 表现, 描写, 表演, 打底, 透视图
ruled|有横隔线的；有直线行的；受统治的
respected|受尊敬的
ratios|比, 比率( ratio的复数形式 )
recovered|重新获得；恢复（recover的过去分词）
rg|角速度陀螺仪（Rate Gyroscope）；巴西航空（Brazilian Airlines）
reflections|反光；反响, 回声；回旋曲
robots|机器人（robot的复数形式）
ru|[计] 请求回答单元
richards|理查兹（姓氏）
reductions|减少( reduction的复数形式 ); 降低; [数学]约简; [摄影术]减薄
resumes|简历；个人履历（resume的复数）
replication|回答, 反响, 复制, 第二次答辩, 折转, 弯回
receptors|<生>感受器, 受体( receptor的复数形式 )
roland|罗兰（男子名）
roommates|<英>室友, 住在同室的人( roommate的复数形式 ); <美>同住一屋（一套公寓等）的人
restructuring|[计] 重构的
redhead|红发的人
ranger|王室守林人, 骑警, 漫游者
ricky|里基（男子名, 等于Rick, Rickie）
robbie|罗比（男子名）
raff|大量, 许多, 大批, (英)(非正式)废料, 垃圾
recompiles|(recompile 的复数) v. 重新编译
rewriting|改写；重写
ribgrass|[植] 长叶车前草
resound|回响, 鸣响, 反响, 驰名, 被传遍
racketeers|干非法勾当者, 骗子( racketeer的名词复数 )
rewinding|倒回（影片、录音带等）( rewind的现在分词 ); 复卷; 倒带
roupy|患粘膜炎的, 声音沙哑的
repiner|repine的变形
renguera|[秘鲁]绵羊摇摆病
renal|肾脏的, 肾的
rubijervine|玉红杰尔碱, 红藜芦碱
raptures|极度欢喜( rapture的复数形式 )
reexperience|再体验, 二次体验, v再次经历
reissuable|reissue的变形
roentgenism|[医] X线疗法, 放射病(指由滥用X线而产生的疾患)
rollway|滚木坡
retentor|保持肌
redolency|芳香
rewiring|再接电线, 再打电报( rewire的现在分词 )
ringlead|当…的头目
recanting|撤回（声明）, 放弃（信仰或主张）( recant的现在分词 )
radiographs|拍…的射线照片, 拍射线照片( radiograph的第三人称单数 )
resigns|辞职, 放弃( resign的第三人称单数 ); (to)使顺从
reexport|再输出, 再出口
romanizes|古罗马化, 用罗马字书写（Romanize的第三人称单数形式）
reprobance|<古>=reprobation
rhamninose|鼠李三糖
repayable|可偿还的, 该付还的, 可报恩的, 应报复的
rebozo|长围巾
rubies|红宝石( ruby的名词复数 ); 红宝石色, 深红色
roentgens|(roentgen 的复数) n. 伦琴射线, X射线
ramifies|使分枝, 使分叉( ramify的第三人称单数 ); 成枝杈状
renewedness|renewed的变形
rhinologic|[医] 鼻科学的
runted|(runt 的过去分词) n. 小种牛, 小家畜, 大种家鸽
raved|胡言乱语( rave的过去式和过去分词 ); 愤怒地说; 咆哮; 痴心地说
