computer|电脑
collar|衣领
colleague|同事
collection|收藏
colony|殖民地
column|柱子
comb|梳子
combat|战斗
comment|评论
commerce|商业
commission|委员会
commit|犯
committee|委员会
communism|共产主义
community|社区
compact|紧凑的
companion|同伴
company|公司
compass|指南针
compel|强迫
competent|有能力的
competition|竞争
compile|编译
component|组件
comprehend|理解
comprise|包含
concept|概念
concert|音乐会
condemn|谴责
condition|条件
conference|会议
confidence|信心
congratulate|祝贺
congress|国会
conquer|征服
conscience|良心
consent|同意
consequence|后果
constitute|构成
contest|竞赛
contrary|相反的
contrast|对比
convention|大会
conversation|对话
copper|铜
corner|角落
correspond|通信
cottage|小屋
cotton|棉花
could|能够
council|理事会
counter|柜台
court|法院
craft|工艺
cream|奶油
creature|生物
crime|犯罪
crisis|危机
criteria|标准
critic|批评家
critical|关键的
criticism|批评
crop|庄稼
cruel|残忍的
crude|粗糙的
crystal|水晶
cube|立方体
culture|文化
cupboard|橱柜
currency|货币
curriculum|课程
curtain|窗帘
cushion|垫子
custom|习俗
cylinder|圆柱体
chlorine|元素周期表的第17个，氯，缩写Cl
calcium|元素周期表的第20个，鈣，缩写Ca
chromium|元素周期表的第24个，鉻，缩写Cr
cobalt|元素周期表的第27个，鈷，缩写Co
cadmium|元素周期表的第48个，鎘，缩写Cd
cesium|元素周期表的第55个，銫，缩写Cs
cerium|元素周期表的第58个，鈰，缩写Ce
curium|元素周期表的第96个，鋦，缩写Cm
californium|元素周期表的第98个，鉲，缩写Cf
copernicium|元素周期表的第112个，鿔，缩写Cn
carefully|小心地
carefulness|谨慎
creation|创造
creatively|创造性地
creativity|创造力
changeable|可变的
changeably|可变地
clarity|清晰
clearly|清晰地
choosy|挑剔的
choosily|挑剔地
closure|关闭
closed|关闭的
closely|紧密地
comparison|比较
comparative|比较的
comparatively|相对地
competitive|竞争的
competitively|竞争地
connection|连接
connected|连接的
connectedly|连接地
consideration|考虑
considerably|相当大地
construction|建设
constructive|建设性的
constructively|建设性地
correction|纠正
correctly|正确地
correctness|正确性
conclusion|结论
conclusive|决定性的
conclusively|决定性地
commercially|商业地
commercialize|商业化
compute|计算
computable|可计算的
computably|可计算地
courtly|礼貌地
contractual|合同的
contractually|合同地
criminate|定罪
criminally|刑事地
culturally|文化地
culturalize|使文化化
climatic|气候的
climatically|气候地
climatize|适应气候
confide|倾诉
criminal|犯罪的
confidently|自信地
cellular|细胞的
cellularly|细胞地
chromosomes|染色体
chromosomal|染色体的
chromosomally|染色体地
circulate|循环
circulation|循环
circulatory|循环的
circulatorily|循环地
conifer|针叶树
conifers|针叶树
coniferous|针叶树的
coniferously|针叶树地
crepuscular|晨昏性的
crepusculars|晨昏性生物
crepuscularly|晨昏性地
carnivorous|肉食的
carnivores|肉食动物
carnivorously|肉食地
conservations|保护
conservational|保护的
conservationally|保护地
contamination|污染
contaminations|污染
contaminational|污染的
contaminationally|污染地
communities|群落
communal|群落的
communally|群落地
chemotrophic|化能营养的
chemotrophs|化能营养生物
chemotrophically|化能营养地
compostable|可堆肥的
compostables|可堆肥物
compostably|可堆肥地
cellulose|纤维素
celluloses|纤维素
cellulosic|纤维素的
cellulosically|纤维素地
coenzyme|辅酶
coenzymes|辅酶
coenzymatic|辅酶的
coenzymatically|辅酶地
catalyst|催化剂
catalysts|催化剂
catalytic|催化的
catalytically|催化地
catabolism|分解代谢
catabolisms|分解代谢
catabolic|分解代谢的
catabolically|分解代谢地
chinesely|中国地
canada|加拿大
canadas|加拿大
canadian|加拿大的
canadianly|加拿大地
cambodia|柬埔寨
cambodias|柬埔寨
cambodian|柬埔寨的
cambodianly|柬埔寨地
colombo|科伦坡
colombos|科伦坡
colomboly|科伦坡地
cairo|开罗
cairos|开罗
cairoly|开罗地
cape|开普
capes|开普
capely|开普地
casablanca|卡萨布兰卡
casablancas|卡萨布兰卡
casablancan|卡萨布兰卡的
casablancanly|卡萨布兰卡地
copenhagen|哥本哈根
copenhagens|哥本哈根
copenhagenly|哥本哈根地
chicago|芝加哥
chicagos|芝加哥
chicagoan|芝加哥的
corporation|企业
compliance|合规
copyright|版权
cognition|认知
concentration|专注
consciousness|意识
counseling|咨询
coping|应对
communication|沟通
compassion|怜悯
contemporary|当代的
classical|古典的
composition|构图
composer|作曲家
choreography|编舞
costume|服装
championship|冠军赛
cycling|自行车
climbing|攀岩
camping|露营
checkers|跳棋
cards|纸牌
career|职业生涯
coordination|协调
contribution|贡献
category|类别
crew|团队
competitor|竞争者
challenger|挑战者
contender|竞争者
celebrity|名人
capability|能力
conviction|信念
certainty|确定性
curiosity|好奇心
commitment|承诺
consolation|安慰
contemplation|沉思
creator|创造者
consulate|领事馆
customs|海关
crayon|蜡笔
chuckle|轻声笑
commence|开始
context|背景
constraint|约束
chat|聊天
capsule|胶囊
carbohydrate|碳水化合物
cooked|煮熟的
cured|腌制的
continental|大陆的
coastal|沿海的
countryside|乡村
county|郡
crossing|十字路口
chunk|大块
cartridge|墨盒
container|容器
crate|板条箱
carton|纸箱
competence|能力
comprehension|理解
casino|赌场
cease|停止
cemetery|墓地
chairman|主席
chip|芯片
choir|合唱团
cite|引用
clause|条款
cling|紧贴
clone|克隆
cluster|集群
coalition|联盟
colonial|殖民的
commodity|商品
compensate|补偿
complement|补充
compromise|妥协
conform|遵守
consensus|共识
controversial|有争议的
convey|传达
cope|应对
core|核心
corporate|公司的
correspondent|记者
corridor|走廊
counterpart|对应的人
couple|一对
courtesy|礼貌
coverage|覆盖范围
changing|不断变化的
companies|公司
calories|卡路里
classes|课
cars|汽车
coming|即将到来的
customers|顾客
centre|中心
challenges|挑战
came|来
cooking|烹饪
consumers|消费者
cats|猫
considered|经过深思熟虑的
colleagues|同事
crops|庄稼
compared|比较
center|中心
choices|选择
consequences|结果
creating|创造
card|卡片
consuming|消耗
conditions|条件
children|孩子们
causes|原因
countries|国家
comes|来
cities|城市
changed|改变
cases|事例
consumption|消费
called|打电话
corresponding|相应的
carey|凯里
cultures|文化
changes|变化
completely|完全地
concerns|担心
contains|包含
cheating|作弊
costs|成本
caused|导致
connections|联系
conversations|会话
cheaper|更便宜的
complaint|抱怨
chronic|长期的
citation|引文
controversy|争议
cornerstone|基石
calorie|卡路里
consultancy|咨询公司
conformity|一致
complicated|复杂的
certify|保证
calculation|计算
chronicle|记录
collide|撞击
contestant|参赛者
chronically|慢性地
compelling|引人注目的
compartment|车厢
confrontational|对抗的
console|安慰
constrain|限制
conscientious|有良心的
concession|妥协
conversion|转变
cumulative|积累的
confer|授予
commentator|评论员
convincing|令人信服的
contention|争论
cautious|谨慎的
cognitive|认知的
counselor|咨询顾问
cropland|农田
certification|证书
collaborate|合作
consultation|商议
combination|组合
collective|共同的
cozy|舒适的
comprehensive|综合的
conspicuous|显著的
correlation|相关
casualty|伤亡人数
cripple|残疾
crucial|关键的
convict|证明……有罪
confidential|机密的
chaos|混乱
carpentry|木工活
collaborative|合作的
cater|迎合
corruption|腐败
curb|限制
countermeasure|对策
consequent|作为结果的
charter|包租（飞机、船等）
conceit|自负
clutch|抓住
confirmation|证实
conqueror|征服者
cherish|珍爱
coherent|（文章、观点等）连贯的
cosmic|宇宙的
cosmos|宇宙
courteous|有礼貌的
commonsense|有常识的
cutter|用于切割的器械
courageous|勇敢的
comply|应允
colonist|移民
compatible|兼容的
cradle|摇篮
cloak|掩盖
compression|压缩
cigar|雪茄烟
constituent|构成的 n. 选民
crab|蟹
coefficient|协同因素
calibration|校准
consumer|消费者
coincide|相巧合
comedy|喜剧
catalogue|为…编目录
calculus|微积分
completion|完成
crooked|弯的
correspondence|通信
customary|通常的
catholic|天主教的 n. 天主教徒
charcoal|炭
couch|睡椅
censor|审查
conceive|设想
combustion|燃烧
crank|曲柄 v. 用曲柄转动
cleanliness|清洁
compulsory|强迫的
currently|当前
civilian|平民 adj. 平民的
commonplace|平凡的 n. 平常话
coward|懦怯的
circus|马戏
consul|领事
chestnut|栗子
cubic|立方体的
clasp|扣住
comparable|可比较的
curly|卷曲的
coke|焦炭
clamp|夹住
correlate|互相关联的事物
cooperative|合作的 n. 合作社
composite|合成的 n. 合成物
coffin|棺材
commonwealth|联邦
conception|概念
complication|复杂
complexity|复杂（性）
corrosion|腐蚀
cuckoo|杜鹃
cavity|洞
capacitor|电容器
capacitance|电容
clatter|得得声
crisp|脆的
circular|传单
commend|称赞
cruelty|残酷
compensation|补偿
characterize|表现…的特性
criterion|标准
captive|被俘虏的
climax|顶点
cane|（藤等）茎
clearing|（森林中的）空旷地
constitution|（人的）体格
clown|（马戏的）小丑
chord|和弦
chatter|喋喋不休 n. 喋喋不休
clockwise|顺时针方向转地 adj. 顺时针方向转的
concede|vi. 让步
consultant|顾问
concise|简明的
cordial|热情友好的
ceramic|陶器的 n. 陶瓷器
catastrophe|大灾难
coincidence|巧合
consecutive|连续的
clan|宗族
chant|vt. 反复有节奏地喊叫
cocktail|鸡尾酒
contradiction|矛盾
corps|队
commute|vi. 乘公交车上下班
chapel|小教堂
corpse|死尸
characteristic|特有的
comet|彗星
considerate|考虑周到的
confusion|困惑
classification|分类
convene|vi. 开会
cocaine|可卡因
credible|可信的
crystallize|结晶
collaboration|合作
crumble|vi. 崩溃
corrode|腐蚀
collision|碰撞
configuration|配置
comic|喜剧的
cardinal|最重要的
cynical|愤世嫉俗的
culminate|vi. 告终
citizenship|公民的身份
contempt|轻视
caption|说明文字
converge|vi. 会合
complexion|肤色
continuity|连续
consequently|因此
contemplate|vt. 盘算
clearance|净空
champagne|香槟酒
convenience|方便
commentary|实况报道
commemorate|vt. 纪念
contrive|vt. 谋划
cork|软木
condense|vt. 使冷凝
cord|细绳
continual|连续的
continuous|连续的
conductor|指挥
centimetre|(centimeter)厘米
congratulation|(on)祝贺
cohesive|团结的
conversely|相反地
conspiracy|阴谋
certainly|一定
centigrade|摄氏温度计的;摄氏的 n. 摄氏温度计;摄氏
caress|爱抚
capitalism|资本主义
click|点击
costly|昂贵的
concerning|关于
cent|分
cake|蛋糕
civilize|使文明
classmate|同班同学
cricket|板球
cage|笼
canteen|食堂
clergy|神职人员
credential|证书
chap|小伙子
conjunction|结合
comrade|同志
cyberspace|网络空间
colonel|陆军上校
crane|吊车
crust|地壳
cab|驾驶室
conquest|征服
courtyard|庭院
crow|啼叫
cigaret|香烟
cue|提示
cop|抓住 n. 巡警
cosy|舒适的
coil|盘绕
clumsy|笨拙的
chancellor|总理（德、奥等的）
complementary|补充的
characterise|vt. 表示…的特性
connexion|联系
criticise|批评
censorship|审查制度 <
civilisation|文明
credentials|证明书
culprit|罪犯
civilise|vt. 使文明
centimeter|厘米
contagious|传染性的
cunning|狡猾的
cannot|不能
cretaceous|白垩纪(的)
crater|弹坑
cambrian|威尔斯人
california|加利福尼亚
cetacean|鲸类动物
chimpanzee|黑猩猩
columbia|哥伦比亚
cultivation|培养
colonize|拓殖
canopy|天篷
crossbill|交喙鸟
colonization|殖民地化
countercurrent|逆流
crustal|地壳的
collector|收藏家
cooperation|合作
chick|小鸡
clement|仁慈的
carbonate|碳酸盐
columbian|美国的
crystalline|水晶(般)的
continually|不断地
calcite|方解石
ceremonial|仪式 adj. 正式的
carver|雕刻匠
canoes|独木舟
convex|凸出的
cone|圆锥体
consciously|有意识地
caterpillar|毛虫
confederacy|联盟
compaction|压紧
cenozoic|新生代
circadian|昼夜节律的
caledonian|古苏格兰人(的)
coma|昏迷
cooler|冷却器
chondrite|球粒状陨石
chiefly|首要
craftspeople|工匠; 手艺人
concur|同时发生
chemically|用化学
cascade|小瀑布
chondrule|陨石球粒
capillary|毛细管
cheep|吱吱的叫声 v吱吱地叫
cavendish|(一种压成饼状的)板烟
choreographer|舞蹈指导
capsize|(特指船)倾覆
caravan|旅行队
carnivore|食肉动物
cuneiform|楔形的
conventionally|照惯例
coral|珊瑚(虫)
cannonball|炮弹
cottonwood|[植]三叶杨
cheaply|廉价地
corona|冠壮物
commuter|通勤者
chlorosis|萎黄病
crevice|裂缝
cohesion|结合
chisel|凿子 v砍凿
centralize|集聚
consistently|一致地
cajun|移居美国路易斯安纳州的法人后裔
cowboy|牧童
conductance|电导
commensalism|共栖
cedar|雪松
coexist|共存
cod|abbr. 货到付款 (Cash on Delivery) n鳕鱼
chlorophyll|[生化]叶绿素
carman|车夫
crumple|(使)皱
chapbook|畅销故事书
concave|凹的 n凹(面)
congressional|会议的
camouflage|伪装
cylindrical|圆柱形的
carol|颂歌
coastline|海岸线
connecticut|(美国）康涅狄格
cyanide|[化]氰化物
critically|批评性地
carving|雕刻(品)
cavern|洞穴
coppersmith|铜匠
catastrophic|悲惨的
cramp|痉挛 v. 限制
catharsis|宣泄
contradictory|相矛盾的
chloride|[化]氯化物
craftsmanship|技术
contraction|收缩
caste|印度的世袭阶级
calve|生小牛
cranial|头盖(形)的
caribou|北美产驯鹿(=Rangifer)
connective|连合的
capitalist|资本主义的 n资本家
cenotes|天然井
constrict|压缩
cyan|蓝绿色
clam|蛤
cortex|外皮
chilly|寒冷的
curator|管理者
companionship|友谊
clump|(树
compositional|合成的
circumvent|绕行
crisscross|交叉
clavichord|翼琴(钢琴的前身)
converter|转炉
cactus|[植]仙人掌
clearer|更清楚的
causal|原因的
continuum|连续统一体
continuation|继续(部分)
constitutional|法治的
compost|混合肥料
collaborator|合作者
cosmopolitan|全球的
coerce|强制
commandment|戒律
carbonic|(含)碳的
connoisseur|鉴赏家
chariot|战车
communicative|健谈的
cessation|停止
clover|[植]三叶草
crudely|粗糙地
corpus|资料
chemurgy|[化]农业化工
continuator|继续者
celsius|摄氏的
condensation|浓缩
credence|信任
condenser|冷凝器
circumscribe|在…周围画线
condor|[动]秃鹰
carboniferous|石炭层
contour|轮廓
currier|制革匠
celestial|天上的 n. 神仙
calcareous|钙质的
collectible|可收集的
counteract|抵消
calotype|光力照像法
comprehensible|可理解的
customarily|通常
caput|头
commensal|共餐的 n. 共食伙伴
conestoga|一种大篷马车
chicopee|奇科皮（美国马萨诸塞州西南部城市）
clinical|临床的
candlelight|烛火
chile|智利
colonizer|殖民者
cougar|[动]美洲狮(尤指Felis concolor)
conceivable|可能的
custodial|保管的
cole|油菜
comparably|同等地
cumbersome|笨重的
concomitant|伴随的 n. 伴随物
chitin|壳质
cardiac|强心剂 adj. 心脏的
coyote|一种产于北美大草原的小狼
crimson|深红色的 v. 变深红色 n. 深红色
cornet|圆锥形纸袋
chivalry|骑士精神
concertina|类似风琴的六角形的乐器
conjectural|推测的
consort|结交
collagen|胶原质
cabinetmaker|家具师
courtship|求爱
corselet|盔甲
carcass|(屠宰后)畜体
chondritic|球粒状陨石的
consolidation|巩固
contingent|可能发生的
congenial|意气相投的
confederate|同盟者
canyon|<美>峡谷
contributor|贡献者
chafe|(将皮肤等)擦热
conglomerate|聚结 n. 企业集团
cerebral|脑的
cleanly|干净地
charitable|慈善事业的
conflate|合并
catechism|问答教学法
convection|传送
counterbalance|使平均
creditor|债权人
cany|藤的
crayfish|小龙虾
chronobiology|[生]时间生物学
caucasian|高加索人 adj. 高加索的
crescent|新月
chaotic|混乱的
celebratory|快乐的
crustacean|甲壳类的 n. 甲壳纲动物
cheater|骗子
chronological|按年代顺序排列的
cult|祭仪
compactness|紧密
congenital|先天的
closeness|紧闭
cheerful|愉快的
condenses|浓缩
characterization|描述
conductivity|传导性
catchment|排水
crowbar|撬棍
crucible|坩锅
clergyman|牧师
cohesiveness|粘合
congestion|拥塞
classicism|古典主义
chipmunk|[动] 花栗鼠
circumstantially|因情形地
cloudlike|云雾状的
chromosphere|色球
caliber|口径
coalescence|合并
cavalry|骑兵
converse|交谈 n反面说法 a相反的
curiously|好奇地
citizenry|公民成市民(集合称)
crook|使弯曲
conveniently|方便地
concentric|同中心的
cuspidor|痰盂
covering|遮盖物
correspondingly|相应地
cud|反刍的食物
chomp|大声地咀嚼
civic|市的
contributory|贡献的
concoct|编造
candid|率直的
convergence|集中
conceivably|可想到地
coloration|染色
caribbean|加勒比海
colorless|无色的
cider|苹果酒
coriander|[植]胡荽
chateau|城堡
chug|轧轧响声 v. 发出轧轧声
counterexample|反例
commercialization|商品化
cyclic|循环的
cobble|圆石
carelessly|粗心地
chihuahua|吉娃娃(一种产于墨西哥的狗)
confinement|限制
centrally|在中心
carnival|狂欢节
clamor|喧闹
carbonization|碳化(物)
conservatism|保守主义
convincingly|令人信服地
constituency|(选区的)选民
civet|[动物]麝猫
controllable|可管理的
categorically|断然地
crease|折缝
cleverness|聪明
chronologically|按年代的
colosseum|罗马圆形大剧场(建于公元80年
clench|捏紧
concurrent|一致的
complimentary|称赞的
conversational|会话的
clarification|澄清
curvature|弯曲
categorize|加以类别
cenote|天然井
changeover|转换
consortium|财团
curio|古董
chandler|杂货零售商
californian|加利福尼亚州人 a加州的
churn|搅拌
crouch|蜷缩
creek|小溪
confluence|汇合
crunch|vi&n. 嘎吱嘎吱地响(声)
conscription|征召
chic|别致的
craze|狂热
commissioner|委员
chronology|年代学
colorfully|华美的
cither|齐特拉琴(古希腊一种类似竖琴的古乐器)
corp|公司
citadel|根据地
cheerless|不快活的
calvinist|加尔文教徒(见Calvin)
chary|小心的
coherence|一致
chaotically|浑沌地
clayware|黏土制品
collapsible|可折叠的;可拆卸的
creed|信条
coating|被覆
centralization|集中
comminute|使成粉末
cache|贮藏
crest|浪尖
centrality|中心
chlorate|[化]氯酸盐
clipper|大剪刀
chalky|白垩的
conduction|传导
chaste|贞洁的
cementation|粘固
clockmaker|制造或修理钟表者
corrosive|腐蚀的
carnation|荷兰石竹
chimp|(非洲)黑猩猩
crossbreed|[生物]杂种 v异种交配
cynthia|月亮女神
childless|无儿女的
cuticle|表皮
counterfeit|赝品  a伪造的 v伪造
cincinnati|辛辛那提（美国俄亥俄州西南部城市）
coincident|一致的
cellist|大提琴演奏家
catalyze|催化
competitiveness|竞争力
custodian|管理人
civility|礼貌
complacence|自满
cannibalism|同类相食
compo|组合物
comer|来者
conurbation|有卫星城的大都市
counterclockwise|反时针方向(的)
crimp|起皱
convivial|好交际的
cryptic|秘密的
constellation|[天]星群
contractor|订约人
cubism|立体派
claimant|要求者
creeper|爬行者
crossbones|交叉腿骨的图形
cheapen|减价
comfortably|舒适地
cate|佳肴
corset|束腹
coelenterate|[动]腔肠动物 adj. 腔肠动物的
codify|把…编成法典
cooper|制桶工人 v. 制桶
cordwainer|鞋匠
captivate|迷住
colossal|巨大的
consistency|坚固性
collarless|无领的
cowhand|<美>(牧场的)牧牛工
coaming|舱口栏板
choppy|（海等）波浪起伏的
comical|好笑的
compensatory|赔偿的
corral|畜栏 v. 关进畜栏
cuban|古巴人 adj. 古巴(人)的
char|烧焦 n. 碳
coax|巧妙地（耐心地）处理
crusade|加入十字军
corporeal|肉体的
choreograph|设计舞蹈动作
conducive|有助于…的
curative|有助于治疗的
cartilage|软骨
cohabitation|同居
captivity|囚禁
checked|格子花纹的
condiment|调味品
certitude|确定
cookout|野外烧烤宴会
confession|供认
clog|堵塞
crippling|令人震惊的
copilot|副驾驶员
charisma|超凡魅力
craftsman|能工巧匠
courier|送急件的人
charismatic|蒙受神恩的
cipher|密码
cohere|连贯
cascara|缓泻剂
centric|以…为中心的
confidant|知己
conservationist|自然环境保护论者
condole|向…吊唁
cuisine|烹饪
chronical|慢性的
copious|丰富的
chagrin|懊恼
chivalrous|有骑士精神的
commune|与…亲密地交谈 n.  群体
chubby|丰满的
congest|充满
consonant|和谐的
confiscate|没收
curtail|缩短
canvass|游说
compressible|可压缩的
criss-cross|构成十字形图案
centennial|百年纪念
curtsy|行屈膝礼 n. 屈膝礼
culpable|有罪的
concord|和睦
conciliate|安抚
contiguous|接壤的
connote|意味着
cram|填塞
critique|批评
calculable|可计算的
cramped|狭小的
credentialism|文凭主义
constricted|狭窄的
combustible|可燃的
corollary|必然的结果
conjure|变魔术
calamitous|灾难性的
c|[计] 调用, 访问, 呼叫, 电容, 进位, 通道, 字符, 清除, 常数, 控制, 周期
comments|注解；评论（comment的复数）
cd|镭射碟, 镭射唱片
categories|分类；类别（category的复数）
ca|[医] 钙(20号元素); 阴极, 负极
computers|计算机, 电脑（computer的复数）
co|[医] 钴(27号元素)
created|创造的
contents|目录
com|[计] 计算机输出缩微胶片; 计算机输出胶片缩微机
courses|[医] 月经
cnet|科技资讯网（CNET News）；中央交换网框；法国国家电信研究中心
communications|交通设施, 通讯系统
cameras|照相机, 暗箱, 摄像机, 摄影机
carolina|北(或南)卡罗来纳州
components|部件；组件；成份（component复数）
completed|完整的；完全的
careers|职业生涯；事业；职业（career的复数）
colorado|科罗拉多, 科罗拉多河
chris|克里斯（男子名）；克莉丝（女子名）
charles|查尔斯（人名）
cells|细胞；牢房；小屋；单元格（cell的复数）
calls|调用；呼吁；电话（call的复数）
clients|客户端；顾客；救济对象；应受账款；委托方（client的复数）
cum|和, 附有, 与
canon|教会法规, 圣典, 准则, 标准, 教士
continued|继续的, 延续的
classifieds|分类广告
characters|特性；人物角色（character复数）
covered|隐蔽着的, 掩藏着的, 有屋顶的
cds|中央动态存贮器（Central Dynamic Store）；集装箱运货系（Container Delivery System）；冷拉无缝（Cold Drawn Seamless）；受控供电系统（Controlled Delivery System）
claims|权利要求；要求, 请求权；债权；索赔（claim的复数形式）
charges|费用；手续费；运费
certified|证明合格的
computing|[计] 计算
centers|中心, 中央（center的复数形式）
cvs|计算机并行版本系统（Concurrent Version System）；绒毛膜绒毛样检（Chorionic Villus Sampling）
contacts|联系人；联络方式；触体（contact的复数形式）
cc|复写本
clubs|（扑克牌）梅花；俱乐部；社团（club的复数）
codes|编码, 代码；规范；准则（code的复数）
cm|[计] 厘米, 中央存储器, 通信多路转换器, 控制标志, 磁心存储器
ct|计算机断层扫描
covers|覆盖；封面, 盖子；暗礁, 保证金, 暗礁群
clips|夹子；弹片；剪下来的东西；回形针（clip的复数）
credits|演职员名单；工作人员；信用；学分（credit的复数）
checkout|结帐台
con|精读, 仔细研究, 默记
consulting|商议的, 咨询的, 任专职顾问的
contained|泰然自若的, 从容的；被控制的
calling|职业, 行业, 呼唤, 召集
comics|连环画；漫画；喜剧演员（comic的复数形式）
controls|控制；控制元件；控制装置（control的复数）
combined|结合的；组合的
constitutes|组成；构成（constitute的单三形式）
collectibles|可收集的, 可代收的( collectible的名词复数 )
colour|颜色, 面色, 颜料, 外貌
ch|[计] 改变, 通道, 信道, 字符, 检验
containing|包含
colors|国旗, 旗帜, 船旗, 军旗, 衣帽, 徽章, 绶带
cisco|加拿大白鲑
carried|入神的；被运的；忘我的
copies|打印份数, 复印份数；复制品；副本（copy的复数）
certificates|证明书, 执照( certificate的名词复数 )
charts|图表；排行榜（chart的复数）
continuing|继续的, 持续的, 连续的
ce|[计] 组件选通
conducted|实施; 为人; 指挥（军队, 乐队等）; [物]传导（热, 电等）
citizens|市民；公民（citizen的复数）
collections|集合物件；收集（collection的复数）
characteristics|特性, 特征；特质；特色（characteristic的复数）
cheats|骗子（cheat的复数形式）
contracts|契约( contract的名词复数 ); 婚约; [法律]契约法; 行贿
continues|继续；扩展；连续（continue的三单形式）
cam|凸轮, 计算机辅助制造, 中央地址存储器
circumstances|[法] 事件, 事项, 详细情节
checking|[计] 检查的
costa|肋骨, 肋脉, 叶的中脉
crafts|工艺品, 手艺（craft的复数形式）
channels|通道；水槽；隧道；频道；录音声道（channel的复数形式）
