good|好的
guineanly|几内亚地
generosity|慷慨
gratitude|感激
gallery|画廊
guitar|吉他
genre|体裁
gym|健身房
gear|装备
golf|高尔夫
gymnastics|体操
generation|一代
governance|治理
group|组
ground|地面
gun|枪
garbage|垃圾
gasoline|汽油
glass|玻璃
garment|衣服
glove|手套
gate|大门
guest|客人
goodbye|再见
gaze|注视
grin|露齿笑
giggle|咯咯笑
ghost|鬼
grilled|烤架的
gravel|碎石
gel|凝胶
genius|天才
gang|帮派
gap|差距
gender|性别
glory|光荣
gradual|逐渐的
grain|谷物
graphic|图形
grave|坟墓
grief|悲伤
guardian|监护人
guideline|指导方针
giving|给予
going|去
goals|目标
got|得到
generally|一般地
grit|沙砾
getting|得到
greater|更大的
groups|组
given|考虑到
glasgow|格拉斯哥
gaming|玩游戏
goes|去
games|游戏
greedy|贪婪的
glamorous|有魅力的
grocery|杂货店
guesstimate|大概估计
gown|长袍
geology|地质学
groundless|无理由的
grunt|作呼噜声
gust|阵风
grasshopper|蚱蜢
glorify|赞美
generalization|一般化
gorgeous|极其漂亮的
gradient|斜坡
gossip|闲谈
germ|细菌
graze|喂草
gleam|微光 v. 发微光
greed|贪心
graphite|石墨
gracious|谦和的
goddess|女神
gramophone|留声机
grove|林子
grim|严厉的
gnaw|啃
gigantic|巨大的
ginger|姜
geometrical|几何学的
gathering|集会
glider|滑翔机
granite|花岗岩
gutter|沟
generalize|概括出
gangster|匪徒
gamble|赌博 v. 冒…的险
geographical|地理的
gorilla|大猩猩
glossary|词汇表
grassy|草多的
groove|槽
grumble|抱怨
growl|（狗等）嗥叫
grope|（暗中）摸索
gloomy|忧郁的
gland|腺
glamor|魅力
gauge|测量仪表
galaxy|星系
gasp|vi. 喘气
gloom|昏暗
gentleman|绅士
greeting|问候
generator|发电机
graceful|优美的
geometry|几何(学)
gently|文雅地
grammar|语法
goods|商品
god|神
governor|主管人员
globe|地球
grey|灰色的
gallop|疾驰
gallon|加仑（容量单位）
giant|巨人
goose|鹅
goodby|int. 再见（等于goodbye） n. (Goodby)人名
glorious|光荣的
gum|口香糖
gaol|监禁 n. 监狱
guy|男人
gut|内脏
gramme|克
gay|快乐的
grass|草
gulf|海湾
grocer|杂货店
gymnasium|体育馆
gasolene|汽油
graph|图表
gram|克
gage|标准尺寸
greenhouse|温室
generalise|归纳
glamour|魅力
grown-up|成长的
guild|协会
glacial|冰川(期)的
groundwater|地下水
geologist|地质学者
geological|地质学的
geometric|几何(学)的
geologic|地质的
glaciation|冻结成冰
gull|海鸥 v. 欺骗
gazelle|瞪羚
gar|雀鳝属鱼
grandma|奶奶
glaze|变呆滞 v. 上釉 n. 釉(料)
graham|全麦(面粉)的
gill|鳃
geothermal|地热的
geographic|地理(学)的
gypsum|石膏
gaseous|气体的
gray|灰色的
gibraltar|直布罗陀(海峡)
gravitational|重力的
gamma|100万分之1克
georgia|(美)乔治亚州
grassland|牧草地
gardening|园艺
garrison|守备队
geologically|地质学上
gratify|使满足
geographer|地理学者
girl|女孩
glen|峡谷
gin|杜松烧酒  v开始
generic|种类的
gem|宝石
grandiose|宏伟的
glassmaker|玻璃工人
granular|由小粒而成的
glasslike|玻璃状的
gosling|小鹅
gatherer|收集者
granule|小粒
greener|生手
glassy|象玻璃的
guncotton|[军]强棉药
grower|种植者
gateway|入口
gypsy|吉普赛人(的)
gully|小峡谷
guilde|行会
gravitas|庄严(举止)
gibbon|长臂猿
grid|格子
gourd|葫芦
geomagnetic|地磁的
grotto|洞穴
greenish|呈绿色的
grama|美国西部产的一种牧草
gesso|(雕刻、绘画用的)石膏
generalist|多面手
glasswork|玻璃制品 v. 制成玻璃状的
glandular|腺的
glycoside|[化]配醣
glycoprotein|[化]糖蛋白类
glial|神经胶质的
grievance|委屈
glassmaking|玻璃(或玻璃器皿等)制造(术)
gannet|塘鹅
gondwanaland|[地]冈瓦纳大陆
gunpowder|黑色火药
grapple|格斗
gymnastic|体操的
gothic|哥特式 adj. 哥特式的
grande|重大的
gripe|紧握
geophysical|地球物理学的
grinder|磨工
galilean|伽利略的
gospel|〈圣经·新约〉福音书
garland|花环 vt戴花环
genu|膝
genotype|基因型
groom|刷洗 n新郎
gist|要点
grizzly|灰(白)色的
geochemical|地球化学的
grounding|基础训练
gaslit|以煤气灯照明的
grandeur|庄严
gossamer|蛛丝
genuinely|真正地
geothermally|地热的
gild|镀金
glassware|玻璃器具类
geyser|天然热喷泉
ghostly|可怕的
generically|属类地
globally|世界上
girder|梁
grimly|严格地
glean|拾落穗
gingham|条纹棉布
gravitation|地心吸力
grandparents|外祖父母
gratuitous|无缘无故的
gobi|戈壁
geometrically|成几何级数(图形)地
gentlemanly|绅士派头的
gouache|树胶水彩画
grammatical|语法的
goldsmith|金匠
guarantor|[律]保证人
gregarious|社交的
glaciate|使结冰
gourmet|美食家
gyration|旋回
grainy|粒状的
galvanize|通电流于
gloss|光泽
genial|亲切的
gazette|报纸
genesis|起源
grandparent|祖父或祖母
grecian|希腊的
goldfish|金鱼
gunfire|炮火
gentility|文雅
gush|涌出
glossy|平滑的
garb|服装 v. 装扮
gibe|嘲笑
grudge|勉强做
gilding|镀金
gorge|狼吞虎咽 n.  山峡
gemstone|经雕琢的宝石
grump|发脾气
grovel|摇尾乞怜
gait|步法
gouge|挖出
grouse|发牢骚
graphics|图形
grievous|令人忧伤的
grazing|放牧
grading|评分
glimmer|发微光
grill|烧烤
g|[计] 千兆, 吉, 图形, 网格, 接地
girls|女孩（girl的复数）
gifts|礼品, 赠品；礼物；天赋（gift的复数形式）
google|谷歌；搜索引擎技术；谷歌公司
george|乔治（男子名）；自动操纵装置；英国最高勋爵勋章上的圣乔治诛龙图
guides|辅助线；参考线；指南
gmt|格林威治平均时
gets|政府电子贸易服务（Government Electronic Tendering Service）；美国政府应急电信服务（Government Emergency Telecommunications Service）
galleries|美术馆（gallery的复数）；图表种类
gives|付出；弯曲；内幕消息（give的复数）
guidelines|指导方针
generated|生成的；发生的
ga|[医] 镓(31号元素)
guys|各位, 朋友们；球员
gave|give的过去式
gone|离去的, 死去的, 用完的
gb|[计] 千兆字节
gratis|免费地, 白送地
guaranteed|有保证的, ；有人担保的
gambling|赌博
gps|全球定位系统（Global Position System）；通用雷达（General Purpose Radar）；炮长主瞄准镜（Gunner's Primary Sight）
greatest|[计] 最大的
gnu|牛羚, 角马
guests|客人；来宾（guest的复数）
grants|[经] 补助金, 拨款, 津贴
gary|盖理
granted|算是如此, 但是
gardens|花园（garden的复数形式）
governments|政权；政府；可转让政府证券（government的复数）
gcc|海湾合作委员会（Gulf Cooperation Council）
greg|格雷格（男子名, 等于Gregory）
grades|分数；等级（grade的复数形式）
guestbook|留言本
gordon|[计] 哥尔丹
grown|长大的, 成年的, 长满某物的
gm|通用汽车公司, 总经理, 导弹
gonna|（美）将要（等于going to）
grounds|场地, 庭院, 理由, 渣滓, 沉淀物
gi|军用的；美国军人的
gnome|格言, 箴言, 侏儒, 土地神
gadgets|小配件；小工具（gadget的复数）
gt|[计] 博奕论, 图形终端
genes|基因（gene的复数形式）
guns|炮；枪（gun的复数）
gr|射击场, 总预备队
ge|通用电气公司
greatly|很, 非常
goto|转到
ghz|[计] 千兆赫
gbp|英磅（Great Britain Pound）；增益带宽乘积
gangbang|[美俚]一群男子（流氓团伙）与一女子的淫乱活动；轮奸
gates|大门；关口（gate的复数形式）
gp|普通医师, 普通医生开业医生
grew|grow的过去式
gen|消息, 真相, 情报
gs|总书记, 秘书长, 一般参谋, 参谋部
gains|收益；利益；腰槽；榫眼（gain的复数）
genealogy|系谱, 宗谱, 家系, 世系, 血统
governing|[计] 调节, 控制
gained|增进；获得, 得到（gain的过去式）
guided|有指导的；有向导的
generating|产生的, 生成的
gc|[化] 气相色谱法; 气相层析
genres|<法>（文学、艺术等的）类型, 体裁, 风格( genre的复数形式 )
gathered|（使）聚集（ gather的过去式和过去分词 ）; 集合; 推断; 了解
graduates|<美>毕业生( graduate的名词复数 ); <英>大学毕业生; （已经取得学士学位正在攻读高级学位的）研究生; 量筒
gsm|政府标准手册（Government Standards Manual）；销售总经理（General Sales Manager）；全球移动通信系统（Global System for Mobile Communications）
gif|[计] 图象交换格式
gpl|grams per liter 克/升
guatemala|危地马拉
geneva|日内瓦, (荷兰)杜松子酒
geek|做低级滑稽表演的人
gregory|格雷戈里（男子名, 古代罗马教皇之名）
glenn|格伦（男子名）
geo|长狭潮道；海湾
gibson|[计] 吉布森
gmbh|[德]股份有限公司（Gesellschaft mit beschrankter Haftung）
genome|[化] 基因组
gotten|get的过去分词
gods|上帝们；众神, 诸神, 泛指神灵（god的复数）
guitars|吉他（guitar的复数）
gis|[计] 图形输入系统, 通用信息处理系统
generations|世代（generation的复数）
gui|图形用户界面
gras|一般认为安全（Generally Recognized as Safe）
guam|关岛
gdp|[化] 鸟苷二磷酸
greetings|问候; 招呼( greeting的复数形式 ); 问候; 祝贺; 祝词
gba|小神游GBA（Game Boy Advance, 掌上游戏机）；网球王子（Genius Boys Academy, 游戏名）；（德国）（好书共享协会）Gute Bücher für Alle；全球计费协会（Global Billing Association）
gotta|必须, 有, 拥有
graphical|图的, 记录的, 图示的, 图解的, 书法的, 绘画的, 印刷的, 雕刻的, 详尽的
giants|巨人（giant的复数形式）；癸干忒斯；巨人族（希腊神话中常与天上诸神作战的种族）
guarantees|担保( guarantee的名词复数 ); 担保品; 保修单; 抵押品
graphs|图形, 图表；曲线图（graph的复数）
gst|格林威治恒星时（Greenwich Sideral Time）
gl|[医] 铍(4号元素铍的别名)
girlfriend|女朋友
gore|流出的血, 淤血, 三角形布
gmc|通用汽车公司
gays|同性恋者（尤指男性）( gay的复数形式 )
gig|旋转物, 轻便双轮马车, 赛艇, 鱼叉, 记过, 爵士乐演奏会
gilbert|吉尔伯特（男子名）
guards|禁卫军；护卫队；守卫；后卫（guard的复数形式）
granny|奶奶, 老奶奶, 老婆婆, 外婆, 婆婆妈妈的人, 唠叨挑剔的人, 接生婆
gradually|逐渐地
grows|种植( grow的第三人称单数 ); 扩大; 扩展; 增加
griffin|新手, 未经世故的人
guyana|圭亚那
gg|地面制导（Ground Guidance）；煤气发生器（Gas Generator）
gd|[计] 图形显示
guru|古鲁(印度教导师)
grad|毕业生；校友
garcia|加西亚（姓氏）
gaps|差异, 缺口；缝隙（gap的复数形式）
gale|狂风, 大风, 定期租金
graduated|毕业了的, 分等级的, 分度的, 刻度的
greensboro|格林斯博罗（美国北卡罗来纳州中北部城市）
gerald|杰拉尔德（男子名, 义为勇敢的战士）
gabriel|加百利(<<经经>>中七大天使之一)
greene|格林（姓氏）
grenada|格林纳达
garmin|[医] 肉叶芸香硷
grams|克（gram的复数形式）
generators|发电机；生成器（generator的复数）
generates|生（儿、女）( generate的第三人称单数 ); （通过物理或化学过程）发生; 生成; 引起
gzip|[计] 压缩程序
glomerulose|团伞花序
gitoxigenin|[化] 羟基洋地黄毒配基; 羟基洋地黄毒甙元
guideboard|路牌
giller|马毛绳
gravediggers|挖墓人, 埋葬虫（一种甲虫）( gravedigger的复数形式 )
gametophagia|[医] 配子消失
glassie|(游戏用的)玻璃弹子
gamp|大伞
grafted|<农>移植( graft的过去式和过去分词 ); 嫁接; 使（思想、制度等）成为（…的一部份）; 植根
gazetteers|(gazetteer 的复数) n. 地名辞典, 公报作者
grouty|闷闷不乐的, 心情不佳的, 泥泞的, 脏的
glomerular|[医] 血管小球的, 小球的
greenland|格陵兰
gizmo|小发明, 小玩意儿
gynaecocracy|妇女当政, 女权政治
gentians|龙胆属的植物, 龙胆根( gentian的复数形式 )
gloved|（手）戴着手套的
glassed|给某物加玻璃（glass的过去式与过去分词形式）
garcon|<法>侍者(通常用作对餐馆服务员的直接称呼),男孩,未婚男子,男雇员
gristle|软骨
greases|动物油脂( grease的名词复数 ); 油膏, 油脂
geratic|[医] 老年的
globularly|globular的变形
guanamine|[化] 胍胺; 三聚氰二胺
gridder|橄榄球运动员
gerundively|gerundive的变形
gab|空谈, 爱说话, 多嘴
grazier|放牧人
glens|峡谷, 幽谷( glen的复数形式 )
gros|横棱绸
gephyrea|[医] ㄔ纲(动物)
gat|手枪, 狭航道
grammatite|透闪石
ganglioma|[医]神经节瘤
gyrochrome|[医] 环染细胞(神经细胞)
gopherwood|[亦作 gopher wood][圣经]歌斐木(制造诺亚方舟所用的木材)[《创世纪》6∶14]
grosses|获得（…的）总收入( gross的第三人称单数 )
grantable|可同意的, 可转让的, 可授予的
gynaecium|[植] 雌蕊, 雌蕊群
gastrograph|[医] 胃动描记器
geomyidae|衣囊鼠科
gorger|[人名] 戈杰
gibberellin|[生化]赤霉素
goshenite|透绿柱石
gametocyte|[生]配子(母)细胞
grayest|灰色的,苍白的
grandmas|<非正>奶奶, 外婆( grandma的复数形式 )
gropingly|摸索着, 暗中摸索地
grizzliest|(grizzly 的最高级) a. 略为灰色的, 呈灰色的
gabioned|(旧时筑堡垒盛土石用的)篾筐, 堡篮, 泥箩；(筑堤用的)石筐, 石笼；金属筐
galloping|[计] 跃步地
ghostwrote|代笔( ghostwrite的过去式 ); 受雇替人代笔; 代人写（演说、讲话）; 代人写书或写文章, 最后这本书或这篇文章的署名将是那位被代替的人。
glacon|<法>n.(直径小于650英尺的)中型浮冰(块)
gallirallus|[网络] 纹秧鸡属；水鸡属；新西兰黑秧鸡
girdlers|(girdler 的复数) n.做腰带的人
gleaner|拾落穗的人, 搜集者
gymnocladus|[网络] 肥皂荚属；肯塔基咖啡树
glazes|上釉的表面( glaze的名词复数 ); 釉料; （浇在糕点上增加光泽的）蛋浆
geyserite|间歇泉周围的沉积物
gloater|gloat的变形
genipap|茜草属常绿树
galea|盔状突起物
glanders|[兽医]鼻疽病, 马鼻疽
gastrostomy|[医]胃造口术
galvanometer|电流计
guideless|无向导的, 无管理的, 无指导的
goshen|歌珊地(<<圣经>>中肥沃土地)
graybeard|老人, 土制酒壶
ganymede|木星的最大卫星；伽倪墨得斯（为众神酌酒的美少年, 等于Ganymedes）；侍童
gabbro|[矿]辉长岩
goutiness|[医] 痛风素质
glidingly|游动地, 滑顺地, 滑行地
gastronomy|美食法, 烹饪法
gaby|笨人, 傻瓜
gingerin|姜油脂
gewgawish|炫耀的, 华而不实的
grubbily|[网络] gr ily
gunslinging|带枪的
georgiana|乔治亚娜(Georgia的异体)(f.)
goldie|<美>金奖唱片, 金奖唱片集
grouching|心怀不满；不高兴的人；抱怨
gnathostoma|[医] 颚口[线]虫属
glassiest|(glassy 的最高级) a. 玻璃质的, 玻璃状的, 如镜的
glycolytic|[生化]糖分解的
gynostemium|[植]合蕊柱
gluteal|[医] 臀的
garten|[人名] 加滕; [地名] 花园（德语）
governors|主管( governor的复数形式 ); 理事; （美国的）州长; （学校、学院、医院等机构的）董事
gretel|(Gretel)人名；(法)格雷泰尔, 格蕾泰尔(女名)
geese|鹅, 鹅肉, 呆头鹅, 傻瓜
gelling|[化] 胶凝; 胶凝作用; 凝胶化; 凝胶化作用
godwin|戈德温(m.)
gonostyle|生殖刺突
greenth|<书>新绿,青翠, 青翠的草木
ghoulishly|残忍地
geodesist|大地测量工作者; 测量技师
glossmeter|[电] 平滑计
gastraneuria|[医] 胃神经机能不良, 胃神经紧张力不良
guaracha|瓜拉恰舞（一种快节奏的古巴舞）
gypsyhead|绞绳筒, 舞毒蛾, 柿毛虫
goldfishes|(goldfish 的复数) n. 金鱼
graphoscope|近视弱视矫正器, 电子计算机显示器
gastrectomy|胃切除术
gringos|(gringo 的复数) n. 外国佬(贬)
gobbing|吐唾沫( gob的现在分词 ); 充填
glossematics|语符学
gradualness|渐次, 徐徐, 逐渐
garrote|西班牙的绞刑具, 上述绞刑
goondie|澳洲原居民的小屋, 土人的小屋
gaffs|(gaff 的复数) n. 鱼叉, 斜桁
glycopeptide|糖肽
gushy|过分多情的
granitoid|似花岗岩的,具花岗岩结构的
geomantic|风水的
geeldikkop|[医] 羊蒺藜中毒
glossoplegia|[医] 舌麻痹
gagman|笑料作者, (善于插科打浑的)喜剧演员
gigacycle|[计] 千兆周; 千兆赫
gapper|间苗机; 疏苗机
gentler|优雅的, 温和的
graylag|[鸟]灰色雁(雁的一种)
genealogists|(genealogist 的复数) n. 系谱学者, 系谱专家
gorilloid|& n.似大猩猩的(动物)
globularia|[医] 球花属
gloam|<古>黄昏, 薄暮
glairy|蛋白状的, 蛋白质的
graffiti|墙上乱写乱画的东西
glyoxaline|[化]咪唑
geosphere|[地质]岩石圈
garlics|大蒜( garlic的名词复数 )
gramineal|禾本科的
glucinic|glucinum的变形
gonads|[解剖] 生殖腺；内性器（gonad的复数）
gentlepeople|[复]n.=geIItlefolk(s)
gabbard|苏格兰昔时的帆船
glucosidase|[生化]葡(萄)糖苷酶
geochemist|地球化学家
geranial|[化]牻牛儿醛,香叶醛
gibby|[人名] 吉比
griffe|格力伏人
grumousness|grumous的变形
gingery|姜似的, 辛辣的
gateman|看门人
glycuronide|[化] 糖醛酸苷; 糖苷酸
grids|格子( grid的复数形式 ); 地图上的坐标方格; （输电线路、天然气管道等的）系统网络; （汽车比赛）赛车起跑线
gastrectasis|胃扩张
gruesomest|(gruesome 的最高级) a. 可怕的, 令人毛骨悚然的, 阴森的
greenkeeper|高尔夫球场管理人
gadding|叮搔症, 蔓生的
gunther|巩特尔（《尼伯龙之歌》中的勃艮第王）
gumbos|秋葵，加有秋葵的浓汤，坚硬黏土( gumbo的名词复数 )
gypsiferous|含石膏的, 产石膏的
gluttony|暴食, 贪食
graffito|乱画, 粗糙雕刻
giblet|[常用复](禽类的)内脏杂碎, 横隔膜肌肉部分
gluttonized|暴食；贪心地吃
gonapophysis|(pl. -ses )(昆虫)生殖突
genitocrural|[医] 生殖股的
gabbling|急促地说, 不清地说( gabble的现在分词 )
grownup|成年人
grasset|小草鸟
geodesy|测地学
guernsey|（原产英吉利海峡格恩西岛的）格恩西奶牛
gauntlets|（中世纪武士用的）金属手套( gauntlet的复数形式 ); 长手套; 防护手套; 挑战
gaum|涂以油脂或粘性物
guze|[人名] 古兹
gunite|古耐特(一种喷枪或水泥枪商标)
goumier|参加北非士兵小分队的北非人
godwinian|(英国社会思想家)戈德温的,戈德温派的
glyptics|玉石雕刻术
grainer|刮毛刀, 脱毛器, 鞣皮剂, 漆木纹/画木纹(者)
glandered|患鼻疽病的
geographize|研究地理学
grummet|绝缘垫圈, 〈航海〉索眼, 索环
gilder|镀金工人
greenlandite|铌铁矿
gertrude|婴儿内衣（无袖, 两肩常用纽扣）
glazer|上釉工人, 打光工人, 轧光机, 上光机
geoform|[医] 次甲基二愈创木酚
gardenesque|花园般的
geologists|地质学家, 地质学者( geologist的复数形式 )
glareous|【生态学】生长于砾土的
glycosuria|糖尿
genevese|日内瓦人, 卡尔文教派之信徒
gallivanted|闲逛, 与异性闲荡( gallivant的过去式和过去分词 )
gyniatrics|妇科疗法
gastropexy|[医] 胃固定术
gelding|阉割的动物, 太监, 去势的人, 去势的雄马
genevieve|吉纳维芙(f.)
gunman|枪手, 持枪的歹徒, 制造枪械者
gagate|煤玉, 煤精
guttiferous|产藤黄的,产树胶(或树脂)的
galleting|碎石片嵌缝; 填塞石缝
gobbets|团块, 一口, 小片( gobbet的复数形式 )
grandiosely|grandiose的变形
glycolipid|[机] 糖脂
gloominess|黑暗, 沮丧
garote|(=garrote)西班牙的绞刑具
gooseskin|鸡皮疙瘩
geer|[人名] [英格兰人姓氏] 吉尔 Geary的变体
grandisonian|葛兰狄生式的,(18世纪的)模范绅士的
gellant|胶凝剂(亦作gelant)
ghenting|根特布
gerrymanders|为本党利益改划选举区分, 不公正操纵, 欺骗（gerrymander的第三人称单数形式）
goatskin|山羊皮
geomorphy|地貌; 地貌学; 地形学
graviton|[核]引力子
glassily|玻璃似地
garrotting|[法] 绞杀, 勒杀, 抢杀
grumbles|抱怨( grumble的第三人称单数 ); 发牢骚; 咕哝; 发哼声
groupies|流行乐队迷, 想与流行乐队成员发生性关系的少女( groupie的复数形式 )
gills|腮下肉；吉耳；菌褶；鱼鳃（gill的复数）
glume|颖(片)
glander|格兰德（人名）
gymnogyps|[网络] 加州兀鹫属；加利福尼亚兀鹫
geode|空心石核, 晶洞, 晶洞状物
graduands|(graduand 的复数) n.< 主英> 即将毕业的学生, 即将接受学位者
gemmiparous|发芽的, 发芽生殖的
gottlieb|戈特利布（人名）
gathers|碎褶；密褶（gather的复数）
gametophyte|配子体
gnawed|缺刻状的
guarnieri|[网络] 瓜尔涅；病毒包涵体叫顾氏；瓜内利
gasometry|[化]气体的计量
genyplasty|[医] 颊成形术
greatness|大, 巨大, 广大
greenwich|格林威治
goosey|似鹅的, 愚蠢的
glaciomarine|冰海的
gawn|[人名] [英格兰人姓氏] 高恩 Gavin的变体
goalmouth|（足球）球门
gastroxynsis|[医] 胃酸过多[症]
gritrock|粗砂岩
graveolent|[医]气味很浓的, 具浓香的, 具恶臭的, 重油气的, 油味的, 腐臭的
gritting|以沙砾覆盖（某物）, 撒沙砾于( grit的现在分词 ); 咬紧牙关
grassplot|草地
gordioidea|铁线虫目
grifting|诈骗( grift的现在分词 )
grandmaster|大师（最高棋手等的称号）
groszy|grosz的复数形
goldeye|类似鲱鱼可供食用的淡水鱼
gladnesses|(gladness 的复数) n. 欢乐, 欢喜, 喜悦
geratology|衰老学,老年医学
geochemistry|地球化学
gelatins|[医]明胶剂
garaged|把…送入车库（garage的过去式与过去分词形式）
gazing|凝望, 凝视
glyph|[计] 符号, 点符
gushers|(gusher 的复数) [经] 喷油井, 自喷井
guffaws|大笑, 狂笑( guffaw的名词复数 )
genotypes|(genotype 的复数) n. 基因型, 遗传型
galbraithian|(美国经济学家)加尔布雷思的, 具有加尔布雷思学说特点的
gavialis|[网络] 长吻鳄属；恒河鳄属
gutturality|guttural的变形
gonorrhoea|淋病
germproof|抗菌的,防菌的
gaols|监狱, 拘留所( gaol的名词复数 )
gluside|[化]糖精
glaciating|使结冰( glaciate的现在分词 ); 以冰（或冰河）覆盖; 使受冰河作用; 冻结
generatrices|母点, 母面, 母线( generatrix的名词复数 )
gypsywort|[网络] 吉卜糖
gestapo|<德>盖世太保, 纳粹秘密警察
glycerinate|用甘油处理
gigaton|十亿吨
gerres|[网络] 银鲈属；钻嘴鱼属；银鲈类
gassiness|充满气体状态
gothamite|哥谭镇人, 愚蠢者, 纽约市民
gride|擦刮
gliridae|睡鼠科
grocers|食品杂货商( grocer的复数形式 )
goatfish|[动]绯鲵鲣(一种海鱼)
guisard|<苏格兰>戴假面具的人,化装的人
glomerule|团伞花序, 密集群
gapeseed|注目, 引人注目的事物
guajira|<西>n.瓜希拉舞曲(一种古巴农民舞舞曲)
graziers|(grazier 的复数) n. 放牧人
gloated|幸灾乐祸地看[想], 贪婪地看[想]( gloat的过去式和过去分词 )
genitalic|genitalia的变形
graciosos|（西班牙喜剧中的）小丑, 丑角( gracioso的名词复数 )
groat|格罗特(英国古银币), 少量
goyish|<贬>(犹太人用语)非犹太人(似)的,异族人(似)的
getaways|（尤指犯罪后的）逃跑( getaway的复数形式 ); 短假; 假日休闲地; 适合度假的地方
goutily|gouty的变形
gavelock|标枪, 铁撬
gastrodisk|[医] 胚盘
groused|抱怨, 发牢骚( grouse的过去式和过去分词 )
guesting|做特邀嘉宾（guest的现在分词形式）
gelong|西藏僧人
geostatic|地压的, 耐地压的
graptoloidea|正笔石目
gorgeret|(蜜蜂的)螫刺
gasless|无气体的, 不用气体的
gyte|[苏格兰英语]发狂的；疯狂的, 狂妄的
gramaphone|留声机杂志（杂志名）
gargantua|小说里的巨人
gades|(gade 的复数) 鳕类鱼
gemmologist|宝石学家
grogginess|酒醉；东歪西倒
geelbek|锤形石首鱼
garcons|<法>侍者（通常用作对餐馆服务员的直接称呼）( garcon的名词复数 ); 男孩; 未婚男子; 男雇员
glasshouses|玻璃暖房, 温室( glasshouse的复数形式 )
glee|欢乐, 高兴
gladiate|(叶子)剑状的
generalizer|generalize的变形
gemological|宝石学
girded|gird的过去式和过去分词
grisounite|硝酸甘油、硫酸镁、棉花炸药
gracilis|[医] 股薄肌
gyrated|旋转, 回旋( gyrate的过去式和过去分词 )
gullion|[人名] 格利恩
gabbroic|gabbro的变形
geriatric|老年病学的, 衰老的, 老年的
glamours|(glamour 的复数) n. 魅力, 迷人的美, 魔法
gooseberry|醋栗, 醋栗酒
glycerol|甘油, 丙三醇
gyrocar|单轨车
gerontine|[生化]肝胺
gravicembalo|[音]古钢琴,大键琴
gadolinic|gadolinium的变形
gratuities|报酬( gratuity的复数形式 ); 小账; 小费; 养老金
galante|[人名] 加兰特
greyfish|[鱼]角鲨
gamine|[法]女流浪儿, 女顽童, 妖冶的女人
gladwin|[人名] 格拉德温; [地名] [美国] 格拉德温
guenons|(guenon 的复数) n.[动]长尾猴
gloats|幸灾乐祸地看[想], 贪婪地看[想]( gloat的第三人称单数 )
galuchat|有装饰的粗面皮革
grafts|<医>移植( graft的名词复数 ); 行贿; <农>接穗; 行贿得到的利益
guvacoline|[医] 四氢烟酸甲酯
gaudy|俗丽的, 华而不实的
glanced|一瞥( glance的过去式和过去分词 ); 略视; 闪耀; 浏览
gangways|跳板( gangway的复数形式 ); 梯板; 舷梯; 舷门
gunwales|(gunwale 的复数) n.船舷上缘
gaz|嘎斯（俄罗斯汽车品牌名称）
glaringly|显而易见地; 耀目地, 显目地
goracco|烟草膏
gettable|可以获得的
giddy|眼花的, 头晕的
goi|(Goi)人名；(法)古瓦
grouched|心怀不满；不高兴的人；抱怨
groper|咸猪手
gonopoietic|[医] 精液生成的, 精液分泌的
ghent|根特(比利时城市)
grouper|石斑鱼
gravestone|墓石, 墓碑
ghats|高止山脉(位于印度南部)
guar|guaranteed 有保证的; 有担保的; guaranty 保证; pyt guarantee of payment 付款保证
gauzily|纱似地;薄地
