moon|月亮
malnutrition|营养不良
mischievous|恶作剧的
matrimony|婚姻
melodious|旋律优美的
modernity|现代性
multiplicative|倍增的
morgue|停尸房
middleman|中间人
mesolithic|中石器时代的 n.  中石器时代
monogamy|一夫一妻制
meteorology|气象学
monotony|单调
methanol|甲醇
midterm|中间的
mortify|使蒙受屈辱
mismanage|对…管理不当
modeling|立体感
meteorological|气象学的
membrane|薄膜
myopic|近视的
motto|座右铭
m|[计] 尾数, 主要, 媒体, 介质, 中等, 存储器, 方式, 分, 模, 乘法器, 兆, 毫
messages|信息, 留言板（message的复数形式）
marketing|行销, 买卖
microsoft|(美国)微软公司
miles|英里（1英里约合1609米, mile的复数形式）
methods|方法, 方式；研究方法（method的复数）
models|模型( model的名词复数 ); 模特儿; 模式; 典型
michael|迈克尔（男子名）
materials|材料；材料费；材料科学；材质（material的复数）
mon|发动机辛烷值（Motor Octsne Number）；星期一（Monday）
ms|美国微软公司
maps|管理分析与规划系统（Management Analysis and Planning System）
ma|妈
mac|防水胶布, (英)雨衣, 老兄, 老弟
max|[计] 最大
md|医学博士, 总经理, 常务董事
mb|兆字节
mr|先生
multi|[计] 多
mary|玛丽（女子名）
mailing|邮寄, 投递, 邮件, 农场租金
mm|毫米
mini|同类中的极小者, 微型汽车, 超短裙
modified|改良的；改进的, 修改的
msn|微软网络服务（Microsoft service Network）；即时通讯软件（MSN Messenger）；总编号（等于Master Serial Number）；军事编号（Military Serial Number）
min|部长（Minister）；部（Ministry）
martin|马丁, 圣马丁鸟
mike|偷懒, 游手好闲
mi|检疫, 军事情报
magazines|杂志（magazine的复数）
markets|市场, 市场组合（market 复数）
milf|（菲律宾）摩洛伊斯兰解放阵线（Moro Islamic Liberation Front）
met|meet的过去式和过去分词
manufacturing|制造业
measures|措施；层组（measure的复数）
mid|中间的, 中央的, 中部的
meetings|会议, 集会, 会见（meeting的复数形式）
myself|我自己, 我亲自, 我独自
machines|机器；机械（machine的复数）
motorola|摩托罗拉（美国主营电子的公司）
mo|顷刻, 瞬间, 函购, 邮购, 军医, 军医主任, 汇票, 邮政汇票
multimedia|多媒体
moved|移动, 移动到；感动（move的过去式, 过去分词）
matching|相同的, 协调的
miscellaneous|各种的, 多方面的
maryland|马里兰州
managed|与中央化计划及管制有关的；托管的
mt|峰, 山
matters|事项；事态；事件；情事（matter的复数）
mom|妈妈
mg|[化] 微粒剂
mentioned|提到( mention的过去式和过去分词 ); 说起; 提名表扬; 传令嘉奖
maintained|被保持的
miller|厂主, 蛾
mn|[医] 锰(25号元素)
matches|火柴；比赛（match的复数）
managing|管理的, 节约的
modules|加载模块列表；模块（module的复数）
matt|表面暗淡的, 无光泽的, 表面粗糙的, 不光滑的
mysql|数据库系统（一种免费的跨平台的）
montana|蒙大拿州
mens|[医] 精神, 意志
manchester|曼彻斯特
millions|数百万
misc|[计] 杂类新闻组
ml|法学硕士, 摩托艇, 汽艇
marks|标记, 记号；唛头, 分数；台面标志
mapping|[计] 映射; 变换; 映象
moore|摩尔（男子名）
mc|国会议员, 典礼官, 司仪, 医疗队
metro|地铁
missed|投偏；未抓住；错过（miss的过去分词）
monitors|监视器, 监控器；情况通报（monitor复数形式）
meant|mean的过去式和过去分词
meets|相遇( meet的第三人称单数 ); 相识; 开会; 接触（某物）
measured|整齐的, 慎重的, 基于标准的
medline|<美>联机医学文献分析和检索系统
med|教育学硕士
moderator|主席, 会议主持人, 仲裁人
matthew|马太, 马太福音
morgan|摩根马
mortgages|抵押贷款；财产贷款；房屋贷款（mortgage的复数）
madison|麦迪逊（姓氏）；麦迪逊（美国城市）
mainly|主要地, 大抵
mp|国会议员, 下院议员
mph|每小时...英里, 哩/时
mountains|山脉；山区；山岳（mountain的复数）
moves|移动；搬家；感动（move的第三人称单数）
memorabilia|值得纪念的事物, 大事记
masters|主人；硕士；大师赛（master的复数形式）
memories|回忆；记忆（memory的复数）
mod|现代派的, 时髦的
mpeg|[计] 动画专家小组
measurements|测量值, 尺寸（measurement的复数）
milwaukee|（美国）密尔沃基
mit|手, 连指手套, 棒球手套, 拳击手套, 马萨诸塞理工学院, 麻省理工学院
maria|玛丽亚（女名）
modes|分辨率；方法；模式（mode的复数形式）
merchants|商人( merchant的复数形式 ); （某活动的）爱好者, 热中于…的人
mechanisms|机械( mechanism的复数形式 ); 机械装置; [生物学] 机制; 机械作用
motors|汽车公司证券；汽车；发动机（motor的复数）
maintaining|[化] 维护; 保养
makers|迈克（美国一家公司）
marc|榨渣
margaret|玛格利特（女子名）
marie|玛丽（女子名）
manga|日本漫画
mhz|[计] 兆赫兹
meta|[计] 元的
mounted|安在马上的, 裱好的
median|中央的, 中间的, 正中的
moments|片刻（moment复数形式）
mitchell|米切尔（男子名, 等于Michael）
mrs|太太
memphis|孟菲斯
mice|pl. 老鼠
mercedes|梅塞德斯（人名）；梅赛德斯（公司名）
mills|米尔斯（人名）
mx|麦克斯韦（maxwell, 磁通量单位）；中性（Middlesex）
michelle|米歇尔（女子名）
messaging|消息传送；信息传送；通知
murray|默里（男子名）；墨累河（澳大利亚东南部一条河流）
meters|米；公尺（meter的复数形式）
muslim|伊斯兰教, 伊斯兰教教徒
measuring|测量
medicare|医疗照顾方案, 医疗照顾项目
museums|博物馆（museum的复数形式）
mins|需监护的未成年人（Minors In Need of Supervision）；分钟（minutes）；微惯性导航系统（micro inertial navigation system）
mlb|金属链带（Metallic Link Belt）；航海劳工局（Maritime Labor Board）；美国职棒大联盟（Major League Baseball）
mitsubishi|[经] 三菱
mozilla|摩斯拉（浏览器名）
msg|[医] 谷氨酸一钠
melissa|[医] │蜜蜂花, 蜜里萨香草
marriott|马里奥特（美国第二大宴会承包商）
manuals|手册, 指南；说明书（manual的复数）
montgomery|蒙哥马利（姓氏）；蒙哥马利（英国郡名）
macintosh|[计] Macintosh计算机
movements|运动, 运转；运动健身；动作（movement的复数形式）
monica|莫尼卡（女子名）
mart|商业中心, 市场
madonna|圣母玛利亚, 圣母像
murphy|马铃薯
mirrors|反光镜；写实；[罕]模范；镜子（mirror的复数）
macro|pref. 宏
midi|中长裙, 乐器数字化接口
mounting|装备, 衬托纸, 舞台效果, 上马
minds|思想；主意（mind的复数）
musicians|音乐家( musician的复数形式 )
mario|马里奥（男子名）
mothers|母亲；根源（mother的复数）
manufactured|制造的, 已制成的
mega|[计] 兆; 百万
moms|密西根数学系统（Michigan's Own Mathematical System）
malta|马尔他
medications|药物治疗；药物（medication的复数形式）
modifications|缓和( modification的复数形式 ); 限制; 更改; 改变
mem|[计] DOS外部命令:显示内存的使用情况
macromedia|全球最大的网络多媒体软件公司; 旗下的软件包括Macromedia Flash; Macromedia Dreamweaver; Macromedia Fireworks
mastercard|万事达信用卡
myspace|“我的空间”, 美国在线社交网站名称
mba|工商管理学硕士（Master of Business Administration）；海洋生物协会（Marine Biological Association）；主要战区（Main Battle Area）
mono|单声道的
mag|杂志, 星期专刊, 期刊, 仓库, 军火库, 弹药, 库存物, 弹仓, 弹盘, 弹盒, 胶卷盒
martha|马大(<<圣经>>故事人物)
metals|五金
minerals|矿物质；矿物；矿产, 矿产品（mineral的复数）
menus|菜单（menu的复数形式）
mls|复式造表服务处（Multiple Listing Service）
manitoba|马尼托巴湖（加拿大中南部）
missions|任务；传教工作；代表团（mission的复数）
myers|迈尔斯（姓氏）
ministers|大臣( minister的名词复数 ); 部长; 公使; 牧师
mcdonald|麦克唐纳（男子名）；麦当劳（快餐店名称）
mixing|混合, 混频
maternity|母性, 怀孕, 妇产科医院
mf|中频
motels|汽车旅馆( motel的复数形式 )
mw|[计] 毫瓦
marina|码头
mobiles|motion sculptures (plastic forms in motion) 运动雕塑（运动造型）
mazda|马自达汽车
masturbating|（对…）进行手淫( masturbate的现在分词 )
ment|mention 提到; mental 精神的; mentalis 精神的; mentioned 提及的
midlands|英国中部
mailed|披甲的, 装甲的
medicaid|医疗补助方案, 医疗补助项目
milton|米尔顿（男子名, 英国诗人）
monaco|摩纳哥
minolta|美能达牌照相机（日）
mozambique|莫桑比克
manor|庄园
milan|米兰
marilyn|玛里琳（女子名）
matched|相配的；敌得过的
muslims|穆斯林（muslim复数）
marion|马里恩（男子名）
metallica|金属乐队（美国乐队名）
mardi|(Mardi)人名；(阿拉伯)马尔迪
marcus|马库斯（男子名）
mesa|台面, 岩滩, 平顶山
maintains|保持( maintain的第三人称单数 ); 保养; 坚持; 保卫
modular|模数的, 有标准组件的
macedonia|马其顿
moderators|(moderator 的复数) n. 主席, 会议主持人, 仲裁人
mas|[化] 低碳混合醇
ministries|（政府的）部( ministry的复数形式 ); 神职; 牧师职位; 神职任期
metadata|[计] 元数据
modelling|模特儿职业, 立体感
madagascar|马达加斯加岛
markers|标记；记分员；书签；马克笔（marker的复数）
monte|[计] 蒙特卡罗
mil|千分之一英寸
mauritius|毛里求斯
medicines|药( medicine的复数形式 ); 内服药; 医术; 医学
munich|慕尼黑
malawi|马拉维
maui|毛伊岛
mileage|英里数
mods|载人的轨道研究站（manned orbital development station）
mustang|野马, (海军行伍出身的)军官
mu|希腊字母(M,μ)
muscles|肌肉（muscle的复数）
motherboard|底板, 母板
manually|用手
mv|市面价值, 平均变化, 中压, 商船, 内燃机船, 初速
mpg|每加仑汽油能行驶的英里数
mh|报文处理程序（message handler）
mats|军事空运局（Military Air Transport Service）
motorcycles|摩托车, 电单车（motorcycle的复数）
molecules|分子, 微粒；摩尔（molecule的复数）
marijuana|大麻
madness|疯狂, 愚蠢的行为
malpractice|不当治疗, 不端行为, 渎职
mic|[计] 介质接口, 连接器
mj|玛帝脂接缝（Mastic Joint）；[物]兆焦耳（megajoule）
moses|摩西, 领导者, 立法者
mattress|床垫, 空气垫, 沉床
mai|[医][=microscopic aggregation index]显微镜下聚集指数
mines|地雷；矿山（mine的复数）
metres|米( metre的复数形式 ); （诗的）格律; 用于竞赛名称 metres
mali|马里
mtv|音乐电视（Music Television）
masturbation|[医] 手淫
monitored|指导, 检测；监控（monitor的过去分词）
motivated|有动机的, 目的明确的
mails|邮件（mail的复数形式）
mae|（苏格兰）更多（等于more）
moldova|摩尔多瓦
mel|[医] 蜂蜜
mariah|玛丽亚（女子名）
municipality|自治区, 市当局, 市民
marco|马尔科（人名）；显示地图；展现地图
modems|调制解调器( modem的复数形式 )
mia|战斗中失踪的（Missing In Action）
mailman|邮递员
movers|（会议上的）提议人( mover的复数形式 ); 搬家工人; …走动的人; 兴旺发达的事物
mrna|[化] 信使核糖核酸
meyer|迈耶（日耳曼语, 指首席侍从或农夫）
mounts|加载的文件系统；山峰（mount的复数）
michel|米歇尔（男子名）
maldives|马尔代夫(群岛)[亚洲岛国]
mambo|曼博舞, 曼博音乐
morrison|莫里森（姓氏）
myrtle|桃金娘科植物
mating|交配
monsters|怪物( monster的复数形式 ); 小恶魔; 恶棍; 坏人
morisco|(建筑等)摩里斯科风格的,摩里斯科式(即摩尔式)的
mountebanks|江湖郎中, 骗子
morcellation|[医] 分碎术
maundy|(天主教的)洗足礼
monest|(居住在缅甸东部和泰国西部的)孟人；孟语(属南亚语系高棉语族)
mascle|(13世纪铠甲的)菱形钢铠片
misdiagnose|误诊
meshugga|发疯似的, 失常的
manhandles|粗暴地对付；人工推动
muddiest|泥泞的( muddy的最高级 ); 暗的; 模糊的; 糊涂的
mummies|<口>妈妈( mummy的名词复数 ); 木乃伊; 干尸; 软弱的男孩（或男人）
mantid|& adj.[昆]螳螂(的)
metra|[医] 子宫
milner|米尔纳(姓氏)
membraned|细胞膜的
manteaus|斗篷；披风
miargyrite|[化] 辉锑银矿
megampere|[电] 百万安
malacca|马六甲海峡(在亚洲东南部马来半岛和印度尼西亚的苏门答腊岛之间,沟通太平洋和印度洋)
mycodermic|形成醭的
musa|[电信]可变方向图的多元菱形天线( 亦作MUSA, Musa)
mirrored|反映( mirror的过去式和过去分词 ); 反射; 映照; 将（玻璃）喷镀成镜子
marcosian|[网络] 马科西安
mongers|(monger 的复数) n. 商人, ...商, ...贩
munitions|军火, 军需品
mythicized|视为神话, 解释为神话( mythicize的过去式和过去分词 )
microfilmer|缩微机
moff|莫夫绸
momi|莫米（刚果民主共和国城市名）
moderatist|温和主义者, 稳健主义者
marsupia|（有袋目动物腹部的）育幼袋( marsupium的名词复数 ); [医]（单marsupium）育儿袋, 卵袋, 阴囊
myall|垂枝相思树
muggur|泽鳄
manoeuver|作战行动, 大演习; 调动
militating|产生作用或影响( militate的现在分词 )
mislabelling|(mislabel 的现在分词) v.贴错标签
maumet|[英方]玩偶, 傀儡, 怪样的人
mince|切碎物
masculinism|女子男征
minnetaree|[网络] 曼丹人；人明尼它利族；曼丹部落人
motorically|motoric的变形
masticic|乳香树的, 乳香树脂的
motorboater|摩托艇, 汽船 (motorboat的变形)
meeker|米克（姓氏）
monotonic|单调的
marcescence|枯而不落(现象)
monacetin|[化] 甘油一乙酸酯; 一醋精
monarchess|女君主,女王,女皇
madrier|军用厚橡木板
melanomas|黑瘤
mahlstick|腕杖
myringa|[解]鼓膜
melaena|[医]黑粪症
mezuza|(犹太教)门柱圣卷(一面记有《圣经》文字一面写着神的名字的羊皮纸卷)
merchantmen|商船, 商人( merchantman的名词复数 )
millirem|[核]毫雷姆(=1/1000雷姆,略作mrem)
macao|澳门
meq|[医] 毫[克]当量
metaplast|后形质体; 后成体
mentation|精神作用, 心理状态
morphophyly|[医] 成形发育
mumper|mump的变形
myriare|1 平方公里(约合247英亩,略作 mya.)
malting|麦粒发芽, 制成麦芽糖, 麦芽作坊
matchcoat|印第安斗篷
mniaceae|[网络] 提灯藓科；提灯藓属
methodic|细心的, 有规律的, 有条理的, 有方法的
monosome|单体
manticora|[网络] 曼帝可拉；大王虎甲
monopolised|(monopolise 的过去分词) vt. 垄断, 独占, 专营, 专利
mnemosyne|[希神]摩涅莫辛涅(记忆女神)
milko|售奶工人, 送奶工人
matty|马蒂（女子名, 姓氏）
